iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.3790628910064697,3.626573324203491,0.6443967223167419,0.7444966435432434,0.04060671105980873,-1.293523994426714,0.8769254088401794,0.9803263545036316,0.9858166575431824,0.05918613076210022,3.573338117916137,3.7634052159264684
1,1.310676097869873,3.868725538253784,0.5993499755859375,0.7134628295898438,0.0368860587477684,-1.340354839343268,0.8104315996170044,0.9810889363288879,0.9877992868423462,0.0546603798866272,1.7191848373040557,1.873506958130747
2,1.2372125387191772,4.120879650115967,0.5565485954284668,0.6739879846572876,0.029854200780391693,-1.4168726272911167,0.9101723432540894,0.9836815595626831,0.990849494934082,0.04761763662099838,1.257205014117062,1.4092400493100286
3,1.1410174369812012,4.377194404602051,0.5157082080841064,0.6325749158859253,0.024433303624391556,-1.4734396901159235,0.9095622897148132,0.9861217141151428,0.990849494934082,0.04344438016414642,1.2443140177056193,1.3959949859417975
4,1.0729990005493164,4.634392261505127,0.4771087169647217,0.5911017656326294,0.021627608686685562,-1.5187021204011177,0.9051395654678345,0.9855116605758667,0.9905444383621216,0.041200488805770874,1.2453488069586456,1.3974889209493995
5,1.0202127695083618,4.8904314041137695,0.4409022927284241,0.5503152012825012,0.019957274198532104,-1.5597064648031749,0.9062070846557617,0.9838340878486633,0.9896293878555298,0.039742328226566315,1.2402728302404284,1.3927824702113867
6,0.9732228517532349,5.143360137939453,0.40718698501586914,0.5106857419013977,0.018722476437687874,-1.5994299195842119,0.9055970907211304,0.9818514585494995,0.9890193939208984,0.03860035538673401,1.5847412990406156,1.7376619246788323
7,0.9285792112350464,5.391552448272705,0.3760172724723816,0.47252631187438965,0.018214114010334015,-1.6384176154423014,0.904834508895874,0.9807838797569275,0.9888668656349182,0.037645917385816574,1.251611121930182,1.403764015994966
8,0.8865565061569214,5.634275913238525,0.347409188747406,0.43604764342308044,0.017453676089644432,-1.678307518351548,0.9023944139480591,0.9797163605690002,0.9877992868423462,0.03665412217378616,1.5507902433164418,1.70219658408314
9,0.8450578451156616,5.871829032897949,0.32135146856307983,0.40138760209083557,0.017064617946743965,-1.7171638799785454,0.8990392088890076,0.9789537787437439,0.9862741827964783,0.03582414984703064,1.262823604978621,1.4159320392645895
10,0.8058152198791504,6.105470180511475,0.29782843589782715,0.36863473057746887,0.0167306587100029,-1.755228323309756,0.8917187452316284,0.9786487817764282,0.9855116605758667,0.0351017490029335,1.2356938868761063,1.3875506636686623
11,0.7681825160980225,6.337070465087891,0.2767961621284485,0.33784136176109314,0.016243258491158485,-1.792924122497281,0.8834832906723022,0.9759036302566528,0.9838340878486633,0.03442957252264023,1.236300601158291,1.3875446249730885
12,0.7315905094146729,6.5683417320251465,0.2581620514392853,0.3090316951274872,0.01568947173655033,-1.8296585105947543,0.878755509853363,0.9731584787368774,0.9829190373420715,0.03384358063340187,1.2403155188076198,1.3917952701449394
13,0.6967940330505371,6.8000922203063965,0.24181057512760162,0.28220894932746887,0.015400340780615807,-1.865421819930209,0.8764678835868835,0.9696507453918457,0.9813939332962036,0.03331537917256355,1.4007011079229414,1.5522585082799196
14,0.6637212634086609,7.032064437866211,0.22763821482658386,0.2573545575141907,0.015121071599423885,-1.9003484272553894,0.8726551532745361,0.9650754928588867,0.9788013100624084,0.03281639888882637,1.2285542818717659,1.3814858477562666
15,0.6320659518241882,7.263497829437256,0.21555928885936737,0.23442955315113068,0.014621487818658352,-1.9348386440058032,0.8715876340866089,0.9620253443717957,0.9760560989379883,0.0323067381978035,1.452778804115951,1.6057693590410054
16,0.6014257669448853,7.494115829467773,0.20548374950885773,0.2133781760931015,0.014398431405425072,-1.9686633993362208,0.8676223754882812,0.9592801332473755,0.9734634757041931,0.03179139271378517,1.6209745318628848,1.774854077026248
17,0.5721970200538635,7.724487781524658,0.1973164677619934,0.1941339522600174,0.01417222898453474,-2.0022719762075334,0.8633521199226379,0.9559249877929688,0.9714808464050293,0.031239423900842667,1.2366564879193902,1.387525704689324
18,0.543776273727417,7.955573558807373,0.19096854329109192,0.17661702632904053,0.013859467580914497,-2.0356473750220956,0.8578618168830872,0.9531798362731934,0.9687356948852539,0.03065749630331993,1.2416263362392783,1.3925244230777025
19,0.5158815979957581,8.188199043273926,0.1863689124584198,0.1607346534729004,0.01351424865424633,-2.068627784406982,0.8589293956756592,0.9508921504020691,0.9666005969047546,0.030055901035666466,1.5520282299257815,1.7030919450335205
20,0.4887445569038391,8.42313003540039,0.18343837559223175,0.14638976752758026,0.01316883321851492,-2.1017363450268163,0.860912024974823,0.94890958070755,0.9627878665924072,0.029410768300294876,1.565725606866181,1.719782711006701
21,0.4620708227157593,8.661547660827637,0.1820508986711502,0.13348713517189026,0.012881920672953129,-2.1345497025059115,0.8615220189094543,0.9466219544410706,0.9621778130531311,0.028750089928507805,1.2349749649874866,1.386953151319176
22,0.43643805384635925,8.905028343200684,0.1820596307516098,0.12193470448255539,0.012551595456898212,-2.1673651666302,0.8595394492149353,0.9461644291877747,0.9594326615333557,0.028067216277122498,1.235962815117091,1.388337006792426
23,0.41163963079452515,9.154962539672852,0.183323472738266,0.1116391196846962,0.01229744404554367,-2.1997342052473505,0.8569467663764954,0.944791853427887,0.9579075574874878,0.027389192953705788,1.2511067683808506,1.4058392653241754
24,0.3883723020553589,9.412649154663086,0.18569861352443695,0.1025116965174675,0.012085452675819397,-2.2310318797869315,0.8529815673828125,0.9446393251419067,0.9594326615333557,0.026744434610009193,1.2364340503700078,1.3884299350902438
25,0.36665406823158264,9.679076194763184,0.18902026116847992,0.09447100013494492,0.011932854540646076,-2.2604090756441177,0.848558783531189,0.9446393251419067,0.9568400382995605,0.02615753374993801,1.2363547710701823,1.3882818170823157
26,0.34643086791038513,9.953519821166992,0.19314098358154297,0.08743647485971451,0.011738372966647148,-2.287576841762728,0.8477962613105774,0.942199170589447,0.9554674625396729,0.025633739307522774,1.6098665171302855,1.7619483321905136
27,0.3277622163295746,10.233898162841797,0.19795167446136475,0.08132708817720413,0.011477231048047543,-2.3127129986611683,0.8473387360572815,0.9420466423034668,0.9547048807144165,0.02516394667327404,1.6024023350328207,1.754164912737906
28,0.3098464012145996,10.518492698669434,0.20339033007621765,0.07605840265750885,0.011232973076403141,-2.336169236937282,0.847033679485321,0.9402165412902832,0.9525697827339172,0.02473011240363121,1.2412007902748883,1.3925989223644137
29,0.29199519753456116,10.805694580078125,0.20946104824543,0.07153990119695663,0.011002175509929657,-2.3582449792215816,0.8456611037254333,0.937623918056488,0.9528747797012329,0.024326695129275322,1.2381174322217703,1.3914781538769603
30,0.27458181977272034,11.094320297241211,0.2161444127559662,0.067688949406147,0.010720380581915379,-2.3797244659260843,0.8442885279655457,0.9373189210891724,0.953484833240509,0.0239315927028656,1.2323594316840172,1.3840688806958497
31,0.25738459825515747,11.383496284484863,0.22336971759796143,0.06443063169717789,0.010568324476480484,-2.4014835347934627,0.8416959047317505,0.9385389685630798,0.9551624059677124,0.023510001599788666,1.2374111800454557,1.3908469500020146
32,0.23956246674060822,11.67061710357666,0.23113010823726654,0.0616813600063324,0.010327275842428207,-2.4237418080132827,0.8418484330177307,0.9383864402770996,0.955009937286377,0.023064376786351204,1.2324320320039988,1.545090802013874
33,0.22117333114147186,11.954264640808105,0.23946508765220642,0.05935416370630264,0.01018932182341814,-2.4452999126818606,0.8420009016990662,0.9409791231155396,0.9556199312210083,0.02262810245156288,1.2367600770667195,1.3887589517980814
34,0.20344266295433044,12.234248161315918,0.2483479529619217,0.05737562105059624,0.010049981065094471,-2.465123215699244,0.8420009016990662,0.9417416453361511,0.9563825130462646,0.022228088229894638,1.4058996131643653,1.5595078822225332
35,0.18732835352420807,12.512900352478027,0.2575781047344208,0.055698152631521225,0.009943372569978237,-2.4824704460495286,0.845051109790802,0.942199170589447,0.9563825130462646,0.021862197667360306,1.230252644047141,1.3836931940168142
