iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.3803725544456753,3.645053570381739,0.644396670536473,0.644496665514609,0.047379373916898344,-1.1136877252260005,0.8489774465560913,0.9564761519432068,0.9685369729995728,0.07694040590711312,0.27926308009773493,0.3406026316806674
1,1.3503618951790202,3.891471205928234,0.5984543857595984,0.5982202868710212,0.046797477952058554,-1.1484932452685808,0.8038804531097412,0.9570005536079407,0.9685369729995728,0.07509331531698377,0.007352390326559544,0.026960416231304407
2,1.3228740884357821,4.147830269471765,0.5557861879057002,0.5544082046627301,0.04616282426475432,-1.1816616329429317,0.7703198790550232,0.9575248956680298,0.9685369729995728,0.0735021076761707,0.00687902607023716,0.025683409068733454
3,1.2978342564713596,4.417196985478777,0.5172246074568808,0.5130531759535466,0.0454590217266639,-1.2131795878343246,0.7572102546691895,0.9575248956680298,0.9680125713348389,0.07210531974977294,0.006759187206625938,0.02559689898043871
4,1.274850034645227,4.70393581747768,0.4841200693852441,0.4741480265905157,0.04460990769198928,-1.2432095960636573,0.738856852054596,0.9564761519432068,0.9669638276100159,0.07083343722342819,0.006756605580449104,0.025741446763277054
5,1.2532841645276656,5.00580641213975,0.458270508878019,0.43767992661408023,0.04361648196100894,-1.2720499095540676,0.7315154671669006,0.9564761519432068,0.9669638276100159,0.06962704327571424,0.006714307237416506,0.025900986045598984
6,1.2324989459687765,5.319848852996275,0.4412973015473776,0.40362064732559855,0.04252985696790367,-1.3001319325786687,0.7262716293334961,0.9517566561698914,0.9659150242805481,0.06844623207980777,0.006764196325093508,0.025815066415816545
7,1.2119877215329136,5.644737020424324,0.43372068990233187,0.37191514295385053,0.04138741760170551,-1.3279297539676174,0.7194546461105347,0.9501835107803345,0.9638175368309021,0.06727293196293739,0.006740116979926825,0.025586359202861786
8,1.1913876467426288,5.979049414237533,0.4347905649954604,0.34247556145861585,0.04025516784862754,-1.355748359932233,0.7194546461105347,0.9507079124450684,0.9643418788909912,0.06610943120613198,0.0068863751366734505,0.025761547032743692
9,1.170516889253646,6.321188893406076,0.44319436039633464,0.3151858043484004,0.03915631218111995,-1.3836482442959979,0.7194546461105347,0.9501835107803345,0.9638175368309021,0.06496847671609708,0.005853674840182066,0.018764293752610683
10,1.1493460355853042,6.6695843512095205,0.4577003523557658,0.28991319970187124,0.03812638129417792,-1.4115053330735448,0.7215521931648254,0.9486103653907776,0.9643418788909912,0.06386515616985468,0.005855135153979063,0.01862009521573782
11,1.1279237422289037,7.02281872026545,0.47737005769070956,0.266520829390202,0.03716580109141225,-1.4390898204882454,0.7220765352249146,0.9465128183364868,0.9627687335014343,0.06281397614816453,0.0058416747488081455,0.018581395037472248
