iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.3867249902366945,3.4974584383797915,1,0.3176977793832123,0.04970655336894918,-1.144080963556562,0.7482957243919373,0.9674882292747498,0.9758783578872681,0.07651249495338425,0.2878891434520483,0.3322141282260418
1,1.30243457928753,3.7389268409959584,1,0.08867294075374717,0.04491481565592822,-1.259594068554953,0.7309910655021667,0.9606711864471436,0.9732564091682434,0.07311449876294931,0.016932440921664238,0.02970460243523121
2,1.2096329429776953,5.283826855173324,1,0.008275984676885543,0.03627043630213666,-1.5200937682040712,0.7530152201652527,0.9507079124450684,0.9695857167243958,0.06405100343598269,0.016491823829710484,0.02882483694702387
3,1.027276212049663,9.051726609973123,1,0.0003723171605815666,0.030434111536296972,-1.7579571359809774,0.7021499872207642,0.8919769525527954,0.920818030834198,0.05624766508799902,0.024968905374407768,0.03725282847881317
4,0.8809571677383607,10.49722267600205,1,0.00018856048898284203,0.029691317930015906,-1.7815101506315123,0.7299423217773438,0.9071840643882751,0.9355008006095886,0.05686110204303204,0.016661482863128185,0.029157775454223156
5,0.842834548173757,11.341209228193453,1,0.00014838644906353465,0.02851387432603992,-1.8263600869231351,0.7194546461105347,0.8998426795005798,0.9302569627761841,0.054867987009923735,0.016876641660928726,0.029118784703314304
6,0.8170951171655508,12.866772498986473,1,0.0001172749630397342,0.0277804852707584,-1.8571254897340315,0.7084425687789917,0.9050865173339844,0.9271106719970703,0.053661316848449894,0.016798552125692368,0.028856756165623665
7,0.8006447480012444,15.470958899070718,1,0.00010316400870729354,0.027621306353011275,-1.9046138245624642,0.7000524401664734,0.9061353206634521,0.9307813048362732,0.05262237641581616,0.024971763603389263,0.037240857258439064
8,0.7743892650638511,16.787503951789294,1,0.00010132542717388236,0.02780912674651729,-1.9227825855891958,0.6780283451080322,0.8998426795005798,0.9302569627761841,0.052535080780708,0.025492302142083645,0.03776880446821451
9,0.7649353972459982,17.934211013637242,1,0.0001006214833944886,0.026308230791113052,-1.946290762588049,0.6738332509994507,0.8893550038337708,0.9113791584968567,0.050835938179679706,0.017445389181375504,0.029901561327278614
10,0.7300398617355695,20.017419124299334,1,0.00010021468751857191,0.02580656182615805,-2.0015161158578487,0.6864184737205505,0.9024646282196045,0.9302569627761841,0.049554223319712015,0.017190760001540184,0.029310883954167366
11,0.7019506272592855,20.40023092598785,1,0.00010014758659998407,0.026434518416243353,-2.0059647174155755,0.6780283451080322,0.9003670811653137,0.9255374670028687,0.05059708032699121,0.01726874988526106,0.029570412822067738
12,0.6818116495877488,21.480889545818922,1,0.00010007594184067235,0.026656086615138314,-2.0212148642445285,0.6759307980537415,0.907708466053009,0.932878851890564,0.05080417545236158,0.017569848336279392,0.02993124071508646
13,0.6723293292453043,24.643494054267748,1,0.00010001002722722812,0.027053464159046334,-2.0492380793822873,0.6900891661643982,0.9108547568321228,0.9381226897239685,0.05116417564265239,0.017690397799015045,0.02983722183853388
14,0.6538828676466356,27.239544799290012,1,0.00010000184282734258,0.02716563885268646,-2.0630798285623597,0.6816989779472351,0.9082328081130981,0.9355008006095886,0.05147293297665376,0.017798948101699352,0.030160130001604557
15,0.6401588599284994,30.786591814169714,1,0.00010000019037669286,0.026956903290302307,-2.0770211715613627,0.6706869602203369,0.8987939357757568,0.9302569627761841,0.05131699967085018,0.01774019841104746,0.02994695119559765
16,0.627426453660255,38.662359119124396,1,0.00010000000130554391,0.027275014970838434,-2.0906204500229335,0.6759307980537415,0.8951232433319092,0.9223911762237549,0.0518290431080448,0.018458864651620388,0.030866877175867558
17,0.616474178880773,40.54324869419573,1,0.00010000000038386299,0.027451643123275703,-2.0914700385583265,0.6696381568908691,0.8898794054985046,0.9187204837799072,0.052056150053619,0.018066775985062122,0.03043952863663435
18,0.6114054987718271,44.481468526845546,1,0.000100000000030757,0.027800156652514806,-2.083030275723271,0.6617724299430847,0.8841111660003662,0.9171473383903503,0.05267803300411764,0.0182071253657341,0.030312279239296913
19,0.6081397293701428,48.27762125667283,1,0.00010000000000271581,0.02794036306432874,-2.081289415410093,0.6560041904449463,0.8804404735565186,0.9140010476112366,0.05289226877153758,0.018097045831382275,0.03037113882601261
20,0.6062099993252286,52.83098066436376,1,0.00010000000000015063,0.028132158391385345,-2.0819296762750703,0.6565285921096802,0.8804404735565186,0.9134766459465027,0.05330289224101662,0.018725193105638027,0.030917187221348286
21,0.6045919912098003,56.803303265382944,1,0.0001000000000000121,0.028037027728154026,-2.082834260180781,0.6570529341697693,0.8757210373878479,0.9108547568321228,0.05331036023392701,0.018615874461829662,0.03080689813941717
22,0.603156672636689,60.37718361670808,1,0.00010000000000000128,0.028134187861132465,-2.0830903105336067,0.658626139163971,0.8804404735565186,0.9124279022216797,0.05370969252720731,0.018488485366106033,0.03056229930371046
23,0.6023488849588765,62.59684512269062,1,0.00010000000000000032,0.028125144693227612,-2.083432354226607,0.658626139163971,0.8799160718917847,0.9134766459465027,0.053816544464298954,0.018849932588636875,0.031190985813736916
24,0.6014628177895549,69.00000551046804,1,0.0001,0.028158796256064215,-2.0845898537118406,0.6554797887802124,0.8767697811126709,0.9108547568321228,0.05413752575225663,0.01890469156205654,0.03114257473498583
25,0.5980503740648591,81.41778047650774,1,0.0001,0.028208051903947068,-2.0897252507252255,0.6554797887802124,0.874147891998291,0.907708466053009,0.054593946319367405,0.01944406982511282,0.03189114201813936
26,0.5898726090525058,116.30064721399332,1,0.0001,0.028306823536731363,-2.099875761837043,0.6717357039451599,0.874147891998291,0.907708466053009,0.0554391444162574,0.02086976356804371,0.03325341548770666
27,0.5657973287155363,123.33507421641029,1,0.0001,0.028261826141032332,-2.1007408944295007,0.6722601056098938,0.8778185844421387,0.908757209777832,0.05539203972332283,0.03648490086197853,0.04859237466007471
28,0.560841898196325,159.48876885763912,1,0.0001,0.02814467505623105,-2.105629636546517,0.6879916191101074,0.8867331147193909,0.9145254492759705,0.055147202393326496,0.02701859548687935,0.039049879647791386
29,0.5465516073463321,186.58560048697603,1,0.0001,0.028374383432169695,-2.130529069106268,0.6659674644470215,0.8846355676651001,0.9140010476112366,0.05445926845290864,0.018960721790790558,0.03097650595009327
30,0.5366358483217137,194.0226502822389,1,0.0001,0.028322932665980516,-2.1216129867576843,0.6680650115013123,0.8825380206108093,0.9108547568321228,0.05428897984460846,0.01928234100341797,0.031394083984196186
31,0.5327639999381093,207.59971122673494,1,0.0001,0.02847875135239317,-2.115572579948332,0.6680650115013123,0.8825380206108093,0.909805953502655,0.054620122868319944,0.019258051179349422,0.031425975263118744
32,0.5312682575552177,228.273051222274,1,0.0001,0.028439957300342242,-2.1173019898793073,0.6685894131660461,0.8835867643356323,0.9108547568321228,0.05461309642218328,0.019270559772849083,0.03134281374514103
33,0.5290329442367301,328.365124425409,1,0.0001,0.028462284019803875,-2.1227244287861273,0.6722601056098938,0.8793917298316956,0.908757209777832,0.05489249264870657,0.020443645305931568,0.032815247774124146
34,0.5213115049456906,449.0900406820845,1,0.0001,0.028399376336359035,-2.1341611633962607,0.671211302280426,0.8793917298316956,0.9092816114425659,0.054824636137394966,0.021305360831320286,0.033435724675655365
35,0.5155807923556703,631.6784698639118,1,0.0001,0.028428329431202305,-2.1364116699317606,0.6738332509994507,0.8772941827774048,0.9061353206634521,0.05499406733885803,0.019868536852300167,0.031992120668292046
36,0.510743443878797,836.9174543043993,1,0.0001,0.02840849642350261,-2.1426315930150093,0.6748819947242737,0.8788673281669617,0.9082328081130981,0.05494611419739704,0.02016130741685629,0.032379250042140484
37,0.5078201338255559,1121.8801508743418,1,0.0001,0.028417075611792186,-2.142818221282131,0.6738332509994507,0.8767697811126709,0.9071840643882751,0.05494654072009971,0.019927446730434895,0.03215239103883505
38,0.5053377608016785,1476.141788437091,1,0.0001,0.028427395279446703,-2.144615008386458,0.6754063963890076,0.8778185844421387,0.908757209777832,0.05495431611076947,0.02023076545447111,0.032535528764128685
39,0.5036401696491459,1948.9802935046832,1,0.0001,0.028402499920787368,-2.145086581427449,0.6748819947242737,0.8762454390525818,0.9061353206634521,0.05489795488758134,0.020384835079312325,0.03246304951608181
40,0.5022157719936611,3243.6827975988294,1,0.0001,0.02828620650307099,-2.149454479842848,0.6738332509994507,0.8793917298316956,0.9071840643882751,0.05468892898175912,0.020251115784049034,0.03239226993173361
41,0.4987023174965328,4716.348098128696,1,0.0001,0.0281724861789951,-2.15182378287959,0.6733088493347168,0.8788673281669617,0.9066596627235413,0.054516855129817174,0.028934285044670105,0.04119561892002821
42,0.49689618962762605,4746.202641745304,1,0.0001,0.02815182377573729,-2.1528311786552674,0.6727845072746277,0.8772941827774048,0.9071840643882751,0.05447795171296477,0.020472094416618347,0.03250644914805889
43,0.49685372015510976,4758.9224476028385,1,0.0001,0.02816111792684407,-2.1529072451214293,0.6727845072746277,0.8778185844421387,0.9071840643882751,0.054497471977547986,0.020653224550187588,0.03271834831684828
44,0.49683494187352784,4817.765738346105,1,0.0001,0.028162918740627093,-2.152887585241431,0.6733088493347168,0.8778185844421387,0.9071840643882751,0.054499828232080466,0.021080851554870605,0.033271435648202896
45,0.49682068418892156,5178.317609431845,1,0.0001,0.028168326926507187,-2.152789065755538,0.6722601056098938,0.8778185844421387,0.9066596627235413,0.05450921652338902,0.020877962931990623,0.03299489710479975
46,0.4967608791092313,5813.296293551412,1,0.0001,0.028170953283037207,-2.1528240376861896,0.6733088493347168,0.8778185844421387,0.9061353206634521,0.05451420882457246,0.020872222259640694,0.032916986383497715
47,0.4966752725053023,7143.6676971233865,1,0.0001,0.028172703413051427,-2.1529230032651525,0.6733088493347168,0.8783429265022278,0.9061353206634521,0.05451772294033497,0.02095728274434805,0.03311553690582514
48,0.4965213459894662,9175.696818083345,1,0.0001,0.028171262583818486,-2.153287036964633,0.6722601056098938,0.8778185844421387,0.9061353206634521,0.054514554382679076,0.02099252212792635,0.032983506098389626
49,0.4963482721275563,11529.36667316013,1,0.0001,0.028167752545108487,-2.153431269144257,0.6733088493347168,0.8783429265022278,0.9071840643882751,0.05450878233123826,0.021479880437254906,0.03353089466691017
50,0.49624608084110755,13756.174975508871,1,0.0001,0.02816680118058921,-2.153612092237637,0.6733088493347168,0.8778185844421387,0.9071840643882751,0.054505395432398095,0.021642450243234634,0.03365636430680752
51,0.49620232745924264,16473.554031227795,1,0.0001,0.028166873426701284,-2.153685300618704,0.6733088493347168,0.8778185844421387,0.9071840643882751,0.054505063101819407,0.021607249975204468,0.03375574294477701
52,0.49616964393154883,20352.702009707966,1,0.0001,0.028167368718924307,-2.153770680501297,0.6733088493347168,0.8778185844421387,0.9071840643882751,0.05450597878617621,0.021907147951424122,0.03391536325216293
53,0.49613828785354697,25165.351792256457,1,0.0001,0.02816779700680564,-2.1538100194697924,0.6727845072746277,0.8783429265022278,0.9071840643882751,0.0545075802532976,0.021510940045118332,0.03344705514609814
