iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.184135913848877,3.6265695095062256,0.6443967223167419,0.644496738910675,0.027781860902905464,-1.3022596836090088,0.9023795127868652,0.9646125435829163,0.9758999347686768,0.06922599673271179,0.29013391118496656,0.35186987835913897
1,1.1469792127609253,3.869877815246582,0.5992114543914795,0.5982076525688171,0.027734294533729553,-1.338571548461914,0.9028370976448059,0.9653752446174622,0.9765100479125977,0.06748618930578232,0.006718597374856472,0.030762839131057262
2,1.1113274097442627,4.125457763671875,0.5598772764205933,0.5543526411056519,0.02757890708744526,-1.3730090856552124,0.8964307308197021,0.9675107002258301,0.9758999347686768,0.06602108478546143,0.006101901642978191,0.02971462719142437
3,1.077410101890564,4.392857551574707,0.5312020182609558,0.5129004716873169,0.027283430099487305,-1.4059704542160034,0.8730933666229248,0.9675107002258301,0.9751372933387756,0.06477562338113785,0.005821974948048592,0.029517268761992455
4,1.0450689792633057,4.671326160430908,0.5182973146438599,0.4738130569458008,0.026804514229297638,-1.438503623008728,0.8598230481147766,0.9670530557632446,0.9754423499107361,0.06368124485015869,0.005712374113500118,0.029440698213875294
5,1.013522982597351,4.95975399017334,0.5206025838851929,0.437042772769928,0.02617168053984642,-1.4712871313095093,0.8561623096466064,0.9659853577613831,0.9751372933387756,0.06270484626293182,0.005717434920370579,0.02953257877379656
6,0.9818914532661438,5.256629943847656,0.534080445766449,0.40253227949142456,0.025456184521317482,-1.5042922496795654,0.8531116247177124,0.9640024304389954,0.9745271801948547,0.06184229999780655,0.005874834954738617,0.022216796875
7,0.9498183727264404,5.56001091003418,0.5555310845375061,0.3702179491519928,0.024718770757317543,-1.5372939109802246,0.8537217974662781,0.9624771475791931,0.9737644791603088,0.06109026446938515,0.005168399773538113,0.021546042524278164
8,0.9173970222473145,5.86758279800415,0.5830749273300171,0.3400317430496216,0.024007705971598625,-1.5701162815093994,0.8520439267158508,0.9617144465446472,0.9719340801239014,0.06043983995914459,0.005758184939622879,0.022694812156260014
9,0.8849087953567505,6.1769490242004395,0.6156281232833862,0.3119019865989685,0.023333312943577766,-1.6026830673217773,0.8529590964317322,0.9604942202568054,0.9702562689781189,0.05987730622291565,0.00546178687363863,0.022118537686765194
10,0.8526335954666138,6.486147403717041,0.6525245308876038,0.2857535481452942,0.022716166451573372,-1.6350030899047852,0.8515863418579102,0.9592739343643188,0.9684258699417114,0.059386856853961945,0.005222968757152557,0.021762230433523655
