iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.4012186475419786,3.5233025170960164,1,0.3217021996304159,0.0497433342770164,-1.167068635599062,0.7362349033355713,0.9659150242805481,0.9795490503311157,0.07719662811988681,0.2910771397873759,0.34131637681275606
1,1.3164590107151968,3.8878189995940824,1,0.05799535998369533,0.04449089411643692,-1.3678746558546238,0.7000524401664734,0.9549030065536499,0.9722076654434204,0.07324600740988965,0.02136953081935644,0.28477685805410147
2,1.1770887967505383,6.241602228134648,1,0.0005860240915251044,0.03546762018236608,-1.5953919256966673,0.5773466229438782,0.862087070941925,0.8961719870567322,0.06551237789144106,0.024393017403781414,0.0361792529001832
3,0.82895744962749,7.961567509669334,1,0.0001291126892574229,0.03282906107452138,-1.8553813399180012,0.6339800953865051,0.8736234903335571,0.908757209777832,0.06546260741375697,0.016298603266477585,0.028117558918893337
4,0.7036489107827656,8.969091101356213,1,0.00010768630057160185,0.031712086721731064,-1.8896325253738007,0.6187729239463806,0.8647089600563049,0.8940744400024414,0.06412292191388205,0.016492264345288277,0.02821093052625656
5,0.6570269131038773,10.516546030744001,1,0.00010112344142501853,0.03180843389648942,-1.9344706602338373,0.6491872072219849,0.8715259432792664,0.9035133719444275,0.06454925506857538,0.016423444263637066,0.027964850887656212
6,0.6309349178274236,13.7073523764292,1,0.00010002348463037034,0.032056643931483914,-1.9026952127249508,0.6282118558883667,0.8599895238876343,0.8930256962776184,0.06433915753436811,0.016484403982758522,0.02829256933182478
7,0.6124757651121975,13.698922956262217,1,0.00010002510997043265,0.031072697292722808,-1.9085667799892567,0.6261143088340759,0.8557944297790527,0.8851599097251892,0.06376082539224917,0.016740942373871803,0.02872326597571373
8,0.590785499753012,14.200370266522183,1,0.00010001531996818033,0.031042562723276657,-1.9483557008322672,0.6428946256637573,0.8615626692771912,0.8961719870567322,0.06401369224463115,0.024802925065159798,0.03665779996663332
9,0.5823036043021979,14.970508203293083,1,0.00010000668340609706,0.03076299346040959,-1.9527196427827123,0.636601984500885,0.8636602163314819,0.8930256962776184,0.06332703318715067,0.01695925183594227,0.028870485723018646
10,0.5788069125783606,15.903628803341064,1,0.00010000234396732608,0.030780565845498067,-1.974279104006547,0.635553240776062,0.8652333617210388,0.8966963887214661,0.06312818433593421,0.01696477085351944,0.028673416934907436
11,0.5736533355228324,19.334798445402434,1,0.00010000005372007569,0.03186309789138085,-2.0731962765978476,0.6434189677238464,0.8804404735565186,0.9134766459465027,0.06344759082673089,0.025386341847479343,0.03731578681617975
12,0.561319155363778,21.563546153804044,1,0.00010000000455769876,0.032921321767309816,-2.1064423120149813,0.6413214206695557,0.8778185844421387,0.9140010476112366,0.06375279839422922,0.02548287156969309,0.03782390523701906
13,0.5551801864166829,25.272056920919496,1,0.0001000000000721111,0.03361530093663404,-2.134372573955811,0.6135290861129761,0.8835867643356323,0.9129523038864136,0.06371343577543251,0.017468389123678207,0.029175804927945137
14,0.5402338287100721,25.294892249092225,1,0.00010000000006398121,0.03167960092769604,-2.0630044053910654,0.5736759305000305,0.852648138999939,0.8799160718917847,0.061444304576077496,0.01745631918311119,0.029437484219670296
15,0.510212349055357,28.52688409031403,1,0.00010000000000185829,0.03197013228532919,-2.112223358690015,0.5904561877250671,0.8699527978897095,0.898269534111023,0.06182925913141608,0.02630131784826517,0.03837080206722021
16,0.4795845952660984,30.626070163412447,1,0.00010000000000016815,0.03243467650457303,-2.0887831573677094,0.6009438633918762,0.8730990886688232,0.8977451324462891,0.06280903962256212,0.017318088561296463,0.029045714996755123
17,0.46784802636696554,32.16819975575379,1,0.0001000000000000291,0.03230913672408587,-2.0579198620750847,0.5983219742774963,0.8683796525001526,0.8925012946128845,0.06297768389612825,0.017331600189208984,0.028847455978393555
18,0.4606128766469171,35.19513884925328,1,0.000100000000000001,0.0326603963171791,-2.0242479018259885,0.5894074440002441,0.863135814666748,0.8914525508880615,0.06338959088283237,0.017755337990820408,0.02933210413902998
