iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.1578823328018188,3.4918582439422607,0.5522518157958984,0.13454583287239075,0.027556709945201874,-1.7102428674697876,0.7788622975349426,0.9632453918457031,0.973921000957489,0.06327848881483078,0.2706763003952801,0.32381102722138166
1,0.7858144044876099,4.070800304412842,0.3419913947582245,0.00015775891370140016,0.027163414284586906,-3.010937452316284,0.6620405912399292,0.855269193649292,0.8850083947181702,0.062452077865600586,0.018464053981006145,0.04214093880727887
2,0.06273078918457031,4.431060791015625,0.6635419130325317,0.00010193461639573798,0.022562971338629723,-3.50254225730896,0.7680341601371765,0.9364038705825806,0.9614152908325195,0.05862518772482872,0.01826920500025153,0.04111468605697155
3,-0.5549913644790649,4.512333393096924,0.7402656674385071,0.00010133199248230085,0.021288014948368073,-3.545877456665039,0.7965533137321472,0.9510446786880493,0.964770495891571,0.05816689878702164,0.01818887609988451,0.036587180104106665
4,-0.6193394660949707,4.793464660644531,0.8547788858413696,0.00010042184294434264,0.019516190513968468,-3.603668689727783,0.8389507532119751,0.954552412033081,0.9643129706382751,0.05839584022760391,0.014793500304222107,0.03266280796378851
5,-0.6911946535110474,5.325160980224609,0.9815198183059692,0.00010007347736973315,0.018666833639144897,-3.6615889072418213,0.8688424825668335,0.9539423584938049,0.9635503888130188,0.05905719846487045,0.014801010955125093,0.03245033975690603
6,-0.744074821472168,7.182122230529785,1.3297710418701172,0.0001000008123810403,0.018378695473074913,-3.755239725112915,0.8603019714355469,0.9521122574806213,0.9629403948783875,0.0605086125433445,0.015031089074909687,0.03276707837358117
7,-0.833586573600769,11.101785659790039,1.985776424407959,9.999999747378752e-05,0.018576111644506454,-3.768042802810669,0.7954857349395752,0.9257282018661499,0.944791853427887,0.06196180358529091,0.01512881787493825,0.03310127602890134
8,-0.9331088066101074,14.107028007507324,2.729907751083374,9.999999747378752e-05,0.0187116339802742,-3.9079880714416504,0.8386456966400146,0.9444867968559265,0.9568400382995605,0.06347990036010742,0.01519007794559002,0.03301443625241518
9,-0.9667894840240479,15.01750659942627,2.912959575653076,9.999999747378752e-05,0.018411993980407715,-3.908986806869507,0.8229373097419739,0.9408265948295593,0.9528747797012329,0.06297586113214493,0.013964537065476179,0.029615720734000206
10,-0.9865299463272095,19.266738891601562,3.8486928939819336,9.999999747378752e-05,0.017721157521009445,-3.937325954437256,0.8163794279098511,0.9321336150169373,0.9508921504020691,0.062143467366695404,0.0140107162296772,0.029663060326129198
11,-1.0219194889068604,21.4057674407959,4.334780693054199,9.999999747378752e-05,0.017626162618398666,-3.9675722122192383,0.8203446865081787,0.9344212412834167,0.9527223110198975,0.061310358345508575,0.014139886014163494,0.02979236003011465
12,-1.0376627445220947,26.117704391479492,5.35618257522583,9.999999747378752e-05,0.016961898654699326,-4.025656223297119,0.8391032218933105,0.9441817998886108,0.9572975635528564,0.05908183380961418,0.014257574919611216,0.02986514987424016
