iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.3351423237662225,3.404807717004187,0.6616819933797421,0.6435977567891107,0.04804063278881193,-1.1082424973344105,0.8390141725540161,0.9622443914413452,0.9727320671081543,0.07629096586577733,0.4577601784840226,0.7884414605796337
1,1.3133417638409046,3.5659122094310938,0.40693175851197133,0.234194741567439,0.046300324800761676,-1.239083421235707,0.6560041904449463,0.9344519972801208,0.9528054594993591,0.07277548619580207,0.13327528815716505,0.3953434117138386
2,1.207878930270112,4.774832001387998,0.9157998517614092,0.016752203507016408,0.03783210276579078,-1.458799105893585,0.7325642108917236,0.9449396729469299,0.9659150242805481,0.06485039937734781,0.1837000660598278,0.516092685982585
3,1.0483226959083876,7.089819373344191,1.0522897767253574,0.0007270737899940212,0.03372021257167714,-1.6257722786109257,0.7341374158859253,0.9250131249427795,0.9480860233306885,0.06029055220729803,0.2527286494150758,0.7208820469677448
4,0.8937613151625812,12.804989539702486,1.2036127448135552,0.00010466975480474222,0.030567621040751888,-1.6953954802080307,0.6654431223869324,0.8778185844421387,0.9035133719444275,0.055587659474810085,0.5562821626663208,1.0918469736352563
5,0.8258456429863694,13.174632904309664,1.5299271430458488,0.00010285917925706747,0.030249777399860962,-1.7524024301618788,0.694284200668335,0.899318277835846,0.9223911762237549,0.05530264007706825,0.7889293245971203,1.3204096872359514
6,0.7842698395798002,15.445352106218618,1.9991451288132693,0.00010040387772081185,0.029483656872402814,-1.7889595577600548,0.7052962779998779,0.907708466053009,0.9297325611114502,0.05432707496065206,0.9092918327078223,1.4627344803884625
7,0.7590040719088975,15.445352106218618,1.9991451288132693,0.00010040387772081185,0.029483656872402814,-1.7889595577600548,0.7052962779998779,0.907708466053009,0.9297325611114502,0.05432707496065206,4.29241534601897,4.847307904623449
8,0.7740052489280475,16.8595454675147,2.275254413466469,0.00010012227609001851,0.029230574614924402,-1.7993532319879593,0.7105401158332825,0.908757209777832,0.9313057065010071,0.05391753303498704,1.7863794807344675,2.347550761885941
9,0.767834397277636,16.862066294101034,2.2757585308263457,0.00010012202057454599,0.02928240312514304,-1.796967929779686,0.7131620049476624,0.9092816114425659,0.931830108165741,0.05394542267797701,5.663230258971453,6.200012526474893
