iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.3072279691696167,3.626570701599121,1,0.644496738910675,0.025801649317145348,-1.3453906774520874,0.9147475957870483,0.9755985736846924,0.984139084815979,0.05716975778341293,0.3288932959549129,1.4432669752277434
1,1.271186113357544,3.8701047897338867,1,0.5981963276863098,0.025283124297857285,-1.3871599435806274,0.9139850735664368,0.977428674697876,0.9835290312767029,0.05487998202443123,0.039756760001182556,0.9022929701022804
2,1.2351744174957275,4.126397609710693,1,0.5543109774589539,0.024799231439828873,-1.4285722970962524,0.9110873937606812,0.9794113039970398,0.984139084815979,0.05294229835271835,0.038731308188289404,0.965736408252269
3,1.1991101503372192,4.395399570465088,1,0.5128012895584106,0.024301309138536453,-1.469329833984375,0.9087997674942017,0.9798688292503357,0.9855116605758667,0.05134990066289902,0.03858823888003826,1.0309172519482672
4,1.1629385948181152,4.676942825317383,1,0.473623663187027,0.02391788363456726,-1.509785532951355,0.8976666331291199,0.9797163605690002,0.9859691858291626,0.050003912299871445,0.03883080603554845,1.0945728379301727
5,1.1266396045684814,4.970703601837158,1,0.43673035502433777,0.023496752604842186,-1.5496463775634766,0.8894311189651489,0.9794113039970398,0.9865792393684387,0.04887673631310463,0.03876487724483013,1.0948298871517181
6,1.090238094329834,5.276162624359131,1,0.4020691514015198,0.023025989532470703,-1.5891069173812866,0.8837883472442627,0.9778861999511719,0.9861217141151428,0.047954704612493515,0.03869463782757521,1.1603107480332255
7,1.053816556930542,5.592563152313232,1,0.3695836067199707,0.022606823593378067,-1.6273618936538696,0.8805856108665466,0.9742259979248047,0.9856641888618469,0.04720347002148628,0.03905287478119135,1.2230923008173704
8,1.0175269842147827,5.918844223022461,1,0.33921313285827637,0.022170519456267357,-1.6647157669067383,0.8763154149055481,0.972853422164917,0.9842916131019592,0.04657413810491562,0.038638349156826735,1.2896254351362586
9,0.9815903902053833,6.253551006317139,1,0.31089329719543457,0.02193750999867916,-1.700835108757019,0.8706725835800171,0.9707183241844177,0.9804788827896118,0.04604122415184975,0.0389488460496068,1.2847164636477828
10,0.9462853670120239,6.594719409942627,1,0.2845560908317566,0.021741682663559914,-1.7354280948638916,0.8660972714424133,0.9679731726646423,0.9775812029838562,0.04558952897787094,0.038681487552821636,1.2888872507028282
11,0.9119222164154053,6.939746379852295,1,0.26013001799583435,0.021308716386556625,-1.7686537504196167,0.8583193421363831,0.9627878665924072,0.9752935767173767,0.0451648086309433,0.03872558707371354,1.290891473647207
12,0.8788065910339355,7.285304546356201,1,0.23754046857357025,0.0210565198212862,-1.7996888160705566,0.8528290390968323,0.95912766456604,0.9731584787368774,0.044837236404418945,0.03860793821513653,1.4200395420193672
13,0.847196102142334,7.627429008483887,1,0.2167096883058548,0.02090967632830143,-1.8303306102752686,0.8479487299919128,0.9576025605201721,0.9702607989311218,0.044405512511730194,0.03889692621305585,1.485627903137356
14,0.8172570466995239,7.961918354034424,1,0.1975570023059845,0.020719202235341072,-1.8596992492675781,0.8410858511924744,0.9539423584938049,0.9667530655860901,0.043987248092889786,0.03864855831488967,1.5495991273783147
15,0.7890323400497437,8.285017967224121,1,0.17999862134456635,0.020262273028492928,-1.887734293937683,0.8374256491661072,0.9511972069740295,0.9640079140663147,0.043549370020627975,0.039113445207476616,1.5512131839059293
