iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.9763030949811073,2.714891967404179,1,1.5398362933530279,0.04996156234689449,-0.8690856940577536,0.8841111660003662,0.9764026999473572,0.9805977940559387,0.08224795710204794,1.229135082103312,1.2559759761206806
1,1.695299036049073,4.369598557034302,1,1.835171229089803,0.03791169074175483,-0.8991583219432814,0.9286838173866272,0.9884635806083679,0.9910854697227478,0.06452528537923637,0.28796699084341526,0.29461214784532785
2,1.5834531077270024,7.016179164298862,1,1.6179240145495966,0.031118517341358714,-1.019401781178726,0.9365495443344116,0.9942317605018616,0.9973780512809753,0.05244200666986548,0.28587479796260595,0.292431574780494
3,1.4042848751170998,11.767988115470292,1,1.0843598420928053,0.029310504684263522,-1.2325881090398518,0.9061353206634521,0.9910854697227478,0.9958049058914185,0.049911806962018065,0.29369140509516,0.30044153006747365
4,1.2055951604260349,17.783514205830034,1,0.5679236170583637,0.03131213774497204,-1.4578764821215127,0.8264289498329163,0.9769271016120911,0.9863660335540771,0.05074502027231302,0.28660378232598305,0.29323169915005565
5,1.0840094437755194,23.87435529377245,1,0.409027694426936,0.027870459165183117,-1.6073052700323571,0.7981122136116028,0.9727320671081543,0.9837440848350525,0.04456933321307145,0.2867737510241568,0.2935414770618081
6,1.0016403352903414,28.766999853907667,1,0.378420419125413,0.028088959282050043,-1.6508827258871772,0.7619297504425049,0.9632931351661682,0.9821709394454956,0.04319813629700714,0.28629345493391156,0.2928365017287433
7,0.9574615388252551,32.348826614550546,1,0.3420708212937311,0.03009548818140266,-1.6462229073873682,0.7346617579460144,0.9538542032241821,0.9743052124977112,0.04559687432243983,0.2868615100160241,0.29343790700659156
8,0.9335493948577601,35.304201844912086,1,0.33888865867258966,0.029428728858695182,-1.6665806318239715,0.7582590579986572,0.9491347670555115,0.9727320671081543,0.0440910838747173,0.2872698470018804,0.29391923267394304
9,0.9016744310471232,37.97156737066378,1,0.30921071716667176,0.026721755018974874,-1.7228627548501356,0.7519664168357849,0.954378604888916,0.9737808108329773,0.04157891402303437,0.287397176027298,0.2940018717199564
10,0.8839804478234659,40.25390687317944,1,0.3044238686614389,0.02678350036017034,-1.729578842741953,0.7535395622253418,0.9475616216659546,0.9716832637786865,0.04130585703144198,0.28747092466801405,0.29403283167630434
11,0.8655978292324742,42.187238486620274,1,0.30034052193389343,0.026062435206951423,-1.712652352551424,0.7629784941673279,0.9428421854972839,0.9680125713348389,0.04282301765785961,0.2875285940244794,0.294186940882355
12,0.8485630303348196,44.07175331677553,1,0.2728257168756405,0.02854498921952382,-1.7373068940371614,0.7351861596107483,0.9396958351135254,0.966439425945282,0.0422987620375616,0.2872148472815752,0.29394982289522886
13,0.8520273852552964,45.812560573339184,1,0.2857656084007946,0.027039930272152145,-1.7460401375338077,0.7441006898880005,0.9475616216659546,0.9695857167243958,0.041109672560338574,0.5311340228654444,0.5378312389366329
14,0.8401421896384323,47.33859433903472,1,0.2753868756641404,0.029228396734335253,-1.725894234427814,0.6869428157806396,0.9449396729469299,0.9706345200538635,0.04286463200725813,0.2889391942881048,0.295514281373471
15,0.8299338873127466,48.82411425931905,1,0.27216650349679344,0.02530335768375434,-1.7721278206052644,0.7378080487251282,0.9491347670555115,0.9722076654434204,0.04008616710362789,0.2870631078258157,0.2937679938040674
16,0.8322817374507212,50.11669597657654,1,0.27063522741218127,0.025655426925970067,-1.7762616328071812,0.7362349033355713,0.9449396729469299,0.9674882292747498,0.04012403225745424,0.28684119042009115,0.2933717770501971
