iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,2.0230427624381715,2.5445299033572586,1,1.5358576565979687,0.0526949599802996,-0.863510417524667,0.8909281492233276,0.9779759049415588,0.9858416318893433,0.08289902683028219,0.7378976093605161,0.7669537272304296
1,1.7321494439589549,3.6486638663592807,1,1.872071924757529,0.04191087158073837,-0.8656343744186852,0.932878851890564,0.988987922668457,0.9931830167770386,0.07126753895715773,0.30867612501606345,0.3157788757234812
2,1.6373171218792768,5.362411230456114,1,1.739842121369994,0.034624974531348704,-0.9397513938655738,0.9302569627761841,0.9942317605018616,0.9963293075561523,0.061489457513464206,0.28857271606102586,0.2952715130522847
3,1.5030971928577084,8.758958040432784,1,1.3415833836143118,0.0312069371448096,-1.1051148255896952,0.9187204837799072,0.9958049058914185,0.9963293075561523,0.05515603885323706,0.2873933301307261,0.2940982971340418
4,1.3123557812261075,14.217955717192357,1,0.8001918274427564,0.031637582376601525,-1.3250281492539109,0.8704771995544434,0.9826953411102295,0.9942317605018616,0.05323573030163417,0.28829069901257753,0.2949822158552706
5,1.1573243394345336,20.42808962743709,1,0.47263389290369684,0.031052157526358058,-1.513543422070776,0.8044047951698303,0.9695857167243958,0.9811221957206726,0.049893699596902985,0.28685303684324026,0.2935087038204074
6,1.0579284680213983,26.21013807775734,1,0.42629556932487467,0.030620874787535,-1.5644139585248025,0.7771368622779846,0.9659150242805481,0.977451503276825,0.04849139633110854,0.2871509538963437,0.29386368999257684
7,0.987623248398043,30.59901413844336,1,0.3600243156346772,0.034445792564206525,-1.573929713066687,0.7011011838912964,0.9491347670555115,0.9743052124977112,0.050905509822222854,0.28721682308241725,0.29388456977903843
8,0.9425288487802916,34.12884208239442,1,0.34825702201025155,0.0280987520438242,-1.6353885729372502,0.7834294438362122,0.943366527557373,0.9659150242805481,0.04723200183225834,0.28715581400319934,0.293869589921087
9,0.9054682894563849,36.95719001561395,1,0.31290127056917183,0.030336974016520617,-1.6555823770013818,0.7477713823318481,0.9486103653907776,0.9669638276100159,0.04758490979073938,0.29194580391049385,0.29882980789989233
10,0.9003602480240321,39.620271275545925,1,0.32042229921832477,0.029064989688147976,-1.6641795782806703,0.7430518865585327,0.9444153308868408,0.965390682220459,0.04708518558568676,0.28676196839660406,0.2934621050953865
11,0.8752792230791137,41.89706581998971,1,0.28609069652781666,0.03143915853519034,-1.6807760232922686,0.7100157141685486,0.9438909292221069,0.9680125713348389,0.04674807617697731,0.28700493508949876,0.29376427084207535
12,0.8655555278957903,44.01041134068217,1,0.29016646642788835,0.027614339626664482,-1.6951987967961601,0.7582590579986572,0.9386470913887024,0.9580492973327637,0.04551493775385309,0.2874948298558593,0.2942160158418119
13,0.8514706707868962,45.89533521764159,1,0.2763876392969374,0.029689578291461172,-1.6844189275387578,0.7084425687789917,0.9386470913887024,0.9648662805557251,0.046577819377228706,0.5280177830718458,0.5348895769566298
14,0.8479164274204652,47.67611517362863,1,0.28382315017783255,0.02693291946249136,-1.707821272571402,0.7519664168357849,0.9375983476638794,0.9590980410575867,0.04468012665456456,0.2883539581671357,0.295197653118521
15,0.8268390716874974,49.21034185248012,1,0.25972454060825195,0.026827498027840287,-1.7171520405513199,0.749344527721405,0.9339276552200317,0.9538542032241821,0.04489648784005821,0.28755785757675767,0.29426443483680487
16,0.8180031862172891,50.71667677968832,1,0.2688993070136607,0.02791051988883742,-1.7225232944240119,0.7236497402191162,0.9339276552200317,0.9627687335014343,0.04474781340739731,0.28704910492524505,0.2937112217769027
17,0.8309974360622479,52.090514754908064,1,0.27187527815848644,0.026909336950698647,-1.689921496445185,0.7482957243919373,0.9323545098304749,0.9564761519432068,0.046153132381925845,0.2877103458158672,0.2944156830199063
18,0.8238414921106733,53.427702588670755,1,0.26275127960229333,0.02694279733585481,-1.729372638401649,0.7346617579460144,0.9339276552200317,0.955427348613739,0.04413604112299629,0.2882435698993504,0.29488622676581144
19,0.8070733584122322,54.619645036266135,1,0.25699760289140505,0.028055305134967377,-1.7346825058112716,0.7367593050003052,0.9402202367782593,0.9622443914413452,0.04396744870581232,0.29176798602566123,0.29861075012013316
20,0.8005720610686579,55.728815394812834,1,0.25648325423461055,0.025927535817847968,-1.7564713920305424,0.7414787411689758,0.9375983476638794,0.954378604888916,0.04291080553469693,0.28746994864195585,0.2941228556446731
21,0.8186273242291225,56.8309290961663,1,0.2625280179711284,0.02826126341811019,-1.719773307369154,0.7189302444458008,0.9370739459991455,0.9596224427223206,0.04508389235465155,0.2874778597615659,0.2941450970247388
22,0.8229306680215953,57.89762611258635,1,0.26806391653162387,0.03120585882929806,-1.701434935538938,0.6864184737205505,0.9313057065010071,0.9638175368309021,0.04565499743614176,0.2876829272136092,0.29438630398362875
23,0.8107845232635714,58.88430703021377,1,0.24579694153737694,0.02607718599890195,-1.7403321181552969,0.7482957243919373,0.9255374670028687,0.9522810578346252,0.04387950129109919,0.2873150212690234,0.29397199815139174
24,0.7913031068063422,59.92128868162161,1,0.2399289914196202,0.02670818706990271,-1.74377668471836,0.7283691763877869,0.9292081594467163,0.955427348613739,0.04373680347612831,0.291724796872586,0.29843138298019767
25,0.7942358036764278,60.989253206465044,1,0.2599175706199173,0.026984030443403223,-1.7358845973649395,0.7477713823318481,0.9391714930534363,0.9596224427223206,0.04367175915384148,0.2872410318814218,0.2939479877240956
26,0.7913190970625291,61.89867591692159,1,0.2438635541162418,0.02792060273186293,-1.7375722504119626,0.703723132610321,0.9250131249427795,0.9512323141098022,0.04395564895192687,0.28881571255624294,0.2955394587479532
27,0.7816975071722566,62.864270643385794,1,0.24245517753432788,0.027342506677594552,-1.7409632886524087,0.7084425687789917,0.9239643216133118,0.9559517502784729,0.043847635341657185,0.28821721114218235,0.29489730717614293
28,0.781096415924452,63.72171751790192,1,0.24685639953130784,0.026811430641625587,-1.7590294065250802,0.7294179201126099,0.9302569627761841,0.9585736989974976,0.04270710950137884,0.28738263016566634,0.29405644722282887
29,0.7950036870849314,64.62320777929283,1,0.24332437467314574,0.02576760387423512,-1.769409120064839,0.749344527721405,0.9307813048362732,0.954378604888916,0.042472205345458924,0.2876427969895303,0.29452907061204314
30,0.7937211971629224,65.58232888469404,1,0.2598638306517226,0.026967076552387805,-1.7632705449799688,0.7435762882232666,0.9391714930534363,0.9590980410575867,0.04203508836677787,0.2926793750375509,0.29937079129740596
31,0.7783712082910041,66.42711742098058,1,0.2335249537469844,0.026399935693721444,-1.7621500604404254,0.739905595779419,0.9339276552200317,0.9559517502784729,0.04290113203804877,0.2872589719481766,0.2939178687520325
32,0.7713914792802901,67.26007358984144,1,0.2360079722819819,0.02580943231561683,-1.771833023122861,0.7325642108917236,0.9349763989448547,0.9559517502784729,0.04234937134621371,0.288124380633235,0.2947638579644263
33,0.7744499593681381,67.94389727491773,1,0.24671781844620272,0.027747021166657126,-1.7355995850087338,0.7252228856086731,0.9286838173866272,0.9517566561698914,0.044051338458311,0.2870369842275977,0.29372607124969363
34,0.7638124903019062,68.68872904606278,1,0.22537954956087664,0.027434157297383716,-1.7644824332744844,0.681174635887146,0.9292081594467163,0.9575248956680298,0.043079553891741076,0.2868745871819556,0.2935622539371252
35,0.754568289080015,69.40578770943867,1,0.22984874081415643,0.0247173186052791,-1.757717691563519,0.7524908185005188,0.9323545098304749,0.9601468443870544,0.043279782419380144,0.28953447425737977,0.29620936000719666
36,0.7737261228728243,70.19889778074592,1,0.24026453952861312,0.026538202589009283,-1.7512037314582718,0.7257472276687622,0.9307813048362732,0.9538542032241821,0.043493655159574075,0.28696634620428085,0.2936334330588579
37,0.7675978613530625,71.01447146073923,1,0.2413936500249667,0.026833495381570777,-1.7645696280858758,0.7105401158332825,0.9323545098304749,0.9596224427223206,0.04268039341747318,0.28746786899864674,0.29414251586422324
38,0.7644523705235342,71.86479987230855,1,0.24017610441819398,0.025780632011370482,-1.7759224709532002,0.7283691763877869,0.94231778383255,0.9564761519432068,0.0418647779331521,0.2876033983193338,0.2944560730829835
39,0.7707334965531644,72.700151965618,1,0.24014920425665318,0.02643483052215786,-1.7491049185951364,0.7372837066650391,0.931830108165741,0.9580492973327637,0.04323980476614455,0.2881541009992361,0.2948527871631086
40,0.7705255192764652,73.42987004790234,1,0.22386907299324507,0.025888206861229217,-1.7755252553215877,0.72679603099823,0.9229155778884888,0.9480860233306885,0.042281683271751434,0.2950234948657453,0.30192293925210834
41,0.7617845474441939,74.06313033642569,1,0.23021828736290945,0.024952851155495274,-1.7828610134709872,0.7383324503898621,0.9292081594467163,0.9564761519432068,0.041843079054212376,0.28827724792063236,0.29494526516646147
42,0.7612831109136845,74.73228256876058,1,0.24768196371194026,0.028393524533327174,-1.7412915422893709,0.7210277915000916,0.9218668341636658,0.9538542032241821,0.04342894925054833,0.2894888739101589,0.29615228110924363
43,0.7534635595901958,75.4361762531931,1,0.21408069081782974,0.023831107312821943,-1.8126609983727198,0.7404299974441528,0.9255374670028687,0.9512323141098022,0.04082562546780646,0.28734123101457953,0.29402337688952684
44,0.7546166546007348,76.12022333832383,1,0.24215373486414746,0.025324680777591254,-1.7655215055112015,0.7467225790023804,0.9396958351135254,0.9601468443870544,0.042433946337650484,0.2885486460290849,0.2951710242778063
45,0.7665672158276206,76.73232729321074,1,0.2335018465031679,0.027880558306613196,-1.7442854171659121,0.7241740822792053,0.9260618686676025,0.9491347670555115,0.04384501263379382,0.2866036999039352,0.29321644827723503
46,0.7665262471675119,77.37830804570706,1,0.2233881958177822,0.024950352790142565,-1.7999535373458446,0.7273203730583191,0.9292081594467163,0.9580492973327637,0.04133715598847355,0.287348261103034,0.29420389514416456
47,0.7428166895363729,77.91378998846966,1,0.20963630635472177,0.026414617874228268,-1.7879588538989724,0.6958573460578918,0.9218668341636658,0.9491347670555115,0.04198276531669444,0.5357063771225512,0.5423876140266657
48,0.7704821039228635,78.45519596616771,1,0.26317240475051884,0.026192462153694904,-1.764472045773621,0.7435762882232666,0.9381226897239685,0.9606711864471436,0.04191351422421756,0.28604426700621843,0.2926922249607742
49,0.751716088929715,78.94425828700541,1,0.23811822079090372,0.025821949159362746,-1.7673110013135298,0.7173570990562439,0.932878851890564,0.9528054594993591,0.04239790637487013,0.286537601146847,0.2931796279735863
50,0.7468109063451239,79.5524118001162,1,0.21826718696595193,0.02509727376001983,-1.8111832275580726,0.7226009368896484,0.9365495443344116,0.9580492973327637,0.04071931484085828,0.28722663316875696,0.2938657202757895
51,0.7410567356584157,80.24255991231152,1,0.21011261096330938,0.025443001768741848,-1.8062483855875542,0.7367593050003052,0.9297325611114502,0.9496591687202454,0.041130569804807136,0.2876519071869552,0.29434153297916055
52,0.7542389877740799,80.84753843360926,1,0.2500609399073078,0.0263150171343202,-1.7650078185052598,0.7246984839439392,0.94231778383255,0.9627687335014343,0.042222252489308415,0.2895261631347239,0.29632229916751385
53,0.7749956408981441,81.31651650778684,1,0.21538268129080665,0.026543549407995786,-1.7671936642515564,0.6869428157806396,0.9213424324989319,0.9475616216659546,0.04302969130879368,0.2868055277504027,0.29348427476361394
54,0.7403083330950093,81.75519785112282,1,0.22055886213459358,0.024533527936023848,-1.8125856507866087,0.7357105612754822,0.9323545098304749,0.9585736989974976,0.040703790601430846,0.28750493796542287,0.2942082453519106
55,0.768708850151271,82.20351884017853,1,0.259749551443031,0.029194242488292162,-1.739630350037899,0.6958573460578918,0.9349763989448547,0.9601468443870544,0.04324800924978818,0.2867788579314947,0.2933905851095915
56,0.7536131159783751,82.58131704202202,1,0.25509076902226685,0.02496035841020856,-1.7726871777329543,0.7315154671669006,0.9355008006095886,0.9564761519432068,0.04185890635645154,0.28676931792870164,0.2934166151098907
57,0.744712043025354,83.06769975091935,1,0.20909124859397546,0.02496343329713143,-1.78885783699516,0.7357105612754822,0.9292081594467163,0.954378604888916,0.042123240285161054,0.28694509575143456,0.2936094328761101
58,0.7463698228931003,83.56466801384296,1,0.21030683320371646,0.026804965652215507,-1.7788635676514026,0.6900891661643982,0.9244887232780457,0.9496591687202454,0.04268212892618852,0.29135927092283964,0.298083676956594
59,0.7513091855535471,84.01129607576021,1,0.23389972376883947,0.026004126253332642,-1.788716747750313,0.7498689293861389,0.9234399795532227,0.9528054594993591,0.041271130040408964,0.2903418941423297,0.297067079693079
60,0.7452917489954021,84.52337957110024,1,0.20883830871167475,0.026206012333046404,-1.803201979141692,0.7068694233894348,0.9239643216133118,0.955427348613739,0.04139745464685766,0.2882544086314738,0.2949191960506141
61,0.7586622845912216,85.02034671245308,1,0.24523040701879573,0.02478731247680534,-1.7806749674701214,0.7456738352775574,0.9391714930534363,0.9606711864471436,0.04169960044792571,0.2876971163786948,0.2943367543630302
62,0.7391181012758304,85.51128436945936,1,0.22899755783897918,0.027505598804816844,-1.7674194803903909,0.715783953666687,0.9302569627761841,0.9528054594993591,0.04265588756010915,0.29563656775280833,0.3023347738198936
63,0.7513353043999053,85.93824955517863,1,0.21567432899663153,0.025658292725627117,-1.7797616139814325,0.7052962779998779,0.9187204837799072,0.9491347670555115,0.04226526685868916,0.28784653497859836,0.29450160218402743
64,0.7415695603356243,86.38427334534023,1,0.22993623916053418,0.024738660291709687,-1.7931054822403005,0.7304667234420776,0.931830108165741,0.9564761519432068,0.04134569497876821,0.28726966166868806,0.2939574886113405
65,0.7327935122486549,86.87770038600863,1,0.20956339627920276,0.02352224463474305,-1.84791302968342,0.7393812537193298,0.9365495443344116,0.9559517502784729,0.039453850155039355,0.28871673438698053,0.29543264023959637
66,0.7479773128340108,87.27657623398844,1,0.23787879007226967,0.026001688389459165,-1.7999600234552082,0.7367593050003052,0.9438909292221069,0.9590980410575867,0.04068391946759774,0.2875390388071537,0.2942024157382548
67,0.7378965774068983,87.7858995413028,1,0.23126680869083188,0.024968265689842405,-1.8150320823996422,0.7299423217773438,0.9360251426696777,0.9638175368309021,0.04003178406291485,0.28732746141031384,0.2939848881214857
68,0.7350668475112226,88.22083414102777,1,0.2096244485042719,0.02359327738053359,-1.82962001031036,0.7456738352775574,0.931830108165741,0.9580492973327637,0.040142665020149855,0.2883272487670183,0.2951809740625322
69,0.7429699921023625,88.6902156801471,1,0.21803418654077528,0.027964755543645428,-1.7824043648332906,0.6900891661643982,0.9255374670028687,0.954378604888916,0.042653763196309466,0.2875958979129791,0.2942772749811411
70,0.7446504100755422,89.14588908829602,1,0.20974268201956875,0.024811355188367672,-1.8195478145835042,0.7136864066123962,0.9260618686676025,0.9549030065536499,0.04098987742846247,0.2886747741140425,0.295365481171757
