iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,2.3139914680543545,2.3601409215147866,1,1.0151034923164084,6.884492184422719,3.731854832763245,0.7227891087532043,0.9914966225624084,1.0,8.692494899491608,0.5111286407336593,0.5448269303888083
1,2.0206789211230967,2.000106043960394,1,1.3298902316935701,7.026357938010668,3.769361676156427,0.7312925457954407,0.9982993006706238,1.0,8.74781506039053,0.1364077478647232,0.14408654626458883
2,1.8599153828241155,1.956648443491635,1,1.5879977041598705,6.8634373747437465,3.7976870511189733,0.7568027377128601,1.0,1.0,8.592578848796904,0.12269867304712534,0.13015324156731367
3,1.796735463555321,2.0687344503289866,1,1.7715761920904747,6.67237279615138,3.8143851090672953,0.7942177057266235,1.0,1.0,8.390415871032229,0.11473726574331522,0.12184769753366709
4,1.7654521830134788,2.2884184128558753,1,1.8845357902996982,6.576901379592582,3.822760686872507,0.8027210831642151,1.0,1.0,8.214356232660982,0.11180909723043442,0.11866695061326027
5,1.733450247885875,2.5714092138861915,1,1.9384831955394144,6.446154481365395,3.8229563667392905,0.807823121547699,1.0,1.0,8.028146167782358,0.10428939759731293,0.11083736270666122
6,1.708966870303607,2.912266273645623,1,1.943445000427116,6.2524444063829625,3.8147996575708447,0.8350340127944946,1.0,1.0,7.790331580718022,0.10460078530013561,0.11111640091985464
7,1.6932286653539634,3.3065056799668775,1,1.9094162693725334,6.0149230531810565,3.7994534251702747,0.8367347121238708,1.0,1.0,7.521288366044671,0.10390810947865248,0.11044719535857439
8,1.6672466370503107,3.7798529062944635,1,1.8485901569746996,5.866295387886133,3.781573448986567,0.8469387888908386,0.9982993006706238,1.0,7.340588196945686,0.10709164943546057,0.11369267385452986
9,1.6453140596171034,4.34600781753234,1,1.7641814596315797,5.667375903172716,3.756478101004955,0.8588435649871826,0.9982993006706238,1.0,7.157525720586271,0.10583209712058306,0.1123804822564125
10,1.6141220290793115,5.015093082159226,1,1.6633914238690473,5.513820033927023,3.728541692149656,0.8469387888908386,0.9982993006706238,1.0,7.042776827275894,0.10588629636913538,0.11246157251298428
11,1.5891854017625713,5.817296185198983,1,1.5488802124519634,5.544101617910059,3.697121320194201,0.8503401279449463,0.9982993006706238,1.0,6.991606108189234,0.11028304696083069,0.11700080055743456
12,1.55163181449009,6.777837840486734,1,1.427435670385048,5.225700960230841,3.653417204466382,0.8503401279449463,0.9948979616165161,1.0,6.759937096476916,0.10393895022571087,0.11041680630296469
13,1.5087866614741625,7.883267890663102,1,1.2971763531716776,5.239276741426985,3.615304218177253,0.8435373902320862,0.9914966225624084,1.0,6.874542223031377,0.10372337140142918,0.11043785605579615
14,1.4776817908265034,9.110853656845242,1,1.1652434500506776,4.9727273920465755,3.5541373994943433,0.8265306353569031,0.9914966225624084,1.0,6.443174101041467,0.1050014328211546,0.11181457620114088
15,1.430122931809753,10.409846458601143,1,1.0372120018581823,5.190270713225432,3.525863729257808,0.7806122303009033,0.9846938848495483,0.9965986609458923,6.7900714802705116,0.10579676646739244,0.1130605572834611
16,1.4122011869590512,11.759827800241498,1,0.9206205253926696,5.365265423064074,3.49253491721722,0.7397959232330322,0.9778911471366882,1.0,6.856814656709492,0.10721840802580118,0.11416959017515182
17,1.3908019057766425,13.14244916515034,1,0.8329515349946154,5.131580650376124,3.4565499709140917,0.738095223903656,0.9642857313156128,0.988095223903656,6.777407952074026,0.11118599120527506,0.11787825543433428
18,1.364934880320568,14.510523759128965,1,0.7681038509352361,5.162159119810236,3.4257990677395305,0.6955782175064087,0.976190447807312,0.9931972622871399,6.673339714566304,0.10785549320280552,0.11473422590643167
19,1.3436538352408496,15.847455523237791,1,0.7269371343369311,5.090190754592501,3.400769845673707,0.6870748400688171,0.9693877696990967,0.9965986609458923,6.630685161230971,0.10808453150093555,0.11473075579851866
20,1.3260841828146452,17.10425260734598,1,0.702449197276596,5.199397653885759,3.399324275193577,0.6666666865348816,0.9625850319862366,0.988095223903656,6.747634101852062,0.10763662587851286,0.11484500672668219
21,1.299559617202734,18.303197796779408,1,0.6842048944807246,5.2464817266016945,3.395648878292151,0.6598639488220215,0.9523809552192688,0.9812925457954407,6.770627698033542,0.10453612543642521,0.11114003043621778
