iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,2.5037384143582995,2.449203950622973,1,0.9976217184121827,6.473707922627295,3.713992675786565,0.7312925457954407,0.9914966225624084,1.0,8.18838614952423,0.5084408223628998,0.5363439312204719
1,2.119722393782141,2.0269371537081056,1,1.282384578864402,6.5769688414276315,3.7482311193550646,0.761904776096344,0.9948979616165161,1.0,8.332639036572136,0.12881118059158325,0.13639392983168364
2,1.9000070646358596,1.923715378783669,1,1.5174469363415954,6.629212084920893,3.780681656770975,0.7653061151504517,0.9982993006706238,1.0,8.307777317451345,0.11800744477659464,0.12495387811213732
3,1.82870857018724,1.9504090271405004,1,1.69236309874207,6.449072413081422,3.798522879193696,0.7976190447807312,1.0,1.0,8.142238423919864,0.11035097856074572,0.11708828248083591
4,1.7750569931725106,2.055282682648004,1,1.8098312038191176,6.338946400488605,3.8104079277262963,0.8095238208770752,1.0,1.0,8.028182724414716,0.11193663720041513,0.11852393206208944
5,1.751095303627314,2.2070651338724323,1,1.877170519816809,6.291313775528805,3.815677353038824,0.8265306353569031,1.0,1.0,7.924519791408501,0.10813458170741796,0.11491603590548038
6,1.7388333083619474,2.3854258613999666,1,1.9059743832606681,6.181311080999811,3.814288540013391,0.831632673740387,1.0,1.0,7.776464512139503,0.10408315062522888,0.11061505600810051
7,1.716994951144126,2.5957217138831177,1,1.907959980611709,6.021370368809432,3.808560462250958,0.8435373902320862,1.0,1.0,7.6063827327281714,0.10108686052262783,0.10741682723164558
8,1.699946247098336,2.84745646015408,1,1.8873990685271504,5.901422654973636,3.8001308908525373,0.8486394286155701,1.0,1.0,7.46488141858386,0.10188962426036596,0.10822710208594799
9,1.6992845147363358,3.1441968450460807,1,1.8492925706881638,5.763934291428243,3.78640993985556,0.8571428656578064,1.0,1.0,7.259000013472803,0.10208405461162329,0.10843204148113728
10,1.6733239603739902,3.490111681441102,1,1.8028409368826315,5.603455286114913,3.7703003898276495,0.8707482814788818,1.0,1.0,7.042285028601906,0.1023876117542386,0.10870401840656996
11,1.6574620834513045,3.905106397404639,1,1.742939328534838,5.43009100009562,3.7499563252253725,0.8707482814788818,1.0,1.0,6.8097365133502965,0.1033271150663495,0.10968897212296724
12,1.6340104992605557,4.386173390252612,1,1.6739689375218745,5.221718648605627,3.7281301524443746,0.884353756904602,1.0,1.0,6.659941065206445,0.10607771668583155,0.1130463583394885
13,1.6146726177768524,4.973241170452041,1,1.5955873051536416,5.111555588670797,3.7004413695230864,0.8945578336715698,1.0,1.0,6.463543935409088,0.1055770106613636,0.11219917424023151
14,1.5856804618214264,5.6574190638861035,1,1.5093294749822306,5.1883933788774215,3.6781777372797304,0.8911564350128174,0.9982993006706238,1.0,6.550058838546454,0.10491874441504478,0.11148899979889393
15,1.5558970669996723,6.471860504766976,1,1.416343658796228,4.930221110319774,3.639224847645482,0.8741496801376343,0.9965986609458923,1.0,6.310922022443957,0.10908018704503775,0.11681389342993498
16,1.5216654307736206,7.4083648596439815,1,1.3160290231344725,4.931277192346134,3.6031332315255633,0.8639456033706665,0.9982993006706238,1.0,6.310521023747054,0.10499345418065786,0.11161657981574535
17,1.4864684667965748,8.453976039050957,1,1.2109671957319306,4.934767396422333,3.567817796347644,0.8452380895614624,0.9948979616165161,1.0,6.299388641051368,0.10340348444879055,0.11012724880129099
18,1.4448467277223782,9.570863457935562,1,1.102836540964612,4.783673932083757,3.527030437695184,0.8350340127944946,0.9897959232330322,0.9965986609458923,6.240839205866762,0.10364755243062973,0.110192627646029
19,1.4168136106357636,10.700599555144075,1,0.9949851405073215,4.828510528186018,3.4868437247169317,0.8112244606018066,0.9846938848495483,0.9982993006706238,6.203155397884611,0.1045099375769496,0.11104076355695724
20,1.4017937952971666,11.844396782636212,1,0.9032869196146747,5.211151941206005,3.476380406085602,0.7346938848495483,0.9863945841789246,0.9948979616165161,6.613139634704852,0.10620734561234713,0.11265345104038715
21,1.3969470957617478,12.947742233895235,1,0.842353175502389,4.959948260289722,3.445960068291299,0.7397959232330322,0.9812925457954407,0.9914966225624084,6.44497719977349,0.10358620341867208,0.11004883982241154
22,1.371910318568725,14.054076700272121,1,0.8029833499035188,4.995345409393379,3.423756473670974,0.726190447807312,0.9812925457954407,0.9965986609458923,6.399177826553004,0.10314532555639744,0.10958780162036419
23,1.3471781765154633,15.138340520068057,1,0.7707142695133514,5.227964808896732,3.4261996617207164,0.6870748400688171,0.9744898080825806,0.9846938848495483,6.668203834606453,0.10456281714141369,0.1110976729542017
24,1.3496118183668313,16.176148634832114,1,0.7476799008392145,4.738972787415117,3.3782662361416076,0.7295918464660645,0.976190447807312,0.988095223903656,6.203846838364252,0.10369122214615345,0.1102111479267478
25,1.32074193142401,17.152004100430382,1,0.7322350784177327,4.802632173877425,3.365324234971298,0.7193877696990967,0.9778911471366882,0.988095223903656,6.164189706654179,0.10288331750780344,0.10913983453065157
26,1.2963461479777512,18.081314104496148,1,0.7101830950626442,4.8575821795374035,3.352679197271136,0.7074829936027527,0.976190447807312,0.9897959232330322,6.123597058121761,0.10578696802258492,0.1131220581009984
27,1.2920473936285057,18.966627977967427,1,0.6877225165360933,4.880105142225163,3.352554642161625,0.6955782175064087,0.9710884094238281,0.9812925457954407,6.2657094781776,0.10196602437645197,0.10844569001346827
