iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,2.2800731361791087,2.462484904088435,1,1.0225633176088327,6.848392538810565,3.7241832175119214,0.7176870703697205,0.9948979616165161,1.0,8.668393384503835,0.4802574198693037,0.5131754828616977
1,2.036002276906484,2.3933020371725746,1,1.34268586606418,6.7469147948347805,3.757062433889933,0.7517006993293762,0.9982993006706238,1.0,8.459133132691576,0.11523760482668877,0.12242025788873434
2,1.8264717438559004,2.8394691818947067,1,1.5928294121105835,6.342594024267409,3.7697592981879167,0.7891156673431396,1.0,1.0,7.970593366056595,0.11062134802341461,0.1173520851880312
3,1.7281172753603187,3.532374318974733,1,1.7460686545832957,6.027980640851653,3.768471647695497,0.8265306353569031,1.0,1.0,7.540136184819298,0.10822584014385939,0.11505156755447388
4,1.6749927591748615,4.419535050280062,1,1.8036970156398435,5.719340280611422,3.7504803776181537,0.8435373902320862,1.0,1.0,7.28347623398759,0.10813572071492672,0.11500364635139704
5,1.6105874688610096,5.542360146001622,1,1.779398334024555,5.703699223498047,3.715843882398268,0.8146258592605591,1.0,1.0,7.203669765404571,0.10715687926858664,0.11411960422992706
6,1.5423106183448232,6.902258255990787,1,1.6794963256503073,5.473730099891573,3.66417131766488,0.8282312750816345,0.9982993006706238,1.0,7.063646310000271,0.10775586497038603,0.1145342718809843
7,1.4780926965364136,8.438462012930394,1,1.5184757010725265,5.487104372732122,3.616565504242124,0.7925170063972473,0.9948979616165161,1.0,7.122937305609288,0.11529301479458809,0.12295673228800297
8,1.4171211713379055,9.981117001963783,1,1.3178783846154827,5.4168371664714146,3.554020068368635,0.7789115905761719,0.9863945841789246,0.9982993006706238,6.976421611541026,0.111249721609056,0.11807307787239552
9,1.3587288738310994,11.426225169717776,1,1.100792517591618,5.312008145677493,3.4919697620831625,0.7465986609458923,0.9795918464660645,0.9931972622871399,6.874532651264035,0.10710856039077044,0.11408477555960417
10,1.3022851899996013,12.75057524984284,1,0.8933591827112635,5.4913953854205,3.4476974331659145,0.6819728016853333,0.9744898080825806,0.9914966225624084,6.993407551111129,0.10907691344618797,0.11636405531316996
11,1.2617712880419127,14.006527299614687,1,0.7222503709528114,5.2874960141847325,3.3965822871942875,0.6547619104385376,0.9438775777816772,0.9744898080825806,6.920290978620933,0.10861486755311489,0.1156789306551218
12,1.2447955862061406,15.274783005901234,1,0.6033913212065078,5.263851487979028,3.3704366030766906,0.6275510191917419,0.930272102355957,0.9608843326568604,6.900062742649102,0.11172432824969292,0.11897416971623898
13,1.234589302378561,16.530681147952738,1,0.5484323468720067,5.341690277611259,3.363415488390344,0.581632673740387,0.9217687249183655,0.9523809552192688,6.968671423224625,0.11193668656051159,0.11930830776691437
14,1.2290093263536974,17.78121009769905,1,0.5350412791498416,5.311116350218259,3.359937697072874,0.5884353518486023,0.9200680255889893,0.9472789168357849,6.907243324532842,0.11222629342228174,0.11955173499882221
15,1.2435711867000114,19.00480067015435,1,0.5500136798588358,5.127977539063799,3.3408939756433003,0.6003401279449463,0.9251700639724731,0.9625850319862366,6.76764661714621,0.1107271471992135,0.11783785093575716
16,1.2243593675543603,20.185178520614446,1,0.5728805781306731,5.156905874500207,3.326374708744396,0.5952380895614624,0.9353741407394409,0.9642857313156128,6.6158114317244054,0.11572590097784996,0.1230060625821352
17,1.2005738472944645,21.254947751814843,1,0.5806530907238059,5.112229216916972,3.328866552063362,0.6190476417541504,0.930272102355957,0.9693877696990967,6.634443556152842,0.11275878828018904,0.11987260170280933
18,1.1885587099940624,22.195556264559098,1,0.5669058737598835,5.384409353689174,3.354272434471688,0.5765306353569031,0.9251700639724731,0.9608843326568604,6.887194849667977,0.11316938418895006,0.1205209456384182
19,1.1711557312736485,23.01277477865284,1,0.5414666722891398,5.129502469481368,3.3345741674010214,0.5884353518486023,0.9268707633018494,0.9523809552192688,6.760581049936885,0.11194666661322117,0.1192887369543314
20,1.1734083462422888,23.742283056919092,1,0.520905966239085,5.175847810332527,3.3288348945319486,0.5765306353569031,0.9251700639724731,0.9523809552192688,6.749463457949511,0.11222648248076439,0.11948582530021667
21,1.1574455096493717,24.41060952546227,1,0.5128564762493236,5.147479602505692,3.3388559167318603,0.5867347121238708,0.9234693646430969,0.942176878452301,6.8187511397838545,0.11111985240131617,0.118427325040102
22,1.1532819887777106,25.050682719955848,1,0.5111939217361336,5.101755148227253,3.3247467183813555,0.5782312750816345,0.9200680255889893,0.9489796161651611,6.699486018552375,0.11104639433324337,0.1178961405530572
23,1.1435530837864225,25.630103238170555,1,0.5092617169905262,5.2542417955220495,3.3201434767917206,0.5493197441101074,0.9319728016853333,0.9574829936027527,6.6728614998044975,0.10911039356142282,0.11610615719109774
24,1.1576133142525482,26.18789930830894,1,0.5067469510333821,5.189494390508598,3.326604134249589,0.5612244606018066,0.9149659872055054,0.9472789168357849,6.723936451447779,0.11127202212810516,0.11863635294139385
25,1.1449738403824716,26.8017695638306,1,0.5076760431895914,5.112008315333436,3.3200621602897584,0.569727897644043,0.9166666865348816,0.9455782175064087,6.689455765247543,0.11021625157445669,0.11721038538962603
26,1.1372488538979757,27.320012591893935,1,0.5025611087352889,5.0710881175817875,3.3090750419568327,0.5850340127944946,0.9064626097679138,0.942176878452301,6.612947026349489,0.11749870423227549,0.1246851971372962
27,1.126613732201576,27.8124426164054,1,0.4977275876023366,5.092132540816804,3.3125654788744274,0.5561224222183228,0.9217687249183655,0.9489796161651611,6.623523729983262,0.10659799538552761,0.11383554898202419
28,1.122645776222224,28.254637248382814,1,0.48566192240993045,5.108434835021787,3.314377085422182,0.5595238208770752,0.9149659872055054,0.9506802558898926,6.6483025718375925,0.10572200361639261,0.11251446045935154
29,1.1224053158293759,28.656717368879363,1,0.4842874605849981,4.9949658572083,3.308333655742351,0.5765306353569031,0.9098639488220215,0.942176878452301,6.616262956257255,0.10545957647264004,0.11213900428265333
30,1.1261325266172022,29.094362515422638,1,0.48215303272473853,4.991087851349042,3.293084803887068,0.581632673740387,0.9047619104385376,0.9472789168357849,6.502705705563121,0.10570974461734295,0.11243195179849863
31,1.1363788786677405,29.533561485026937,1,0.49463218438827417,4.978475330559302,3.3037250065719674,0.5867347121238708,0.9166666865348816,0.9472789168357849,6.592747277655901,0.10957696661353111,0.11670576129108667
32,1.1298217458366973,29.895377729414967,1,0.5034861842372467,5.000993439665769,3.301458979946185,0.5918367505073547,0.9268707633018494,0.9455782175064087,6.572822577608852,0.10925784148275852,0.11634265445172787
33,1.1079670986275942,30.27552694617413,1,0.4946632792627373,5.228503866287757,3.3237766254440593,0.5323129296302795,0.9234693646430969,0.954081654548645,6.741566797755852,0.10856989677995443,0.11541825346648693
34,1.1199544856739552,30.652621853688586,1,0.4786170589069404,5.180079546785157,3.308898727570807,0.5272108912467957,0.9115646481513977,0.9455782175064087,6.622078836390866,0.10824514925479889,0.11512648593634367
35,1.1202543136768495,31.02392302280352,1,0.4729683752051735,5.3373280977280535,3.350522191004567,0.5102040767669678,0.9234693646430969,0.9438775777816772,6.936573552218238,0.10896370280534029,0.11579336039721966
36,1.1321384807413726,31.381260711346695,1,0.48932211814064197,5.017750418750226,3.290357447167171,0.5629251599311829,0.9149659872055054,0.9489796161651611,6.488444834665105,0.10950384847819805,0.11655643302947283
37,1.113126168437032,31.742699366520636,1,0.49859055531499996,5.057711881068131,3.293007317738265,0.569727897644043,0.9251700639724731,0.9506802558898926,6.501865993285847,0.11024937219917774,0.11721760779619217
38,1.1089080047574322,32.11945350405274,1,0.4865057713720303,4.986371535291413,3.2854890550585316,0.5612244606018066,0.9200680255889893,0.9489796161651611,6.472032349568458,0.10747701767832041,0.11447561159729958
39,1.122811293553906,32.520666336525316,1,0.4753905713470196,4.913634092059451,3.2773239647240437,0.5748299360275269,0.9149659872055054,0.9455782175064087,6.417776346938339,0.1084133181720972,0.11561819072812796
40,1.112592467779541,32.8865847028811,1,0.4775780220788522,5.180262580772379,3.3210382336066635,0.5357142686843872,0.9047619104385376,0.9506802558898926,6.693618562790499,0.10936154052615166,0.11603688821196556
41,1.1027990791160638,33.25723676465124,1,0.47818054540551885,5.16625120595724,3.3159930561056554,0.5323129296302795,0.9234693646430969,0.9472789168357849,6.674927299519807,0.10491695161908865,0.1119753047823906
42,1.1004820312768937,33.56671221555588,1,0.47174880969648914,4.966596446340766,3.289169922282102,0.5782312750816345,0.9149659872055054,0.9438775777816772,6.491913196004651,0.10900583304464817,0.11585226934403181
43,1.1090378712353677,33.900211282085245,1,0.46574189538777433,5.059487148912588,3.3047783341502823,0.5204081535339355,0.9149659872055054,0.9438775777816772,6.599485560896525,0.10873565450310707,0.11583288852125406
44,1.094009618918751,34.216589310443545,1,0.46907091769439524,5.061009007768464,3.2963533893063883,0.5391156673431396,0.9200680255889893,0.9455782175064087,6.550748399154561,0.43229815736413,0.43969421833753586
45,1.0923332329973912,34.55641103671616,1,0.46497337021585233,5.260335582920301,3.3273582069032273,0.5085033774375916,0.9285714030265808,0.9438775777816772,6.753640459744679,0.11324435379356146,0.12028311751782894
46,1.111180322728966,34.858045695641216,1,0.46947280582259193,4.878482613378841,3.2673720349336253,0.569727897644043,0.9115646481513977,0.9472789168357849,6.331503525865547,0.11513285618275404,0.12217236962169409
47,1.08757315714563,35.16278707689936,1,0.4714406622119165,4.999885462202921,3.289909444394452,0.5561224222183228,0.9166666865348816,0.9506802558898926,6.500413936096867,0.11220828257501125,0.11937025655061007
48,1.1133567743466528,35.437435067674386,1,0.4660543771802976,4.879765300708767,3.2739673468478268,0.5918367505073547,0.9064626097679138,0.9387755393981934,6.392563431164836,0.11051725782454014,0.11744409427046776
49,1.117607789408208,35.67948556647711,1,0.4859786900057429,4.925067521240289,3.2753588963046627,0.5748299360275269,0.9234693646430969,0.9489796161651611,6.366895659274814,0.1107008084654808,0.11767580267041922
50,1.1040519912019484,35.98273650540135,1,0.4927048013323811,5.0548945262653655,3.312313029113597,0.5748299360275269,0.9217687249183655,0.942176878452301,6.6270717018013015,0.11050363816320896,0.11747005302459002
51,1.1220407914290693,36.29010956891288,1,0.48198168702213384,5.302294260907714,3.3305455273611675,0.5221088528633118,0.9132652878761292,0.9472789168357849,6.780413559217192,0.10949209798127413,0.1161656966432929
52,1.1092923235181842,36.57902085487688,1,0.4840607822287402,5.078176835503909,3.2921146857649366,0.5289115905761719,0.9217687249183655,0.9489796161651611,6.500342067698909,0.10924020130187273,0.11666241195052862
53,1.0861752306775256,36.83998541167162,1,0.46877737289384425,5.017474145406639,3.3033483287566354,0.5731292366981506,0.9217687249183655,0.9523809552192688,6.599815720384157,0.1092056417837739,0.1163027249276638
54,1.1106981657262278,37.101811621972374,1,0.4600217423060418,4.933156922126889,3.2810806383617335,0.5714285969734192,0.9166666865348816,0.9489796161651611,6.432218100478148,0.11408496554940939,0.12129105906933546
55,1.1159361633961713,37.454513167854685,1,0.4772649638053654,5.06350982712837,3.309668172132628,0.5680271983146667,0.9132652878761292,0.9370748400688171,6.642218081295959,0.11025935225188732,0.11708158813416958
56,1.1420425013553432,37.843816363331996,1,0.5030670824914525,5.024760859231654,3.3092793052553224,0.6054421663284302,0.9166666865348816,0.9438775777816772,6.631732010605144,0.11264573875814676,0.11965570319443941
57,1.1153031667509339,38.14251635928501,1,0.5140975804996871,5.129694114564568,3.3061894002372987,0.5595238208770752,0.9336734414100647,0.9557822942733765,6.589362053090976,0.10948617849498987,0.11640356294810772
58,1.0957265544255048,38.427189335122385,1,0.480521138071521,5.199038322702152,3.3182233192281916,0.5612244606018066,0.918367326259613,0.9472789168357849,6.696140570744103,0.109984434209764,0.11687606014311314
59,1.0930108144361392,38.70735820207502,1,0.45112109535802514,5.099022425193632,3.2954749985257634,0.5272108912467957,0.9166666865348816,0.9489796161651611,6.54402372829423,0.1085221879184246,0.11537440400570631
60,1.096765574529396,39.03436214794835,1,0.449200185196779,4.98487534968082,3.2940061188309326,0.5425170063972473,0.9115646481513977,0.9387755393981934,6.537309908884286,0.10703966207802296,0.11367228999733925
61,1.0988568794774176,39.34646072876143,1,0.4619573002742801,5.046147847422757,3.301155950735336,0.5357142686843872,0.9081632494926453,0.942176878452301,6.56432462850147,0.10777242481708527,0.11471933964639902
62,1.0966865619841595,39.669328602196565,1,0.4814017679284902,5.140795790224497,3.3249839486338675,0.5408163070678711,0.9115646481513977,0.9404761791229248,6.734006633291314,0.11307844519615173,0.12042148690670729
63,1.1124978012268953,39.93005711331937,1,0.4878457682114727,5.339419663023513,3.339622919663096,0.5323129296302795,0.9132652878761292,0.9455782175064087,6.834558051507896,0.11643772386014462,0.12370890658348799
64,1.1001553830135922,40.201664647312214,1,0.4797306941929392,5.26857305267675,3.3196333583965902,0.5170068144798279,0.9285714030265808,0.9489796161651611,6.720522533775783,0.11211118381470442,0.11944553535431623
65,1.0993703997200956,40.4564848462874,1,0.467775386017982,5.200210588404838,3.339941003679481,0.5323129296302795,0.9132652878761292,0.9353741407394409,6.858968213162935,0.11237421166151762,0.11969775334000587
66,1.1251081574261408,40.70558026210436,1,0.4779383782447751,5.053205794443416,3.299423130430472,0.5646258592605591,0.918367326259613,0.9489796161651611,6.558127069980278,0.1057804524898529,0.11242122016847134
67,1.1006180964393637,40.992712038152796,1,0.48642241510803796,5.079692133734437,3.2935739769760404,0.5663265585899353,0.9285714030265808,0.9506802558898926,6.526415995661087,0.10503649059683084,0.11176135763525963
68,1.1051394427592238,41.288855146590556,1,0.4746247982776695,5.06679539018062,3.2861439911474584,0.5340136289596558,0.9217687249183655,0.9506802558898926,6.481780559743919,0.10765761602669954,0.11437990330159664
69,1.0913111493665772,41.61506956897465,1,0.46768736401907923,5.011300872618359,3.2797702575051435,0.5255101919174194,0.9098639488220215,0.9506802558898926,6.441036544303472,0.10692904330790043,0.11353062093257904
70,1.0922418763322919,41.93685561476556,1,0.4572637899329548,4.946621247221145,3.2769722545648166,0.5612244606018066,0.9115646481513977,0.9387755393981934,6.438448092540659,0.11026093177497387,0.11742992512881756
71,1.0808586960333235,42.25063503498841,1,0.459408152620855,4.981628092138107,3.2792642820605367,0.5493197441101074,0.9149659872055054,0.9472789168357849,6.444849222114836,0.11043629050254822,0.11788105964660645
72,1.112013444780654,42.56515644346626,1,0.45928563962205493,4.977380615398924,3.2896157567889266,0.5765306353569031,0.9149659872055054,0.9387755393981934,6.4994236406356976,0.11295938678085804,0.1198491221293807
73,1.1002440143258945,42.83784209395659,1,0.48900803595425407,4.9371302740177825,3.278012662443861,0.581632673740387,0.9200680255889893,0.9455782175064087,6.401726331206406,0.11304127611219883,0.12032869644463062
74,1.1099259754169772,43.125949873966235,1,0.47775133559338556,5.14230244088435,3.3245382283740352,0.5544217824935913,0.9234693646430969,0.9438775777816772,6.72258128452757,0.11913478840142488,0.1268815863877535
75,1.123165096061228,43.40670640718897,1,0.4875946390082173,5.12646921811118,3.304525037944777,0.5595238208770752,0.9234693646430969,0.9472789168357849,6.556777011239989,0.12229937873780727,0.12999383639544249
76,1.0918826561850643,43.710461695661365,1,0.46935000615195954,5.0256240797835705,3.2946595925636473,0.5629251599311829,0.9132652878761292,0.942176878452301,6.513808525137378,0.120921291410923,0.12828755285590887
77,1.0840881667163371,44.02266928852354,1,0.4518720847064043,4.992542052843733,3.2974280312600683,0.569727897644043,0.9115646481513977,0.9336734414100647,6.546654749943994,0.11863562278449535,0.1262514917179942
78,1.108144880076811,44.34869984498096,1,0.451691391665609,5.0699636717584795,3.311587403991653,0.5255101919174194,0.9149659872055054,0.9387755393981934,6.6408919272734614,0.11177863739430904,0.118515744805336
79,1.1167692801427591,44.66950688184018,1,0.47710656734698953,5.171567237527514,3.3264840322661224,0.545918345451355,0.9132652878761292,0.9404761791229248,6.758301071722513,0.12307113036513329,0.13074299972504377
80,1.098563613313865,45.00343642388129,1,0.49661541207810367,5.074899919449879,3.3086624664846025,0.5850340127944946,0.9268707633018494,0.9438775777816772,6.601459434683211,0.12259761616587639,0.1309345681220293
81,1.1174463782932262,45.34056057414143,1,0.47898081670426984,4.944652395891914,3.289753375921836,0.5901360511779785,0.918367326259613,0.9438775777816772,6.479120065757811,0.1170622780919075,0.12441726960241795
82,1.103582000327443,45.69784021520054,1,0.462228204883425,5.295762558750942,3.3289112666538094,0.5187074542045593,0.8996598720550537,0.9438775777816772,6.767452124431677,0.11937699746340513,0.12676268815994263
83,1.1241993496570586,46.0388608885819,1,0.4616008842949066,5.174468056795977,3.3253155574547053,0.5323129296302795,0.9166666865348816,0.9387755393981934,6.710987805758239,0.12131790816783905,0.1288654673844576
84,1.1218235328951027,46.36685360401321,1,0.48970198876398363,4.965252825677495,3.2916116389519465,0.5935373902320862,0.9166666865348816,0.9438775777816772,6.469335312940458,0.11094236467033625,0.11823633685708046
85,1.1181839634503563,46.64765771522674,1,0.4950782164738319,5.329441724728576,3.3415583120651338,0.5255101919174194,0.918367326259613,0.9438775777816772,6.839097378030563,0.11091486550867558,0.1177632212638855
86,1.1136737538774264,46.90879842064076,1,0.48955070573666903,4.980071447760648,3.290544656241625,0.5952380895614624,0.9234693646430969,0.9438775777816772,6.4980279089853665,0.1118972459807992,0.11924954783171415
87,1.1064989577120894,47.218367220282076,1,0.47157095620099054,5.05964667617973,3.2953602160606064,0.5374149680137634,0.9064626097679138,0.9438775777816772,6.5444879880918245,0.11105022393167019,0.1184993451461196
88,1.098052144590788,47.50530922106295,1,0.45850249859035824,4.906225622300815,3.273069832924997,0.5833333134651184,0.9285714030265808,0.9455782175064087,6.379822552389762,0.11225973349064589,0.11949041485786438
89,1.1079303335889996,47.815852177518785,1,0.45812924655801823,4.929420019015931,3.2839789006714653,0.569727897644043,0.918367326259613,0.942176878452301,6.459179940612336,0.1090242937207222,0.11624622531235218
90,1.1051216300800613,48.116045197798094,1,0.4771882080777568,5.005664756975959,3.2846175866518608,0.5629251599311829,0.9149659872055054,0.9472789168357849,6.469708238147295,0.10941377934068441,0.11673445161432028
91,1.0918357300925194,48.42626483041464,1,0.47966533022903335,4.902533315793514,3.2754970941055626,0.5833333134651184,0.9268707633018494,0.9506802558898926,6.417239586060133,0.11065835785120726,0.11749831400811672
92,1.1018255133243609,48.746783409793196,1,0.45588458823512434,4.939119313129494,3.2791586487636395,0.5663265585899353,0.9166666865348816,0.9438775777816772,6.421418823144135,0.10877244547009468,0.11550213303416967
93,1.1069166272983257,49.063770127484986,1,0.4671013658322515,5.0503019280551245,3.2904263878892643,0.5391156673431396,0.918367326259613,0.9387755393981934,6.495435639021934,0.1081750113517046,0.11492819804698229
94,1.0827863128588342,49.33682917481749,1,0.47114506911749376,5.007915780520471,3.284774251173464,0.5544217824935913,0.9200680255889893,0.9472789168357849,6.492300250065506,0.107861353084445,0.11495421640574932
95,1.1023166126276644,49.63997844144596,1,0.46596150202973374,5.116984943551551,3.3107339215076723,0.5357142686843872,0.9115646481513977,0.942176878452301,6.662730512272208,0.10812439024448395,0.11495298705995083
96,1.1039245458636133,49.92123441853925,1,0.4744118010944076,5.135417514653697,3.3069084697425883,0.5561224222183228,0.9200680255889893,0.942176878452301,6.667502317571386,0.11068219691514969,0.11807876732200384
97,1.1035888238620182,50.2009925448638,1,0.468770328290107,4.997690250147791,3.278765016426257,0.5680271983146667,0.9200680255889893,0.9506802558898926,6.4355176963909,0.11319784261286259,0.12053339462727308
98,1.1128023491671886,50.454006136926246,1,0.4747723236597281,4.9730791835679025,3.27200029001558,0.5561224222183228,0.9268707633018494,0.9523809552192688,6.4139112707893124,0.11741395387798548,0.12445111852139235
99,1.0784495449249325,50.70620253450256,1,0.4775776929369454,4.967532318168169,3.2809084136339193,0.5646258592605591,0.9285714030265808,0.9523809552192688,6.449987440467428,0.11749793402850628,0.12496149446815252
100,1.0656541039239265,50.952415241547484,1,0.4365855186609595,4.992444759997508,3.284812914577672,0.5272108912467957,0.9132652878761292,0.942176878452301,6.505245886781719,0.11810697801411152,0.12553416937589645
101,1.0737230748063267,51.19548319005683,1,0.4296873350762476,4.85597771322482,3.2761773141733985,0.5544217824935913,0.9200680255889893,0.9370748400688171,6.437998461388741,0.11891946941614151,0.12657716870307922
102,1.0885749223250563,51.426070317063314,1,0.455465428085584,5.0003408069607165,3.2847113303038253,0.5731292366981506,0.9200680255889893,0.9404761791229248,6.486079134473778,0.1273391917347908,0.1350904693827033
103,1.088270584302334,51.68051332304053,1,0.49075699411441603,4.94040288668808,3.266893142374273,0.5527210831642151,0.9217687249183655,0.9523809552192688,6.326484450958858,0.12262855563312769,0.1305599818006158
104,1.0696788657573333,51.92553711591998,1,0.47048822978796834,5.0336937862539095,3.3091808567550567,0.5629251599311829,0.9132652878761292,0.9353741407394409,6.662244303416322,0.11913252808153629,0.12703149486333132
105,1.0834179033875848,52.159870186754105,1,0.4330031586060735,4.962483855174734,3.277288983476485,0.5493197441101074,0.9200680255889893,0.9455782175064087,6.441498799750944,0.12512633297592402,0.13348574470728636
106,1.0893011607095642,52.41980078061381,1,0.4546682504709978,5.139326396843758,3.3093680291626684,0.5289115905761719,0.9115646481513977,0.9472789168357849,6.636237385730262,0.12206205073744059,0.12958896066993475
107,1.0874319510190174,52.69462379489539,1,0.47854874257962915,5.1270965106555835,3.29469250896575,0.5408163070678711,0.918367326259613,0.9506802558898926,6.520667936935589,0.11427559424191713,0.12139992788434029
108,1.0765437998931648,52.93382345391927,1,0.4577559895260764,5.04126052716597,3.301394239549281,0.557823121547699,0.9098639488220215,0.9404761791229248,6.607858871012171,0.11955820489674807,0.1269318452104926
109,1.0851273750721766,53.16744810350907,1,0.4364819036310127,4.946156578170108,3.267860841097963,0.5391156673431396,0.9115646481513977,0.942176878452301,6.3649069825585025,0.11794854886829853,0.12506140302866697
110,1.0551907447036157,53.39898009820852,1,0.45143293220794195,4.92700948695262,3.2735600646371865,0.5527210831642151,0.9217687249183655,0.9438775777816772,6.372734243608328,0.11254225950688124,0.12006870936602354
111,1.0768607231612286,53.6131784256666,1,0.43815456165959116,4.954244369450068,3.2747258784561235,0.5289115905761719,0.918367326259613,0.9438775777816772,6.387533138845242,0.11098513379693031,0.11817535664886236
