iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.2886341840670927,2.201875970401705,1,0.6444966641330218,3.7116885935108006,3.021946018650583,0.6391541361808777,0.9743065237998962,0.9927239418029785,4.685032714756142,0.8036033483222127,0.8634441229514778
1,1.2690008873292462,2.336860825438954,1,0.5982927541253396,3.6797647797648887,3.0034571709785296,0.6252841949462891,0.9663483500480652,0.9911323189735413,4.659916513519948,0.006852638907730579,0.02539766300469637
2,1.2513691320634632,2.4856274125450097,1,0.5546769057313122,3.6545264163751328,2.9869029911240785,0.6111869215965271,0.9572532773017883,0.9870395660400391,4.644269788027026,0.006091739051043987,0.024726851377636194
3,1.2354907669430184,2.642329625775517,1,0.5137056560442234,3.6336799334739314,2.9724717854385485,0.5943610668182373,0.9474761486053467,0.9818099141120911,4.634228438043676,0.006401225924491882,0.024625093210488558
4,1.2212739211016728,2.8007213749060127,1,0.4754531968708454,3.615628786433448,2.9605055206565556,0.5791268944740295,0.9390631914138794,0.9745338559150696,4.627110715994507,0.005943860858678818,0.024412745144218206
5,1.2089722588560874,2.9545411597805655,1,0.4400108419033566,3.599618490561426,2.951294213441413,0.5641200542449951,0.9276943802833557,0.9670304656028748,4.621613008601108,0.005994340870529413,0.024444445967674255
6,1.1988096956193168,3.099995785688277,1,0.4074788613063113,3.5851063200243236,2.9448796623252926,0.5500227212905884,0.9163256287574768,0.9586175680160522,4.617513880935132,0.005990840028971434,0.02442842535674572
7,1.1908698141955396,3.233264406952082,1,0.37796157041865047,3.572057509223058,2.941119790681306,0.5375170707702637,0.9042746424674988,0.9497498869895935,4.6147137966170675,0.005948480684310198,0.024335806723684072
8,1.1851077547085127,3.3498000213645227,1,0.3515602204150005,3.560211033102872,2.9396892616,0.5302410125732422,0.8947248458862305,0.9429286122322083,4.612934265220579,0.005891832057386637,0.0245397943072021
9,1.1813016058436798,3.4458520131153967,1,0.32835387388642034,3.549613203207365,2.940056595205443,0.5220555067062378,0.8874488472938538,0.9347430467605591,4.611836131221218,0.005979821085929871,0.020805893931537867
10,1.1790517466937191,3.5196646593375247,1,0.30836965664616184,3.539746949757502,2.941534314109855,0.5172805786132812,0.8790359497070312,0.9274670481681824,4.6111327412830985,0.005141172092407942,0.017671576235443354
11,1.1778334194844056,3.5718504578289494,1,0.2915513322078989,3.531187862925449,2.943388812395698,0.5136425495147705,0.8749431371688843,0.9213278889656067,4.610625436399437,0.006466634105890989,0.019497031345963478
12,1.1770935476244633,3.604944914514849,1,0.2777403973167251,3.5233272632960655,2.944960834731298,0.5125057101249695,0.8688039779663086,0.9192814826965332,4.610113711221358,0.005208251066505909,0.018064660020172596
13,1.1763577238003446,3.622569747020656,1,0.2666808325774075,3.516046130187251,2.9457384108701814,0.5120509266853333,0.8624374866485596,0.9174624681472778,4.609149693570095,0.005179231055080891,0.01767817512154579
14,1.175293496951274,3.62864371074679,1,0.258047808622242,3.509205894648854,2.945360495440262,0.5147794485092163,0.8610731959342957,0.9165529608726501,4.6067906491745605,0.0051788813434541225,0.017628046218305826
15,1.1736963577334156,3.626741480447289,1,0.25148872760624086,3.5019915391744463,2.943636925641199,0.5188722014427185,0.8608458638191223,0.9160982370376587,4.602056398889684,0.005175700876861811,0.02452901378273964
16,1.1714772046643658,3.6197996019112324,1,0.24665530529493357,3.4939262484177727,2.94060794698691,0.5190995931625366,0.8610731959342957,0.9170077443122864,4.594818215526781,0.006119957659393549,0.02605849364772439
17,1.1687226322583477,3.610234055035957,1,0.24321478361530557,3.4857270238259703,2.936500700073999,0.5206912159919739,0.8647112250328064,0.9185993671417236,4.585674738185074,0.00612958800047636,0.029128452762961388
18,1.1656707119281895,3.600049609936362,1,0.2408500485771331,3.4771308418377447,2.9316458789716244,0.5234197378158569,0.8685766458511353,0.9206457734107971,4.575472031016733,0.005915421061217785,0.026184792164713144
19,1.1626074686557095,3.590866088989195,1,0.23925771306953905,3.468840925259732,2.9264223113105245,0.5275124907493591,0.8724420070648193,0.9220100045204163,4.565088578540389,0.005914892069995403,0.026352960150688887
20,1.1597894646008489,3.5839426024808425,1,0.2381470816591229,3.4609035022724455,2.9212098399940767,0.5295588970184326,0.8760800361633301,0.9249659180641174,4.555330692402736,0.005507857073098421,0.024337387178093195
21,1.1574060902977006,3.5802205256006188,1,0.23724169150980562,3.453855272137921,2.9163401018635446,0.5356980562210083,0.8801727890968323,0.9297407865524292,4.546837949723642,0.005210030823945999,0.01986079616472125
22,1.155568322167281,3.580365267532919,1,0.23628497961589395,3.4480542998034287,2.912056082412084,0.5347885489463806,0.8858572244644165,0.9315598011016846,4.540029304806479,0.005223229993134737,0.017879212275147438
23,1.1543110839666695,3.5847826071202618,1,0.23505028203467954,3.443812564526484,2.908492990857775,0.5381991863250732,0.8879035711288452,0.9347430467605591,4.535115508783339,0.005162741988897324,0.01759750721976161
