iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.3313541643811122,2.0923890322676804,1,0.6381852080850035,3.8666384817766373,3.0385360992839994,0.6175534129142761,0.976352870464325,0.9922692179679871,4.78531103126483,0.6210324894636869,1.2729317732155323
1,1.3053630450066127,2.2873058766881393,1,0.14866730094540603,3.5941615584791076,2.9673613278048947,0.4852205514907837,0.8483401536941528,0.904729425907135,4.6728906714986405,0.40054263081401587,1.345464076846838
2,1.278438894499987,2.1636534768210822,1,0.26345466365336434,3.637384622278442,2.9409986288652603,0.5306957960128784,0.9110959768295288,0.9563437700271606,4.655967740847844,0.1179486382752657,0.8746398221701384
3,1.2473066874170375,2.1876040010969167,1,0.25054269548069363,3.604368709153253,2.9342776943957896,0.5331969261169434,0.9076853394508362,0.9536153078079224,4.630022620185396,0.10463403072208166,0.8608613573014736
4,1.2432713441392877,2.257106244042777,1,0.2334172999960465,3.5681090455597166,2.9252501068558527,0.5347885489463806,0.9060936570167542,0.9524784088134766,4.595795068933199,0.14320402685552835,0.901714731939137
5,1.2284132290565872,2.729267361093606,1,0.19680628748994522,3.5352958322295196,2.9114024592396155,0.5468394756317139,0.9183719754219055,0.9574806690216064,4.577123868919765,0.1074742479249835,0.8649224573746324
6,1.2142058584437962,2.710756891390169,1,0.17539362273918646,3.4984818799258703,2.9025922013325602,0.5452478528022766,0.9049568176269531,0.9490677714347839,4.557858847137475,0.10735933762043715,0.8656384833157063
7,1.2194266167386414,2.759284820478607,1,0.1605894869565181,3.4902922184624123,2.8967616368148428,0.5416098237037659,0.9026830196380615,0.9438381195068359,4.550710629160423,0.16963390074670315,0.9300184873864055
8,1.2053888507016668,2.823168451037544,1,0.154384720781624,3.4934735620144943,2.895668472553216,0.5436562299728394,0.9022282958030701,0.9442928433418274,4.555272700938794,0.11661775410175323,0.8754265485331416
9,1.2135147084013467,2.8321569643739237,1,0.15355237774967376,3.4954447820610275,2.8957805659434426,0.5420645475387573,0.9026830196380615,0.9436107277870178,4.556756161962143,0.22637136094272137,0.9849429745227098
10,1.2168722141730266,2.928150688551952,1,0.1445858396490831,3.5101844049448965,2.8964101473364647,0.5404729247093201,0.9033651947975159,0.9463392496109009,4.574439021166679,0.1724895080551505,0.9314583102241158
11,1.2107715129920353,2.8961300869584514,1,0.14365718581062897,3.503545224656234,2.895379839432657,0.5420645475387573,0.9031378030776978,0.9452023506164551,4.5666195065441295,0.11402560584247112,0.8738630255684257
12,1.214743538144433,2.9056857847893403,1,0.13731243495455803,3.503083270553121,2.893698931444796,0.541837215423584,0.9035925269126892,0.946566641330719,4.564692281295054,0.11461560428142548,0.918599852360785
13,1.2114599620347979,2.9181173677314476,1,0.12653316325071842,3.501030218550174,2.891868258550974,0.5397908091545105,0.9015461802482605,0.9461118578910828,4.565321418346936,0.11504709161818027,0.9192383987829089
14,1.2088399006398307,2.958113865798456,1,0.10601975369395235,3.5191120363446906,2.891052699939884,0.536607563495636,0.9024556875228882,0.9461118578910828,4.588599884795557,0.4249672843143344,1.229565879330039
15,1.2152959322639825,2.9430687215571836,1,0.1058563558056598,3.5095783132782734,2.889927682348157,0.5363801717758179,0.8988176584243774,0.944065511226654,4.588418453519358,0.1242067776620388,0.9292449904605746
16,1.2056678302912016,2.9425188665794377,1,0.10590315432778195,3.509508537861427,2.889919076971986,0.5359254479408264,0.8988176584243774,0.9442928433418274,4.58829510478652,0.18912221863865852,0.9942186707630754
17,1.2158191485791658,2.880788587457345,1,0.11122117319067029,3.5171234195383505,2.8911693630564206,0.5372896790504456,0.9008640050888062,0.9461118578910828,4.581112758647845,0.12452708650380373,0.9289857717230916
