iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.0227884641274727,1.9071961021533959,1,0.4068597569283932,8.730291212263738,3.9017719765034515,0.591526985168457,0.9069527983665466,0.9416287541389465,11.966398445563312,6.552220888901502,6.612435583025217
1,0.9861489299576288,2.039332226770113,1,0.44193579466762845,9.134795658320558,3.932288178958559,0.5809482932090759,0.913184404373169,0.945297360420227,12.32778663618324,5.723751187324524,5.759465204086155
2,0.982784675273726,1.8760499037538978,1,0.4372878857433553,9.149002635328491,3.9679900193950925,0.5916777849197388,0.9088876247406006,0.9408749341964722,12.776908051883893,6.060103585012257,6.095437232870609
3,0.9878910820033144,1.976756737404667,1,0.4022583919922771,8.718698757077007,3.9039953128815403,0.5971304178237915,0.908359944820404,0.9395934343338013,11.992614478510342,5.957891849335283,5.993839944247156
4,0.9878863882591757,1.9971825037079127,1,0.4148160123078226,8.609763446504683,3.8949005083257133,0.601779043674469,0.9123551845550537,0.9431363940238953,11.879205429618654,5.773880545981228,5.80924291536212
5,1.0038051021480527,2.227189942041259,1,0.45740618585693393,9.139813288461763,3.928586423545406,0.5777319669723511,0.9221298098564148,0.9554740190505981,12.276159229437319,5.959757818840444,5.99528501695022
6,0.9898576552858767,2.377753985925277,1,0.4285026381682905,9.195498121487725,3.9295499844241077,0.5675050616264343,0.9133602976799011,0.9434630870819092,12.304691978517063,5.748737251851708,5.784229629673064
7,0.9900878482238444,2.337936148322566,1,0.45344693788391427,9.079324534152052,3.9281978229157186,0.5824559926986694,0.9204462766647339,0.9501721262931824,12.270232241303484,5.931998059153557,5.967634276021272
8,0.9882494314732982,2.210341303984081,1,0.37491718105867566,8.683895690697348,3.901506669802591,0.5685101747512817,0.9056210517883301,0.9407995343208313,11.952644737701778,5.920888670254499,5.956266527995467
9,1.0032836345928793,2.274661674778893,1,0.41368441331294453,8.775237479677855,3.9131689529406097,0.5944669246673584,0.9064753651618958,0.9392668008804321,12.108776008101826,5.749102951027453,6.301051360089332
10,0.9986514987034361,2.3121630389203616,1,0.40787662524894297,8.836933127951282,3.9138771157298606,0.5745910406112671,0.9087368249893188,0.9405985474586487,12.113652210997543,5.9199383039958775,5.955240532755852
11,0.9991893709644923,2.486836879776289,1,0.4349511684154685,9.288726235571097,3.9340542629798283,0.5599668025970459,0.9099429845809937,0.9458250403404236,12.356194539564353,5.965042490046471,6.000506608281285
12,0.9912055559302476,2.3898172068064443,1,0.3706157845831923,9.058346928643278,3.918544330172147,0.5462220907211304,0.898836612701416,0.936904788017273,12.127745884874034,5.748446153011173,5.784040130674839
13,0.9832371781504573,2.38350751035993,1,0.42649054207265713,8.703237045693616,3.897020406971826,0.5905721783638,0.9169032573699951,0.949016273021698,11.88661754113392,5.946809519082308,5.982435755897313
14,0.9922277209227013,2.550654072777109,1,0.3962094048553132,8.954855420718749,3.9298776206844384,0.5638113617897034,0.9054200053215027,0.939568281173706,12.288112375317565,5.747518758755177,6.331735613755882
15,0.9914862605698986,2.661716339333192,1,0.4821525997063905,9.759381842922824,3.9632559499590356,0.5387089252471924,0.923109769821167,0.955147385597229,12.715590585038557,5.940618922933936,5.975996600929648
16,0.9952590132764796,2.454264353373166,1,0.42118582545680566,9.11957178879986,3.931089679936323,0.5721285343170166,0.904314398765564,0.9431363940238953,12.320135858832547,5.945453476160765,5.9808927942067385
17,0.9940524766153711,2.4904860099541053,1,0.4272439696273565,9.06829649839539,3.9197723349954536,0.5654446482658386,0.9148428440093994,0.9459004402160645,12.17739330993925,5.761119136121124,5.796759971883148
18,0.995751729813539,2.4329171931727647,1,0.4233713613453796,9.27432854866301,3.9376469487326564,0.5598914623260498,0.908912718296051,0.9440158605575562,12.39566831754629,5.935169721953571,5.971033577807248
19,0.9954105241386518,2.5907324523299367,1,0.41060638041860964,9.125582600921662,3.925125443010379,0.5622785687446594,0.9072543382644653,0.9399954676628113,12.241950747272154,5.757811912801117,6.263875341042876
20,0.9964426568929076,2.5578235383694814,1,0.4340126135816481,8.974591115223719,3.918860005601505,0.5812749862670898,0.9182350635528564,0.9478604197502136,12.161950408296759,5.938304356299341,5.974108261987567
21,0.9918180030258978,2.533773502248126,1,0.4345240817393006,9.425607884455882,3.9347367349999325,0.5467748641967773,0.9116013646125793,0.9524335861206055,12.366968098373968,5.9842497101053596,6.020397760439664
22,0.98887315156419,2.3207899270896664,1,0.3933893888727836,8.931741432059614,3.9089353649311698,0.5588863492012024,0.898183286190033,0.9410759806632996,12.045340291169522,5.764529167208821,5.799994855187833
23,0.9933062654768583,2.5180080734280903,1,0.46441685895469315,9.768997650927112,3.957619348104899,0.5275020599365234,0.9201698899269104,0.9518305659294128,12.652415590399194,5.93128976225853,5.966816209256649
24,0.9935861279388023,2.438287315994537,1,0.4149027715083245,8.855787902769926,3.9005764362406223,0.5765510201454163,0.9156469106674194,0.949418306350708,11.936270499087865,5.927389908116311,6.186731030698866
25,0.9845991278591136,2.409832847781349,1,0.39665482054062196,9.409053126130367,3.931147128662735,0.5309445261955261,0.9021031856536865,0.9435133337974548,12.310818785486527,5.7436418063007295,5.779161313083023
26,0.9982191729869013,2.619093547773724,1,0.39573073792821045,8.972733819368079,3.910549164128552,0.5524788498878479,0.9089881181716919,0.9431867003440857,12.073073130405316,5.941765706986189,5.977381202857941
27,0.9939268521375472,2.632610021234013,1,0.42904901764772263,8.857755028388604,3.902855092085771,0.5888132452964783,0.9190139770507812,0.9503982663154602,11.9743440886677,5.752463650889695,5.788263575173914
28,1.0022273396779295,2.6951068990898266,1,0.46843416317382613,9.049112714012338,3.922417695027413,0.5997185707092285,0.9237379431724548,0.9518808126449585,12.176664923305783,5.947266031987965,5.982783909887075
29,0.9940127805619717,2.5163908914682116,1,0.4365338621789701,9.184403379685614,3.925122364401086,0.5764253735542297,0.9186873435974121,0.9477850198745728,12.246752905608952,5.924557771999389,6.401492625940591
30,1.0002047835717132,2.642049826415496,1,0.37689818998744257,9.067304873606076,3.9368662406462294,0.5533583164215088,0.8986355662345886,0.9330853819847107,12.354459252652054,5.7542213797569275,5.789878354873508
31,1.010217519426219,2.477186731884338,1,0.43960946827856495,8.889033462416204,3.915828721406831,0.5946428179740906,0.919968843460083,0.9478101134300232,12.116939317873623,5.9759430713020265,6.011599936056882
32,0.999436430035082,2.4551134286099217,1,0.42418255101771146,8.90762925711361,3.910580370044717,0.5887880921363831,0.9137623310089111,0.9455486536026001,12.06763584291303,5.934627181850374,5.9701040498912334
33,0.9990793004928863,2.665593810430332,1,0.4151822569109347,9.149514034675136,3.9234273864564746,0.5613237023353577,0.9088373780250549,0.9409000873565674,12.226653285750217,5.734454944729805,5.770457905717194
34,0.9950005407242942,2.5113274181659633,1,0.4507697255776873,9.06805357844086,3.9328210638301657,0.5976330041885376,0.9118777513504028,0.9439405202865601,12.335139767149874,5.929534713272005,6.439316835254431
