iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.1026158329336548,0.9162015137956375,1,0.49741633116524653,9.777685605830293,3.9808020378341613,0.5581827759742737,0.920370876789093,0.9507248997688293,12.94765283238596,6.375540276058018,6.430432333610952
1,1.0662597139444485,1.0029931360793443,1,0.4947279274497708,9.677278179058565,3.9839506643135443,0.5741638541221619,0.916174590587616,0.9480111598968506,12.986656586549781,5.755860189907253,5.78995406627655
2,1.0582328065161783,0.9456574401305972,1,0.4652817858471391,9.362498212417446,3.9676215790947125,0.5760735869407654,0.9159735441207886,0.9446440935134888,12.786615388304678,5.962907429784536,5.996597680263221
3,1.0600377344191656,0.9669273062450343,1,0.49048087136498797,9.493937143864027,3.9753548117943884,0.5817021131515503,0.9184109568595886,0.947483479976654,12.88045097395355,6.014983513392508,6.049240828491747
4,1.0577992587189486,0.877743370587462,1,0.4839441170914331,9.44052427582723,3.9668553944851377,0.5860994458198547,0.9214010834693909,0.9483377933502197,12.764803872930154,5.755240055732429,5.789277143776417
5,1.059183479607827,0.8674412146339153,1,0.4973279763641888,9.634741770802949,3.9778238416915155,0.5759981870651245,0.9237882494926453,0.9491921663284302,12.90674352862208,5.939685853198171,5.978130730800331
6,1.0633403912403567,0.8673438608478042,1,0.4718632041154619,9.474522129149616,3.9782601575749204,0.5808226466178894,0.9138125777244568,0.9448450803756714,12.92064778933769,5.750062253326178,5.784123441204429
7,1.0577020699543072,0.8572422341486502,1,0.4510415225392469,9.316744804253146,3.975877812904709,0.5866020321846008,0.9076312184333801,0.9388898611068726,12.883408116653063,5.9696900974959135,6.004118671640754
8,1.0650590135049904,0.9929855059228967,1,0.4916766020213912,9.70528033841784,3.991436414496697,0.569339394569397,0.9122044444084167,0.9460009336471558,13.08660584656715,5.920331450179219,5.954154650680721
9,1.060148861174595,0.907424503391324,1,0.5073376400279312,9.49471118686334,3.9737198402587683,0.5910244584083557,0.9241148829460144,0.9513782262802124,12.841304505706852,5.738327800296247,5.772464986890554
10,1.0513665320179966,0.8204000748037388,1,0.46770940398491,9.345620793971484,3.9705345792300926,0.5858481526374817,0.9120033979415894,0.9423574805259705,12.82418825702219,5.936596560291946,5.983358591794968
11,1.058611857127832,0.8954135183006281,1,0.4711642190039472,9.847753867869693,3.98852299613263,0.5474533438682556,0.9142900109291077,0.9449958801269531,13.05110315633093,5.940062280744314,5.980598038062453
12,1.0888035285954725,1.2389468285358505,1,0.5121275262957611,9.80530104766497,4.014814708994441,0.5944920182228088,0.9152951240539551,0.9453225135803223,13.39262779909528,5.770645474083722,5.805076357908547
13,1.1465517805270613,1.49180439733237,1,0.5355779841495848,9.97043607944514,4.01553197142118,0.5826067328453064,0.9222554564476013,0.9503480195999146,13.335220461091708,5.962640672922134,5.996705269441009
14,1.0848656754517152,1.2630130787112366,1,0.471712834875442,9.834689051407763,3.9936122462134054,0.5496645569801331,0.9150689840316772,0.9453476667404175,13.116184398654614,6.149979583919048,6.183789793401957
15,1.0716600959957139,1.170513125417543,1,0.45620550781062097,9.708351074686577,3.9905865366498467,0.5603437423706055,0.9076061248779297,0.9393672943115234,13.074716664209049,5.952713803388178,5.987114078365266
16,1.0635532924871183,1.140311041617243,1,0.5163058848313691,9.712263853758582,3.9922009843795445,0.5827072262763977,0.9188883304595947,0.9469558000564575,13.08438540711954,5.955136191099882,5.992670156992972
17,1.0618921132614778,1.1230754937127267,1,0.5150724941137612,9.547726644805147,3.9995120100356196,0.6052466034889221,0.9215267300605774,0.9493931531906128,13.192711538750343,5.813300033099949,5.848157352767885
18,1.0579627407357268,1.080429674900293,1,0.4635903715317782,9.491343469280382,3.975651798619672,0.5743649005889893,0.9157223105430603,0.944091260433197,12.886308754742714,6.0996222961694,6.430944627150893
