iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.3756668078112053,2.468884161392767,0.6443966687116794,0.6444966658548787,0.6118491573641829,1.2075438610978921,0.6409774422645569,0.9379699230194092,0.9736841917037964,0.7852408604210324,0.3028060719370842,0.36628590896725655
1,1.3524941133356914,2.6472314995486146,0.5983826988830085,0.5982989948575917,0.6068616331897076,1.186102764156373,0.6315789222717285,0.9379699230194092,0.969924807548523,0.7775812291433266,0.0069649252109229565,0.020828896202147007
2,1.3318670414239664,2.833897922502558,0.5553855736431917,0.5547262551965603,0.6020589674460077,1.1675805923709646,0.6090225577354431,0.932330846786499,0.9661654233932495,0.7715479949604033,0.006422979757189751,0.020318101160228252
3,1.3125224144422476,3.02842210031839,0.5157327531259457,0.5138850017663346,0.5977079276202748,1.1521601830127215,0.5921052694320679,0.9191729426383972,0.9642857313156128,0.7665336843463972,0.006274621933698654,0.019994643982499838
4,1.2951243911209125,3.22984826664385,0.47986643619207675,0.47593952012416907,0.5942256653201979,1.1402549567923017,0.5601503849029541,0.9116541147232056,0.9567669034004211,0.7622893603336475,0.006311171222478151,0.020157741848379374
5,1.280613165153155,3.43675683420739,0.4484235237268815,0.44114590455238645,0.5910951522149027,1.1320347378788098,0.5413534045219421,0.8928571343421936,0.9436089992523193,0.7585061092724691,0.006311431061476469,0.02000992326065898
6,1.2693803149147591,3.6472445296371556,0.4222389758668398,0.40988579984108375,0.5882766369225964,1.1274022915171658,0.5206766724586487,0.8796992301940918,0.9379699230194092,0.7549569522788567,0.006211231928318739,0.020041842944920063
7,1.261364095138425,3.8588625673138974,0.4021933028748419,0.38268059649838837,0.5858173071248451,1.1259841361000527,0.4981203079223633,0.8627819418907166,0.932330846786499,0.7516132851123377,0.006230662111192942,0.019953373353928328
8,1.2562330146676473,4.068640790899327,0.3888957208372856,0.3601426584746333,0.5836619303600036,1.1269830994777579,0.47932329773902893,0.853383481502533,0.9285714030265808,0.7485533360300141,0.006227192003279924,0.020158451981842518
9,1.2533461037432831,4.273336120976238,0.38239001321282945,0.34281559189880917,0.5818654585329485,1.129184388352375,0.46992480754852295,0.853383481502533,0.9191729426383972,0.7458553632391949,0.0062414719723165035,0.019980073906481266
10,1.25174643580328,4.469921728917706,0.38214948597306364,0.33094485197590906,0.5802536354201556,1.1312577967377104,0.4661654233932495,0.8496240377426147,0.9097744226455688,0.743556934026032,0.006219512317329645,0.020000893156975508
11,1.250391760588999,4.656145684948833,0.38734246560393204,0.32434774186849635,0.578783238682491,1.132172100554072,0.4548872113227844,0.8458646535873413,0.9041353464126587,0.741653031381281,0.006220480892807245,0.019977642688900232
12,1.248480836350139,4.830884767009247,0.397102022254745,0.32249355967258875,0.5774673062176385,1.1314452659965892,0.46052631735801697,0.8402255773544312,0.9041353464126587,0.7401097958950245,0.006158472038805485,0.01801414182409644
13,1.2456506885384335,4.994155806634835,0.4106480306909388,0.3246947654311479,0.5763975439942661,1.1291249468153837,0.4661654233932495,0.8402255773544312,0.9060150384902954,0.7388801538113359,0.005436218809336424,0.015482414979487658
14,1.2419613678008272,5.146877612477054,0.4272893056095137,0.33025424692532207,0.5754693356403108,1.1256053379700888,0.46804511547088623,0.8421052694320679,0.9135338068008423,0.737914503915194,0.005449378862977028,0.015524425078183413
15,1.237746296028444,5.290557279454048,0.4463771387516666,0.33852034051003566,0.574682547951062,1.1214235537560029,0.4755639135837555,0.8458646535873413,0.9191729426383972,0.7371656537867256,0.005482289008796215,0.015503145288676023
16,1.233440122002882,5.427010995155782,0.46725586789517115,0.3488806159768172,0.5739903925007158,1.1171057071513577,0.48120301961898804,0.8515037298202515,0.9304511547088623,0.7365900081469878,0.005407540127635002,0.01555202528834343
17,1.2294455659262256,5.558149616745336,0.48923101494334154,0.36073470938005825,0.5734040301658662,1.1130736084999286,0.4868420958518982,0.8552631735801697,0.9342105388641357,0.7361472608001067,0.005476359277963638,0.015523565001785755
18,1.2260535262471959,5.6858206907269215,0.5115629738580774,0.3734716381274707,0.5729013287310538,1.109602018454418,0.490601509809494,0.8571428656578064,0.9360902309417725,0.7358000356574557,0.005431478843092918,0.01572403311729431
19,1.2234101896988783,5.811692672600271,0.53348741417199,0.3864641413298392,0.5724617865380661,1.1068140082895916,0.49436089396476746,0.8703007698059082,0.9379699230194092,0.7355140604914573,0.0054676891304552555,0.015550835058093071
20,1.2215202187501943,5.937173406711618,0.5542574947843117,0.3990840942575943,0.5721576486093612,1.1047033816001575,0.5018796920776367,0.8778195381164551,0.9379699230194092,0.735258874489478,0.005657017230987549,0.015899111051112413
21,1.2202750617316145,6.063360748690549,0.5731973451389442,0.4107361931604775,0.5718264435702498,1.1031736130201444,0.5056390762329102,0.8796992301940918,0.9398496150970459,0.7350087793053436,0.005353929940611124,0.01522956695407629
22,1.2194955368233453,6.191024156375954,0.589753372094946,0.4209013322783697,0.5714672143307984,1.1020827121375818,0.5112782120704651,0.8815789222717285,0.9417293071746826,0.7347436871296658,0.005303620360791683,0.01516554830595851
23,1.2189779920215023,6.32061329177806,0.6035316066276833,0.4291780904611338,0.5710705133440503,1.1012843804605401,0.518796980381012,0.8853383660316467,0.9417293071746826,0.7344496051654854,0.0053583900444209576,0.01523103704676032
24,1.2185347269606561,6.452286343095792,0.6143147692881787,0.4353120096859191,0.5706421500845326,1.1006585259646342,0.5206766724586487,0.8872180581092834,0.9436089992523193,0.734118621913162,0.005320261232554913,0.015084260143339634
