iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.4351515769958496,2.4689173698425293,1,0.644496738910675,0.6083627343177795,1.227284550666809,0.7050691246986389,0.9662058353424072,0.9846389889717102,0.7731032967567444,0.3087517097592354,0.36252730060368776
1,1.4163665771484375,2.647336483001709,1,0.5982659459114075,0.6048228144645691,1.2073211669921875,0.68049156665802,0.9646697640419006,0.9831029176712036,0.7681129574775696,0.006256668828427792,0.017600259743630886
2,1.39931321144104,2.834230422973633,1,0.5545885562896729,0.5992940068244934,1.1866455078125,0.68049156665802,0.9615975618362427,0.981566846370697,0.7625873684883118,0.005573437083512545,0.01622988423332572
3,1.3826406002044678,3.029367208480835,1,0.5135131478309631,0.593320906162262,1.1658856868743896,0.6513056755065918,0.9554531574249268,0.9784946441650391,0.7565217614173889,0.0053711687214672565,0.016033495776355267
4,1.366292119026184,3.231961965560913,1,0.4751170575618744,0.5880228281021118,1.1465779542922974,0.6251919865608215,0.9493087530136108,0.9784946441650391,0.7509697079658508,0.005379618611186743,0.016125064808875322
5,1.3512275218963623,3.4404208660125732,1,0.4395344853401184,0.5837590098381042,1.130099892616272,0.602150559425354,0.9477726817131042,0.9754224419593811,0.7465099096298218,0.005393408238887787,0.015994174871593714
6,1.3383888006210327,3.6520211696624756,1,0.4069954454898834,0.5803655385971069,1.1175062656402588,0.5745007395744324,0.9354838728904724,0.9692780375480652,0.7432383894920349,0.00535100931301713,0.01588516728952527
7,1.3284610509872437,3.8624930381774902,1,0.3778790235519409,0.5781529545783997,1.1094608306884766,0.5560675859451294,0.9308755993843079,0.9631336331367493,0.7409813404083252,0.005341579206287861,0.01603197492659092
8,1.3218599557876587,4.06572961807251,1,0.35276320576667786,0.5766902565956116,1.1060726642608643,0.5376344323158264,0.9201228618621826,0.9539170265197754,0.7394587993621826,0.005445627961307764,0.016113644931465387
9,1.3186414241790771,4.254244804382324,1,0.332410991191864,0.5760713815689087,1.1066737174987793,0.5176651477813721,0.9047619104385376,0.9431643486022949,0.7383890151977539,0.005353908054530621,0.016020785085856915
10,1.3182963132858276,4.420943260192871,1,0.3175806999206543,0.5753897428512573,1.1097476482391357,0.5007680654525757,0.8847926259040833,0.937019944190979,0.7375431656837463,0.005338018294423819,0.01590271620079875
11,1.3196361064910889,4.561472415924072,1,0.3086645007133484,0.574621319770813,1.1133204698562622,0.48079878091812134,0.8801843523979187,0.9339478015899658,0.7367729544639587,0.005336448084563017,0.01611802401021123
12,1.321096658706665,4.675328254699707,1,0.3054564893245697,0.5738559365272522,1.1157376766204834,0.4777265787124634,0.8740399479866028,0.9339478015899658,0.7360138893127441,0.005541896913200617,0.016126013826578856
13,1.3213902711868286,4.765156269073486,1,0.3073022961616516,0.5731969475746155,1.1162124872207642,0.47311827540397644,0.8740399479866028,0.9324116706848145,0.7352609634399414,0.005395668093115091,0.021008297335356474
14,1.319961667060852,4.835372447967529,1,0.31341487169265747,0.5726480484008789,1.1147948503494263,0.48079878091812134,0.8740399479866028,0.9308755993843079,0.7345324754714966,0.005793383810669184,0.016112355049699545
15,1.3169581890106201,4.891064167022705,1,0.32306811213493347,0.572165846824646,1.1120275259017944,0.47311827540397644,0.8771121501922607,0.9308755993843079,0.7338463068008423,0.005477136932313442,0.015229602809995413
16,1.3129303455352783,4.937351703643799,1,0.33563363552093506,0.5716766715049744,1.1086108684539795,0.4761904776096344,0.8801843523979187,0.937019944190979,0.733207643032074,0.004703974816948175,0.0130738141015172
17,1.3085421323776245,4.979063510894775,1,0.3505440354347229,0.5712557435035706,1.1051808595657349,0.4777265787124634,0.8878648281097412,0.9416282773017883,0.7326062917709351,0.004712045192718506,0.013122723903506994
18,1.304378628730774,5.020540714263916,1,0.367242693901062,0.5707147717475891,1.1021963357925415,0.4838709533214569,0.8970814347267151,0.9431643486022949,0.7320163249969482,0.004756934009492397,0.013186712749302387
19,1.3008513450622559,5.06546688079834,1,0.3851480484008789,0.5701566338539124,1.0998979806900024,0.49615976214408875,0.9016897082328796,0.9462365508079529,0.731399416923523,0.004759584087878466,0.01310618408024311
20,1.2981619834899902,5.116703987121582,1,0.4036407172679901,0.569425106048584,1.0983219146728516,0.5023041367530823,0.9093701839447021,0.9523809552192688,0.7307142615318298,0.004709743894636631,0.013110673055052757
21,1.2963173389434814,5.176192283630371,1,0.4220757782459259,0.568679928779602,1.0973538160324097,0.5084485411643982,0.918586790561676,0.9539170265197754,0.7299296259880066,0.004821002949029207,0.013260331936180592
