iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.4032487869262695,2.450298547744751,1,0.3361930549144745,0.5833765268325806,1.1640621423721313,0.698924720287323,0.9462365508079529,0.9585253596305847,0.7851250767707825,0.34422785323113203,0.3842759500257671
1,1.3297150135040283,2.834766387939453,1,0.0744740217924118,0.5572328567504883,1.1283022165298462,0.5944700241088867,0.8817204236984253,0.9201228618621826,0.7812597155570984,0.01609627716243267,0.02743225311860442
2,1.2580732107162476,2.766202211380005,1,0.06404406577348709,0.5522517561912537,1.11605966091156,0.5714285969734192,0.8832565546035767,0.921658992767334,0.777749240398407,0.01606532698497176,0.026843114756047726
3,1.2528281211853027,2.780886173248291,1,0.04968801140785217,0.5524982213973999,1.118859887123108,0.5668202638626099,0.8771121501922607,0.9170507192611694,0.7795120477676392,0.01620675716549158,0.026915285270661116
4,1.2503859996795654,3.1928861141204834,1,0.0013470971025526524,0.5628591179847717,0.9697386622428894,0.5560675859451294,0.900153636932373,0.9170507192611694,0.7919517159461975,0.03273676289245486,0.04410899989306927
5,1.2162880897521973,3.7337756156921387,1,0.00023436074843630195,0.5762467384338379,0.900432825088501,0.5376344323158264,0.9062979817390442,0.9247311949729919,0.7991058826446533,0.02468807902187109,0.035967566072940826
6,1.202492356300354,4.0655083656311035,1,0.00017989941989071667,0.5942295789718628,0.9057039618492126,0.6144393086433411,0.8970814347267151,0.9308755993843079,0.8047875761985779,0.01443770993500948,0.02382565103471279
7,1.185084581375122,3.9145963191986084,1,0.00022816687123849988,0.5816383361816406,0.917168915271759,0.5668202638626099,0.8909370303153992,0.9231950640678406,0.7969062328338623,0.013572012074291706,0.02310944302007556
8,1.177215814590454,4.075833320617676,1,0.00015569780953228474,0.5760769248008728,0.9075063467025757,0.5529953837394714,0.8909370303153992,0.9155145883560181,0.794616162776947,0.013698771595954895,0.02346329065039754
9,1.1684106588363647,4.243791103363037,1,0.00012589387188199908,0.574573814868927,0.9212276935577393,0.5437787771224976,0.8740399479866028,0.8986175060272217,0.7953832149505615,0.013937391340732574,0.023512050975114107
10,1.1638448238372803,4.35921049118042,1,0.00011142569564981386,0.5734159350395203,0.9152733683586121,0.5437787771224976,0.8786482214927673,0.8986175060272217,0.7948310971260071,0.014379171188920736,0.023805120959877968
11,1.1581169366836548,4.494253158569336,1,0.00010241010022582486,0.5674597024917603,0.8994609117507935,0.5560675859451294,0.8725038170814514,0.9109063148498535,0.7887881994247437,0.014208000153303146,0.023596881423145533
12,1.146077275276184,4.437586784362793,1,0.00010229738836642355,0.571323037147522,0.9014903903007507,0.5652841925621033,0.8678955435752869,0.9047619104385376,0.7902471423149109,0.014051491860300303,0.023310082033276558
13,1.1430871486663818,4.391200065612793,1,0.00010173940245294943,0.5822177529335022,0.9013680219650269,0.5499231815338135,0.8663594722747803,0.9109063148498535,0.7945003509521484,0.020580057986080647,0.029834108892828226
14,1.1390868425369263,4.377455711364746,1,0.00010146316344616935,0.5885461568832397,0.9141613245010376,0.5453149080276489,0.8602150678634644,0.9124423861503601,0.7977952361106873,0.01428498001769185,0.023656771052628756
15,1.1370002031326294,4.337329864501953,1,0.0001015432717395015,0.5837822556495667,0.9311636090278625,0.5330260992050171,0.8571428656578064,0.900153636932373,0.7961074113845825,0.014499770011752844,0.02401740988716483
16,1.1344633102416992,4.391748905181885,1,0.00010108128481078893,0.5828299522399902,0.9269803762435913,0.5314900279045105,0.855606734752655,0.9032257795333862,0.7951536178588867,0.01454751007258892,0.023996571078896523
17,1.133891224861145,4.381680488586426,1,0.0001011267740977928,0.5821806788444519,0.9304035902023315,0.5314900279045105,0.858678936958313,0.9032257795333862,0.7952423691749573,0.014629659708589315,0.024005329702049494
18,1.1334906816482544,4.396017551422119,1,0.00010105529509019107,0.5820587873458862,0.9307175278663635,0.523809552192688,0.8571428656578064,0.9016897082328796,0.7954946756362915,0.014740599785000086,0.024136199615895748
19,1.1333577632904053,4.428184509277344,1,0.00010091893636854365,0.5820162892341614,0.9305971264839172,0.5253456234931946,0.855606734752655,0.900153636932373,0.7957056164741516,0.014074560720473528,0.022681653033941984
20,1.1332587003707886,4.491994380950928,1,0.00010070845019072294,0.5822048187255859,0.9303939342498779,0.52073734998703,0.855606734752655,0.9016897082328796,0.7960847020149231,0.013618563301861286,0.022726374212652445
21,1.1331294775009155,4.53317928314209,1,0.00010059266060125083,0.582585334777832,0.9304965138435364,0.5222734212875366,0.8540706634521484,0.9016897082328796,0.7964553833007812,0.013960051815956831,0.02254215395078063
22,1.1330640316009521,4.547389507293701,1,0.00010055524035124108,0.5827972292900085,0.9305976033210754,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7966569662094116,0.013884230982512236,0.022492234129458666
23,1.133056879043579,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.013941841199994087,0.02266204310581088
24,1.1330313682556152,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.055756314657628536,0.06438751798123121
25,1.1330313682556152,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.05600586486980319,0.06472753686830401
26,1.1330313682556152,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.05594427511096001,0.06459225714206696
27,1.1330313682556152,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.055719496216624975,0.06438447814434767
28,1.1330313682556152,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.05590203497558832,0.06457184767350554
29,1.1330313682556152,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.057648152112960815,0.06706105219200253
30,1.1330313682556152,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.05900143925100565,0.06801903108134866
31,1.1330313682556152,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.05626652482897043,0.0649212570860982
32,1.1330313682556152,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.055856126360595226,0.06449486827477813
33,1.1330313682556152,4.557455539703369,1,0.00010053022560896352,0.5829190015792847,0.9305732846260071,0.5253456234931946,0.8540706634521484,0.9016897082328796,0.7967527508735657,0.05610200483351946,0.06481202691793442
