iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.370670111953868,2.4688841784901494,0.6443966686054446,0.644496665735067,0.6084625001135046,1.2055050903263156,0.6428571343421936,0.9473684430122375,0.9736841917037964,0.7815223636490253,0.419368177652359,0.5838611833751202
1,1.350025873384335,2.6468739017657477,0.5981993231380911,0.5982184540095945,0.604087870799826,1.1856190209721789,0.61654132604599,0.9436089992523193,0.9736841917037964,0.7761486721853021,0.04327081795781851,0.14178523141890764
2,1.3304136786540348,2.8328678331111563,0.5550628160842838,0.5546766881360322,0.6001351678940229,1.168848172112039,0.5902255773544312,0.9417293071746826,0.9642857313156128,0.7723135179036466,0.037817955017089844,0.13544243853539228
3,1.3099638232352815,3.026550305194964,0.514942640135332,0.5137585036936404,0.5972662601420403,1.1553428269691424,0.5751879811286926,0.9304511547088623,0.9624060392379761,0.7693837446142371,0.03810505196452141,0.13578633405268192
4,1.2956621600855687,3.2266272852768467,0.4788007025159367,0.47597450040677014,0.5952604609369644,1.1450693457810335,0.5639097690582275,0.9248120188713074,0.9492481350898743,0.7665994679247796,0.03778854664415121,0.13567272666841745
5,1.2757258962981035,3.432570518095487,0.4469403269219918,0.4411773467886703,0.5931132345813775,1.1380916628679165,0.5357142686843872,0.9078947305679321,0.9473684430122375,0.7637168744346969,0.03780095465481281,0.13529169838875532
6,1.2706166531619285,3.6424496579280756,0.420673884999025,0.41031321721737657,0.5910425646728252,1.1345972692080573,0.5150375962257385,0.896616518497467,0.9379699230194092,0.7608555097163613,0.037868875078856945,0.13552579656243324
7,1.257376736908062,3.854296620508403,0.4009412558007071,0.38358105060867076,0.5884467734867179,1.1338793443511344,0.49624061584472656,0.8890977501869202,0.9360902309417725,0.7579448387310591,0.03778838645666838,0.13559676706790924
8,1.2585393668465477,4.063972017019125,0.38809753400668584,0.3618582877661917,0.5876924090356602,1.1358675614037448,0.46992480754852295,0.8796992301940918,0.9248120188713074,0.7555976649078419,0.038161431439220905,0.13780250307172537
9,1.2551273093686324,4.270690349814082,0.38117594251066517,0.3448003582521611,0.5862724488926521,1.1387902539434096,0.4530075192451477,0.8759398460388184,0.9135338068008423,0.7533893271548061,0.03780636563897133,0.13746493682265282
10,1.2531282514695707,4.470605318094909,0.3803667034985452,0.3329132041540354,0.5856789151771596,1.1425161381139812,0.44548872113227844,0.8646616339683533,0.9078947305679321,0.7520481366733628,0.03785040508955717,0.1385572450235486
11,1.2461511901616493,4.6606758185266335,0.385593713769478,0.3264978411696767,0.5850392303411738,1.1443104010815406,0.441729336977005,0.8609022498130798,0.9060150384902954,0.7507797767377965,0.03811241313815117,0.13887807168066502
12,1.2520714049242345,4.838955401682017,0.39511793118692595,0.3243833754369881,0.5845826260606759,1.144531751000725,0.43421053886413574,0.8609022498130798,0.9060150384902954,0.7498184699244673,0.03779227565973997,0.13858897425234318
13,1.2579770066245826,5.0064455623289135,0.4079731661046966,0.3262713157443638,0.5829021794511626,1.141643031442757,0.4304511249065399,0.8609022498130798,0.9041353464126587,0.748377222365345,0.03860617708414793,0.14070014283061028
14,1.2437869323265054,5.162370989675259,0.42408780623449904,0.33156525759403155,0.5825574485035925,1.1384592814199384,0.43609023094177246,0.8627819418907166,0.9041353464126587,0.7476783362088258,0.03813714347779751,0.14250943530350924
