iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,2.294109676567337,2.0404471697236803,1,0.9653368171973332,0.6752922567893817,1.3719770838076821,0.7443609237670898,0.9661654233932495,0.9962406158447266,0.850171519510711,0.45999883860349655,0.49075864627957344
1,2.0779438567542092,1.9544766489289214,1,1.2397669628821764,0.6525062925296407,1.3876591195591512,0.7744361162185669,0.9774436354637146,0.9962406158447266,0.835240387946167,0.11439478863030672,0.12219605967402458
2,1.8522040024889095,2.349857973631399,1,1.4687101981465855,0.6187938360047816,1.3935817195786493,0.7951127886772156,0.9962406158447266,0.9981203079223633,0.792740173702429,0.10197659768164158,0.10934875253587961
3,1.744281220066513,2.9035341544336997,1,1.6275761616428375,0.5935890550642275,1.389685089371022,0.8063910007476807,0.9962406158447266,1.0,0.7562159263014322,0.1009088084101677,0.10786497592926025
4,1.6703778565864709,3.557777099027441,1,1.7104773256733388,0.5774665970774809,1.3714554557167546,0.8157894611358643,0.9962406158447266,1.0,0.7328953689834392,0.09565601218491793,0.10262138117104769
5,1.6050064807590068,4.386297538937757,1,1.7207241422748998,0.5355235703012184,1.3253910213392022,0.8063910007476807,0.9924812316894531,0.9981203079223633,0.6979749130529755,0.09688314236700535,0.10379171092063189
6,1.5329459507687422,5.371080012340711,1,1.6641216039560782,0.5461806815431284,1.2861786880445565,0.8063910007476807,0.9924812316894531,0.9981203079223633,0.7031504743210101,0.09633046761155128,0.103191077709198
7,1.4663399667389838,6.390999783592992,1,1.5495738042285923,0.536761015483037,1.240562321513507,0.7781955003738403,0.9868420958518982,0.9943609237670898,0.6946909839843931,0.09347774367779493,0.10024760290980339
8,1.4195187803490885,7.309418225468243,1,1.3925187511756265,0.5374530457624014,1.1983113259613596,0.7274436354637146,0.9830827116966248,0.9943609237670898,0.6913192225526031,0.09889518562704325,0.10579795390367508
9,1.3662570715768236,8.088917454860972,1,1.215001287260081,0.5440675659785363,1.164455884038519,0.6860902309417725,0.969924807548523,0.9868420958518982,0.7019150220640478,0.09392025042325258,0.10087859816849232
10,1.3238583789928677,8.745251582545528,1,1.0356195417718417,0.5538814356941502,1.1286854373204422,0.6390977501869202,0.9567669034004211,0.9868420958518982,0.7048226227319186,0.09571285359561443,0.10281314980238676
11,1.2891997975438876,9.29817633984583,1,0.8726768542192905,0.5514139271069304,1.0942075903104949,0.6184210777282715,0.951127827167511,0.9680451154708862,0.701399581755232,0.09373497031629086,0.1020498163998127
