iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.9737049517312664,1.9670735756451603,0.47905108589614165,0.9593699304211917,0.6753455610594213,1.3061829144128745,0.6860902309417725,0.9624060392379761,0.9661654233932495,0.8590081578090424,0.40892174653708935,0.4383882721886039
1,1.740007703526821,2.098889950976333,0.3382722853709932,1.19293719229057,0.6381260199275447,1.2979181855594628,0.6015037298202515,0.9266917109489441,0.9887217879295349,0.8397846728082234,0.11088091786950827,0.1180359311401844
2,1.5573735124839478,2.6444687312075468,0.25129745187062386,1.3273210616369748,0.6156652884330347,1.2707275526742632,0.7105262875556946,0.9718044996261597,0.9906014800071716,0.7928848886645532,0.09409236442297697,0.10094079002737999
3,1.4758700373254243,3.3326514930705438,0.1967167948839122,1.3433962319534836,0.5881819784565625,1.242167192700954,0.7086465954780579,0.9793233275413513,0.9906014800071716,0.7629893815900182,0.0897336844354868,0.09599544014781713
4,1.4159776758244085,4.0282851311364585,0.1613522556566314,1.2643306120811002,0.5736998936711954,1.203550902291559,0.701127827167511,0.9736841917037964,0.9887217879295349,0.7401472926598338,0.08348734676837921,0.08976639434695244
5,1.364966791265303,4.705787194876729,0.1386787592819391,1.1249384401608413,0.565659824983709,1.1624709685783206,0.6936089992523193,0.9605262875556946,0.9887217879295349,0.7270420677102415,0.08253536000847816,0.08869180735200644
6,1.314609384545468,5.341329587717137,0.12495632130231599,0.9591074001328668,0.5679902299784665,1.1345075890898566,0.6484962701797485,0.9417293071746826,0.9793233275413513,0.7315048880296546,0.0833817571401596,0.08963072393089533
7,1.2758914282195526,5.925091290428376,0.11746468698322224,0.7983910997601033,0.5659727698770117,1.106746853621982,0.5883458852767944,0.9097744226455688,0.9661654233932495,0.727202934364661,0.08280813880264759,0.08910084515810013
8,1.2411699668964296,6.451197323738975,0.11383522201493934,0.6719544068257729,0.5585134566471257,1.084878054421722,0.5582706928253174,0.8984962701797485,0.9436089992523193,0.7179418328110506,0.08225045073777437,0.08840182702988386
9,1.2306896385965571,6.914959203842512,0.1131369112117312,0.5914953681571629,0.5572091565241842,1.0871700552038701,0.5131579041481018,0.8796992301940918,0.9210526347160339,0.7188045326418617,0.08151276223361492,0.0876603489741683
10,1.2326067023858471,7.284502435904844,0.11419200252912189,0.5576080362521921,0.5621509418646564,1.092012908663123,0.5131579041481018,0.8609022498130798,0.9172932505607605,0.7192475100903041,0.0821704613044858,0.08844401687383652
11,1.236910436147189,7.573702259607107,0.11591705545382842,0.5681070308817691,0.5642063948145147,1.1013366515830143,0.4887218177318573,0.86654132604599,0.9210526347160339,0.7256887080786516,0.08157439157366753,0.08772080764174461
