iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.4029643732606714,3.4953472424440353,1,0.32929995812117324,0.04862378746088332,-1.1457800626564016,0.7587834000587463,0.9680125713348389,0.9811221957206726,0.07562109275098208,0.2786150979809463,0.32657100399956107
1,1.3264077155308964,3.7238467448508814,1,0.09707610376954853,0.04418645107683325,-1.2562545979229853,0.739905595779419,0.9627687335014343,0.9753539562225342,0.07279664565106207,0.02199134463444352,0.03882397199049592
2,1.23846486904541,5.430509442702371,1,0.006447886518390165,0.035845380609126405,-1.5222364193544722,0.7441006898880005,0.9475616216659546,0.9659150242805481,0.06557228037446605,0.021739458199590445,0.03818262089043856
3,1.0266050785146255,11.79007066410461,1,0.00011656910011155072,0.030060131997021036,-1.766118121722184,0.6612480282783508,0.8683796525001526,0.9029889702796936,0.05783074470894838,0.03267963696271181,0.04913961887359619
4,0.7622396087198288,12.873718725433086,1,0.00010662572399796282,0.029207422854361075,-1.8447630457051944,0.6879916191101074,0.8783429265022278,0.9171473383903503,0.05825730612205941,0.03040241915732622,0.0430535227060318
5,0.7144664543238797,14.497233219450528,1,0.00010195206702848414,0.028430468848328408,-1.8892133788839718,0.7000524401664734,0.88725745677948,0.9166229963302612,0.05755167964528128,0.017226651776582003,0.029899626038968563
6,0.6771090044227897,18.360100700915606,1,0.00010012261842275777,0.027331830750439687,-1.9351833741457678,0.6937598586082458,0.8877818584442139,0.9140010476112366,0.05654406451200615,0.017317079938948154,0.03002771409228444
7,0.6380210146838878,22.00311339441331,1,0.0001000091127595244,0.026835044797103514,-1.9562453710171201,0.6869428157806396,0.8830624222755432,0.9119035005569458,0.05601035688414587,0.01742826821282506,0.030119461938738823
8,0.6147947711727123,27.14140629692475,1,0.00010000026432797473,0.026996397834128945,-1.9888445657673628,0.7016255855560303,0.8940744400024414,0.9229155778884888,0.056499101074384446,0.017579236067831516,0.035842313431203365
9,0.6103177276190352,27.991188890005173,1,0.00010000012811920961,0.026672100086630565,-1.9914338613701414,0.6869428157806396,0.8825380206108093,0.908757209777832,0.05514639151835872,0.018299637362360954,0.031176798045635223
10,0.6005626129904107,29.895691870514785,1,0.00010000003258337944,0.026734947820717607,-2.0001504091693354,0.6837965250015259,0.8830624222755432,0.9045621156692505,0.054962179475788436,0.017402389086782932,0.02949266228824854
11,0.5979643379297357,37.59307721404908,1,0.00010000000013120641,0.027647877090954967,-2.0326075751466477,0.6801258325576782,0.8846355676651001,0.9119035005569458,0.05542077234887821,0.017001984640955925,0.028983118943870068
12,0.5918412615866566,46.120796331881024,1,0.00010000000000029462,0.02824320455605218,-2.067745624208742,0.682223379611969,0.8814892768859863,0.9155741930007935,0.055132649396741874,0.01735183922573924,0.029243414290249348
