iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.3810190881431614,3.408033153124796,0.6738989659299025,0.6500769758540166,0.04992669253519955,-1.0972764797284007,0.8568432331085205,0.9538542032241821,0.9674882292747498,0.07914129972724446,0.407081495039165,0.7332928692921996
1,1.3695511556353206,3.5704046402959984,0.4812168147691447,0.2852880237650548,0.05125962472646314,-1.2207356041510415,0.6035658121109009,0.9428421854972839,0.9585736989974976,0.07542575426371628,0.07319184485822916,0.33138715382665396
2,1.3118462122573145,3.6648132655373966,0.5257167817688945,0.2401754178604399,0.04685743757365308,-1.2611061733346127,0.6659674644470215,0.9391714930534363,0.9538542032241821,0.07377558429182413,0.07234126329421997,0.32750624138861895
3,1.277705647528119,4.1597407252184135,0.6372284187100374,0.07774907055219925,0.03880442441365148,-1.4257698084524972,0.7252228856086731,0.9223911762237549,0.943366527557373,0.06991619379679255,0.08348242472857237,0.40322239231318235
4,1.164340528332052,5.1701799709956155,0.8661604974885396,0.010495024040064456,0.03531975532392283,-1.54371715221952,0.6979548931121826,0.9061353206634521,0.9271106719970703,0.06754991927299211,1.3111583944410086,1.8788343220949173
5,1.0580505322188638,5.562216462446789,1.4188808057689632,0.00594604831495439,0.03464359497467764,-1.6069610810732324,0.7288935780525208,0.9250131249427795,0.9444153308868408,0.06662701931960457,0.7533072829246521,1.41879244428128
6,0.99444319917165,5.562216462446789,1.4188808057689632,0.00594604831495439,0.03464359497467764,-1.6069610810732324,0.7288935780525208,0.9250131249427795,0.9444153308868408,0.06662701931960457,1.9230057001113892,2.5871089547872543
7,1.0319522862457662,6.468769795681238,1.7526931708650675,0.0019422980028201836,0.033745461317014266,-1.6138094472486288,0.6963817477226257,0.9103303551673889,0.9402202367782593,0.0647930262864822,0.622424291446805,1.4806952010840178
8,1.01002964857864,8.587600696056546,2.5876714986651717,0.00031309536558598515,0.03226367055505801,2321.2088141014074,0.659674882888794,0.9003670811653137,0.9260618686676025,0.061400733998249836,1.5456240260973573,2.6723559126257896
9,1.0051153221462505,9.945294316755609,2.9302850909981473,0.00017893621501965972,0.03158215585465107,-1.7971915157800928,0.738856852054596,0.9286838173866272,0.943366527557373,0.06173035546961085,2.2931710556149483,3.267693929374218
