iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.439060525807563,3.197791757139949,1,0.38924687267311925,6.731632440725653,3.5947445438042904,0.6003401279449463,0.9268707633018494,0.9727891087532043,8.688153127434964,0.4582700878381729,0.4958062246441841
1,1.3874877779263508,3.5097335571697927,1,0.10547315494777358,6.595566337800707,3.5819914431513826,0.5051020383834839,0.8605442047119141,0.9217687249183655,8.483580859091337,0.020252141170203686,0.03256451152265072
2,1.337775236102034,3.6640892930545386,1,0.07342671571085692,6.367881287914979,3.556869922222032,0.5051020383834839,0.8622449040412903,0.9166666865348816,8.26664367766039,0.019716794602572918,0.032208213582634926
3,1.3029944381368461,3.908807098564735,1,0.05982325988943735,6.04991565036277,3.516275960382196,0.5187074542045593,0.8588435649871826,0.9200680255889893,7.906453811660141,0.01983577385544777,0.03189786709845066
4,1.2668164187402637,4.598180543725853,1,0.045350166056602685,6.025077986818949,3.5794696365486067,0.5,0.831632673740387,0.8894557952880859,7.930053874925971,0.020025992766022682,0.032288854010403156
5,1.2621929187458565,4.77934898414274,1,0.1007483427888077,5.913436561896527,3.4932350258048017,0.5306122303009033,0.8724489808082581,0.9234693646430969,7.788725700382536,0.01706581935286522,0.02710191998630762
6,1.2368442171423757,5.093051168201265,1,0.16955976529126665,5.835562228847391,3.4557434251657297,0.5646258592605591,0.8979591727256775,0.9455782175064087,7.6727821319206315,0.024185544811189175,0.034344724379479885
7,1.2295334387567582,7.314199163084292,1,0.3818857900594811,5.5731087490249385,3.3955295212378473,0.5765306353569031,0.9370748400688171,0.9676870703697205,7.215358402154005,0.024241585284471512,0.03432933520525694
8,1.1984049965677497,9.019859908151062,1,0.2730385275952111,5.513923246102499,3.3740039229948957,0.5255101919174194,0.8775510191917419,0.9353741407394409,7.0946073950685795,0.016411074437201023,0.02642755676060915
9,1.1476068651732783,12.862390494686226,1,0.33012480690672086,5.416168660323842,3.3526316318345186,0.49829933047294617,0.8809523582458496,0.9319728016853333,6.9268175867255914,0.0166323222219944,0.026578743942081928
10,1.110010501023524,18.469376195600518,1,0.36827768546548045,5.306962838655123,3.3393189599355946,0.5017006993293762,0.8877550959587097,0.9319728016853333,6.797266413075131,0.016637482680380344,0.026561235077679157
11,1.0757848596461024,22.482071519982476,1,0.3257587215538172,5.26482572731374,3.348508598249746,0.4591836631298065,0.8554421663284302,0.9166666865348816,6.730059811597796,0.016720960848033428,0.026081979274749756
12,1.0632580065425594,26.60930837484232,1,0.3663861700584614,5.256226287474125,3.3323636211361287,0.4863945543766022,0.8792517185211182,0.9285714030265808,6.690848661737241,0.015808618627488613,0.02516800630837679
13,1.0569755033690553,29.583317307807302,1,0.36668696354536434,5.2509906607784975,3.331536385569536,0.48469388484954834,0.8741496801376343,0.9285714030265808,6.676035364368499,0.016085048206150532,0.02548911329358816
14,1.0546208135653097,32.782116843973604,1,0.3661572912504726,5.247456004160004,3.331509160893618,0.47448980808258057,0.8724489808082581,0.9285714030265808,6.667610637418611,0.01627323590219021,0.025649522431194782
15,1.0532117990913266,34.96604153781976,1,0.3678433758955434,5.244609162300546,3.331065992106061,0.47278910875320435,0.8707482814788818,0.9319728016853333,6.664297103112205,0.016191336326301098,0.025516493245959282
16,1.0526451991137256,36.97376652631456,1,0.36915284233981777,5.240885344447331,3.330492623831051,0.47448980808258057,0.8690476417541504,0.9319728016853333,6.660759731307794,0.016443044878542423,0.02580856252461672
17,1.0519094070567256,41.871206897896606,1,0.36980918054291656,5.228845491437354,3.328480126068719,0.48469388484954834,0.8707482814788818,0.9319728016853333,6.647112941760161,0.01636203471571207,0.02576736081391573
18,1.048960756668975,59.99146949730645,1,0.3605038050487052,5.1779455813102135,3.3117363506234625,0.47789114713668823,0.8826530575752258,0.9370748400688171,6.561101107954265,0.016494023613631725,0.02587755024433136
19,1.0335497017714839,62.3798699727615,1,0.3592422878968714,5.173280357431539,3.3080806737659767,0.4710884392261505,0.8826530575752258,0.9353741407394409,6.544433890267973,0.016586443409323692,0.0259696701541543
20,1.031633666496542,61.04577621374834,1,0.3603021322712648,5.171051157605885,3.3102413392563674,0.47959184646606445,0.8826530575752258,0.9336734414100647,6.548419512272385,0.024283395148813725,0.03361480124294758
21,1.031047856974269,61.61026408632496,1,0.35760313363575996,5.170802711192764,3.310470649729948,0.4761904776096344,0.8826530575752258,0.9353741407394409,6.5465263958039515,0.016761560924351215,0.02615191787481308
22,1.03096241380866,62.3826289867993,1,0.35688241388369846,5.169949848933478,3.3102027330245902,0.4710884392261505,0.884353756904602,0.9353741407394409,6.544616104896787,0.01723502855747938,0.026525385677814484
23,1.030934811560794,62.82041158254054,1,0.35705407607931494,5.169450788519193,3.310091274390027,0.47278910875320435,0.8860543966293335,0.9353741407394409,6.544092100144214,0.01686966046690941,0.02699374035000801
24,1.0309169987695228,65.79006673047411,1,0.35842038815125854,5.166787299728607,3.3096185429376734,0.47448980808258057,0.884353756904602,0.9353741407394409,6.542121369217014,0.017360106110572815,0.026849592104554176
25,1.030778846959779,69.4902114866209,1,0.3596064483521641,5.164513108866432,3.3093306144659844,0.47448980808258057,0.8860543966293335,0.9353741407394409,6.541007866795139,0.017294587567448616,0.02691379189491272
