iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.3657642399167784,2.493182546382763,1,0.32458354425513447,0.5677488727436499,1.1102246908663957,0.6015037298202515,0.9266917109489441,0.9530075192451477,0.7263454283165574,0.6206523277796805,0.7122045406140387
1,1.2836421887532776,2.6801704842837735,1,0.23400959544635924,0.5715561819244587,1.1171276101635819,0.5131579041481018,0.896616518497467,0.932330846786499,0.7302316803039383,0.3548598177731037,0.422785640694201
2,1.2696328814538056,2.7693873617584868,1,0.23838078190886142,0.5696416238871964,1.1169358748859541,0.5225563645362854,0.8890977501869202,0.9304511547088623,0.7272861150315936,0.23682823916897178,0.3057586941868067
3,1.2667431565751435,4.181197347994133,1,0.5018898676132619,0.5390179052785483,1.0671746293271673,0.5639097690582275,0.9229323267936707,0.9567669034004211,0.6949566359486506,0.4755349732004106,0.5432460061274469
4,1.241142501989489,5.552105797983848,1,0.6078450885156504,0.5324998871357984,1.0545839782670532,0.5733082890510559,0.9285714030265808,0.9624060392379761,0.6857585217332492,0.23696065926924348,0.30472297221422195
5,1.225704728488937,7.134169863956758,1,0.43403644114998696,0.5310028762297784,1.045807711761797,0.4774436056613922,0.8872180581092834,0.9248120188713074,0.6806792390592862,0.23728992091491818,0.30478297313675284
6,1.210754213192541,8.297493197781174,1,0.5576756215016895,0.5311143235432736,1.0321674723514678,0.5432330965995789,0.9135338068008423,0.951127827167511,0.6778896940670531,0.23748186975717545,0.30496969260275364
7,1.1989551226670887,9.136287539344524,1,0.5688967769561104,0.5305773220899141,1.030086950657819,0.5545112490653992,0.9116541147232056,0.951127827167511,0.6766971429894004,0.238715133164078,0.3059799447655678
8,1.1968520124163469,10.17698054674111,1,0.5645991087483575,0.5296459194881393,1.0277562954323787,0.5469924807548523,0.9116541147232056,0.9454887509346008,0.6753928291572039,0.23945646500214934,0.30729109793901443
9,1.1932474722062627,10.93752109566536,1,0.5630187194111751,0.5290238699997312,1.026746521097737,0.5357142686843872,0.9078947305679321,0.9454887509346008,0.6747756075268289,0.2377473209053278,0.30520023312419653
10,1.1914616213208542,11.603012064182353,1,0.5630601555459572,0.5290816660286036,1.027224305357575,0.5432330965995789,0.9078947305679321,0.9454887509346008,0.6749062115391392,0.23791368212550879,0.30533419409766793
11,1.1899105269616093,11.932733046080754,1,0.5617222784682825,0.5300080590039884,1.029982716560304,0.5413534045219421,0.9060150384902954,0.9436089992523193,0.6764786712413594,0.3574037738144398,0.4249460259452462
12,1.1890988635374597,12.071713794559527,1,0.5683137150969791,0.5297876379655695,1.0296973922228432,0.5451127886772156,0.9078947305679321,0.9454887509346008,0.6762073389700177,0.2397098559886217,0.3076936290599406
13,1.1890097822437171,12.164522003652424,1,0.5720188132229608,0.5293813233323624,1.029050079995614,0.548872172832489,0.9078947305679321,0.9454887509346008,0.675699105232468,0.2394787441007793,0.3076885682530701
14,1.1889724148841665,12.215377274654179,1,0.5717003951301886,0.5291506025971516,1.0286858826669145,0.548872172832489,0.9097744226455688,0.9454887509346008,0.6754118778382313,0.23850929317995906,0.3063081563450396
15,1.1889530605010006,12.210720913199253,1,0.5701070022051755,0.5289415642235354,1.028260845330583,0.548872172832489,0.9078947305679321,0.9454887509346008,0.6751214477698254,0.23986874613910913,0.30771963903680444
16,1.1889349406104566,12.172590717170023,1,0.5675556172920607,0.5288827582538098,1.0280611665305868,0.548872172832489,0.9078947305679321,0.9454887509346008,0.6749897931290156,0.24001691583544016,0.31239678896963596
17,1.1889217051631003,12.124906593045905,1,0.5664353016065025,0.5288971051212094,1.0279913853453175,0.548872172832489,0.9078947305679321,0.9454887509346008,0.6749426340339959,0.23938105395063758,0.3069063969887793
18,1.1889118037423518,12.014402943501961,1,0.565349273455296,0.5290530834289748,1.0280668722583164,0.5469924807548523,0.9097744226455688,0.9454887509346008,0.6749803780487252,0.23976016510277987,0.30753439804539084
19,1.1888910320822232,11.96567718097746,1,0.566282754322789,0.5292789642799759,1.028325550747073,0.548872172832489,0.9097744226455688,0.9454887509346008,0.6751407144400046,0.23852489329874516,0.30648953607305884
