iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,2.1880953311920166,2.451505422592163,1,0.9653719663619995,7.203677177429199,3.738827705383301,0.6700680255889893,0.9727891087532043,0.9965986609458923,9.209054946899414,0.9076064890250564,0.9479886190965772
1,2.028898596763611,2.5313968658447266,1,1.2416129112243652,6.947424411773682,3.7525577545166016,0.7159863710403442,0.9897959232330322,0.9982993006706238,8.831568717956543,0.4083526520989835,0.42709887493401766
2,1.820381188392639,3.1648612022399902,1,1.47409987449646,6.3091044425964355,3.7481682300567627,0.7840136289596558,0.9948979616165161,1.0,8.103499412536621,0.40779216727241874,0.42692662589251995
3,1.7287983894348145,4.012033939361572,1,1.6308737993240356,5.865109920501709,3.739109516143799,0.8129251599311829,0.9948979616165161,1.0,7.543127536773682,0.4051190600730479,0.42399617098271847
4,1.6797572135925294,4.975593090057373,1,1.7096542119979858,5.6596598625183105,3.7229323387145996,0.8452380895614624,0.9982993006706238,1.0,7.190635681152344,0.4056211458519101,0.42463851580396295
5,1.6401060581207276,6.094378471374512,1,1.7201775312423706,5.573006629943848,3.70235276222229,0.8452380895614624,0.9982993006706238,0.9982993006706238,7.085803508758545,0.4079996161162853,0.4269633060321212
6,1.6054843425750733,7.369626522064209,1,1.672451138496399,5.563658237457275,3.6742117404937744,0.8384353518486023,0.9982993006706238,0.9982993006706238,7.0672607421875,0.40506651997566223,0.4242377090267837
7,1.5524214506149292,8.720457077026367,1,1.5792386531829834,5.722830772399902,3.6524658203125,0.7908163070678711,0.9982993006706238,0.9982993006706238,7.252041816711426,0.4079002463258803,0.4270303649827838
8,1.5521506309509276,10.070679664611816,1,1.4522958993911743,5.820540428161621,3.6307036876678467,0.7704081535339355,0.988095223903656,0.9948979616165161,7.542829990386963,0.403447262942791,0.42200467688962817
9,1.4971451997756957,11.387314796447754,1,1.3102548122406006,5.851214408874512,3.600663185119629,0.7295918464660645,0.988095223903656,0.9965986609458923,7.490001678466797,0.40651222690939903,0.42740951105952263
10,1.5186861991882323,12.781007766723633,1,1.1638269424438477,5.936282634735107,3.5701797008514404,0.6989796161651611,0.9727891087532043,0.9863945841789246,7.640495300292969,0.42554027820006013,0.4466453702189028
11,1.4912479877471925,14.147356033325195,1,1.0349173545837402,5.988224983215332,3.5346221923828125,0.6547619104385376,0.9727891087532043,0.9914966225624084,7.6125617027282715,0.4123941087163985,0.4308945429511368
12,1.4299557209014893,15.401540756225586,1,0.9210389852523804,5.983804225921631,3.5293068885803223,0.6445578336715698,0.954081654548645,0.9727891087532043,7.791352272033691,0.4071719432249665,0.4264630498364568
13,1.4672358274459838,16.57066535949707,1,0.8316937685012817,5.849912643432617,3.4864842891693115,0.6173469424247742,0.9489796161651611,0.9846938848495483,7.539821624755859,0.4165722029283643,0.4368426320143044
14,1.4642632246017455,17.639005661010742,1,0.7759186625480652,5.882468223571777,3.4690098762512207,0.5850340127944946,0.9438775777816772,0.976190447807312,7.482494354248047,0.4180289409123361,0.4379730629734695
15,1.4626942873001099,18.72207260131836,1,0.7587506771087646,5.799232482910156,3.4670493602752686,0.5986394286155701,0.9404761791229248,0.9710884094238281,7.484645843505859,0.4165171440690756,0.5027394481003284
16,1.394292664527893,19.66217613220215,1,0.7669754028320312,5.86836051940918,3.474916934967041,0.6190476417541504,0.9268707633018494,0.9676870703697205,7.597788333892822,0.41879602521657944,0.43785649444907904
17,1.386416482925415,20.53257942199707,1,0.769220232963562,5.911706447601318,3.4730026721954346,0.5952380895614624,0.9319728016853333,0.9676870703697205,7.573413372039795,0.4051444288343191,0.4243952571414411
18,1.3745007753372191,21.39887046813965,1,0.7703549265861511,5.695596694946289,3.458559274673462,0.6224489808082581,0.9387755393981934,0.9676870703697205,7.435100555419922,0.40690530370920897,0.4255714467726648
