iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.152427821751409,1.6746246814727783,1,0.5354476571083069,0.35920774936676025,0.6402801871299744,0.5105888843536377,0.8902711272239685,0.9455034732818604,0.45876389741897583,27.548929535783827,27.653081983793527
1,1.1124051393278493,1.8991398811340332,1,0.5077938437461853,0.3571067452430725,0.6319684982299805,0.504104495048523,0.8808664083480835,0.9349260926246643,0.4548138380050659,26.591174844186753,26.66238756198436
2,1.1088680532954682,2.0261049270629883,1,0.5132305026054382,0.3542105555534363,0.6209337115287781,0.5101289749145508,0.8815332651138306,0.94725102186203,0.4498785138130188,26.823938353918493,26.894806634169072
3,1.1141887467179523,2.469209671020508,1,0.544381856918335,0.3625715374946594,0.6423332095146179,0.5137391090393066,0.8856722116470337,0.9526087045669556,0.4590853154659271,26.538550063967705,26.60962205287069
4,1.113000401314473,2.5081827640533447,1,0.5580804944038391,0.36390817165374756,0.6496178507804871,0.5226839184761047,0.8939961791038513,0.9520798325538635,0.46294039487838745,26.778780648950487,26.849992776755244
5,1.1316367399772542,4.281257152557373,1,0.5510285496711731,0.37791866064071655,0.6754864454269409,0.49072179198265076,0.8828669190406799,0.946998119354248,0.47515010833740234,26.549191650003195,26.619556462857872
6,1.1289242057992308,2.216280937194824,1,0.5412592887878418,0.35152778029441833,0.6378481388092041,0.5418151617050171,0.8839936256408691,0.9364666938781738,0.4571412205696106,26.796998586971313,26.867326460778713
7,1.1119675452277165,2.606780529022217,1,0.5438068509101868,0.3586077094078064,0.6279582977294922,0.5120605230331421,0.8991469144821167,0.9568856358528137,0.4528355300426483,26.493549447041005,26.564117189031094
8,1.1144049063624952,2.489999532699585,1,0.5275042057037354,0.349397748708725,0.6433834433555603,0.5552438497543335,0.8676217198371887,0.9297523498535156,0.45964333415031433,26.753439761232585,26.824152701999992
9,1.118359805753567,2.615665912628174,1,0.5619398355484009,0.35985028743743896,0.649482011795044,0.5386879444122314,0.875508725643158,0.9425832033157349,0.4631451964378357,26.5119493259117,26.583035424817353
10,1.1092587461407553,2.581355333328247,1,0.5743736028671265,0.35397523641586304,0.6406359672546387,0.5640506744384766,0.8934213519096375,0.9494125247001648,0.4579631984233856,26.824145352002233,26.894905743189156
11,1.1279011824787064,3.9309284687042236,1,0.600843608379364,0.37984558939933777,0.6786807775497437,0.5000804662704468,0.8979282379150391,0.9627721905708313,0.47680994868278503,26.55735648004338,26.62810619128868
12,1.1344509364774562,1.9405158758163452,1,0.541965901851654,0.36959347128868103,0.6529504060745239,0.515670657157898,0.8833498358726501,0.9472280144691467,0.4645836055278778,26.764226024970412,26.834732768125832
13,1.117503477422983,1.844183325767517,1,0.5355992317199707,0.3577910363674164,0.6340795755386353,0.512520432472229,0.8904090523719788,0.9486076831817627,0.4556787610054016,26.723317763302475,26.793996075168252
14,1.1089959372610054,2.2084012031555176,1,0.5069347023963928,0.3507087528705597,0.6253376603126526,0.5262709856033325,0.872496485710144,0.9389271140098572,0.4514642655849457,26.53734646225348,26.635787345003337
15,1.1104181040853462,2.335325002670288,1,0.5386195778846741,0.3605491518974304,0.6417686343193054,0.530318021774292,0.8839476704597473,0.9439398646354675,0.45945730805397034,26.775715535972267,26.846582795958966
16,1.121351649697195,2.226693630218506,1,0.5233147144317627,0.3537554144859314,0.6289090514183044,0.5175791382789612,0.885695219039917,0.9451585412025452,0.45315977931022644,26.544575388077646,26.615242819767445
17,1.1154766942830694,2.3527297973632812,1,0.5096502900123596,0.35688331723213196,0.6333319544792175,0.5050932168960571,0.8765894770622253,0.9375014305114746,0.45533889532089233,26.7643097252585,26.834810027386993
18,1.11232935462222,2.340855836868286,1,0.522722601890564,0.3490807116031647,0.6437357664108276,0.5509899258613586,0.8726114630699158,0.9261192679405212,0.46006253361701965,26.50970994029194,26.579957913141698
19,1.1091843099402101,2.2684295177459717,1,0.5928017497062683,0.37588998675346375,0.6599976420402527,0.4986778199672699,0.8996297717094421,0.9635080099105835,0.46615445613861084,26.768904717173427,26.839447719976306
20,1.1165039063300062,2.3488688468933105,1,0.48451554775238037,0.35698750615119934,0.6378257870674133,0.5057370662689209,0.8642645478248596,0.9251304864883423,0.45691245794296265,26.537075543310493,27.112677862867713
21,1.1135039001503246,2.012651205062866,1,0.5311672687530518,0.35430672764778137,0.6360030174255371,0.5384120345115662,0.877026379108429,0.9379613399505615,0.4567393958568573,26.75395160820335,26.824293081182986
22,1.1461055810819536,2.635267496109009,1,0.5977853536605835,0.38199129700660706,0.6782490015029907,0.5035296082496643,0.912506639957428,0.9641748666763306,0.4765079915523529,26.549763965886086,26.861508545000106
23,1.1398892126627416,1.8508018255233765,1,0.5756140351295471,0.3714815378189087,0.6616929173469543,0.5042194724082947,0.8939502239227295,0.955138087272644,0.4670730531215668,26.779295553918928,26.879310067743063
24,1.118324420196098,1.9676716327667236,1,0.5608852505683899,0.3602391183376312,0.6482968330383301,0.5372852683067322,0.8804525136947632,0.9438478946685791,0.46225395798683167,26.51549955504015,26.586071467027068
25,1.1168682775241416,1.9235177040100098,1,0.5235624313354492,0.35932815074920654,0.6336957216262817,0.5158776044845581,0.8779691457748413,0.9442617893218994,0.45551255345344543,26.772568146698177,26.84303932869807
26,1.1142404783492121,2.7832720279693604,1,0.5215233564376831,0.36650121212005615,0.6476520895957947,0.5025408864021301,0.8797397017478943,0.9418473839759827,0.4618995487689972,26.792681843042374,26.86291845701635
27,1.1139184988585094,2.9173169136047363,1,0.5351099967956543,0.3641558885574341,0.6404501795768738,0.5065648555755615,0.8899492025375366,0.9548391699790955,0.4586157500743866,26.527792199980468,26.598224982619286
28,1.1155306480874951,2.838710308074951,1,0.5497705936431885,0.36404848098754883,0.644261360168457,0.5113477110862732,0.8955367803573608,0.9498264193534851,0.4605258107185364,26.775742845144123,26.846324936952442
29,1.121099894478817,2.768390655517578,1,0.5455585718154907,0.3575255274772644,0.6333923935890198,0.5264779329299927,0.8936742544174194,0.9544482231140137,0.4549828767776489,26.528568875044584,26.599451914895326
30,1.1267216621629343,3.1745502948760986,1,0.6602293252944946,0.36880096793174744,0.6705069541931152,0.5449423789978027,0.9251765012741089,0.9747292399406433,0.4656326472759247,26.75937461387366,26.829811966978014
