iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.2826709747314453,2.17014479637146,0.6443967223167419,0.644496738910675,3.876254081726074,3.006244421005249,0.5476607084274292,0.9512462019920349,0.9781373143196106,4.846621513366699,0.3344435077160597,0.3888579146005213
1,1.265916347503662,2.2744429111480713,0.5996378660202026,0.5985799431800842,3.8666374683380127,2.9930343627929688,0.5297333002090454,0.940533459186554,0.9728902578353882,4.818484783172607,0.0064810109324753284,0.022246158216148615
2,1.2531437873840332,2.3829798698425293,0.5617349743843079,0.5559303164482117,3.860295295715332,2.983696937561035,0.5087450742721558,0.9328814744949341,0.9676432013511658,4.7999725341796875,0.005785556044429541,0.02052996912971139
3,1.2443636655807495,2.4889585971832275,0.5360561013221741,0.5172169208526611,3.854267120361328,2.9781672954559326,0.4943156838417053,0.9208570122718811,0.9610843658447266,4.789091110229492,0.005694865714758635,0.02045112894847989
4,1.239127278327942,2.585207223892212,0.5270360708236694,0.48335328698158264,3.8459174633026123,2.975849151611328,0.47901180386543274,0.9101442694664001,0.9578049778938293,4.783591270446777,0.005658836103975773,0.020318130031228065
5,1.2363120317459106,2.6672558784484863,0.5328832864761353,0.4552977383136749,3.8362197875976562,2.9758925437927246,0.4717971086502075,0.9003061056137085,0.9516834020614624,4.782408714294434,0.005700625944882631,0.020704617258161306
6,1.234576940536499,2.7337396144866943,0.5492727756500244,0.43367329239845276,3.8265180587768555,2.9773669242858887,0.4652383029460907,0.8930913805961609,0.9475294947624207,4.785064697265625,0.005724146030843258,0.02034843899309635
7,1.2329086065292358,2.7850637435913086,0.5730641484260559,0.41843125224113464,3.819382429122925,2.9793307781219482,0.4645824134349823,0.8904678821563721,0.943594217300415,4.790825366973877,0.005684865638613701,0.02034843899309635
8,1.230799674987793,2.8224754333496094,0.6023275852203369,0.4088328778743744,3.814945936203003,2.9810523986816406,0.4658941924571991,0.8893747329711914,0.9400961995124817,4.798681735992432,0.005903544835746288,0.020812585949897766
9,1.2282612323760986,2.848161458969116,0.6356577277183533,0.4037245512008667,3.811765193939209,2.982137441635132,0.474857896566391,0.8906865119934082,0.9398775696754456,4.807316303253174,0.005655576009303331,0.020556988194584846
10,1.2256557941436768,2.8653924465179443,0.6716573238372803,0.40183505415916443,3.8086040019989014,2.982431411743164,0.47966769337654114,0.8919982314109802,0.9400961995124817,4.8148722648620605,0.005677216686308384,0.020675317849963903
11,1.2233940362930298,2.8777925968170166,0.708609938621521,0.4019533097743988,3.803781509399414,2.9819529056549072,0.48797550797462463,0.8959335088729858,0.9418452382087708,4.819502830505371,0.00567452609539032,0.024172035977244377
