iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,2.1544017791748047,2.0719852447509766,1,0.7444967031478882,5.059292793273926,3.395615339279175,0.748360276222229,0.9989068508148193,1.0,5.834874153137207,1.5577801503241062,1.635727096349001
1,2.8625307083129883,2.185176372528076,1,0.7974215149879456,4.7859907150268555,3.26786470413208,0.6821163296699524,0.9982509613037109,1.0,5.502818584442139,0.13686758931726217,0.1680730078369379
2,2.1670260429382324,2.3134682178497314,1,0.8508329391479492,4.454360485076904,3.214445114135742,0.6790555119514465,0.9973765015602112,1.0,5.203718662261963,0.08790542278438807,0.1189951216802001
3,1.8889402151107788,2.4522225856781006,1,0.9027405381202698,4.144232749938965,3.183168888092041,0.6836466789245605,0.9958460927009583,0.9993441104888916,5.020829200744629,0.08806620072573423,0.11867259722203016
4,1.794532299041748,2.5969862937927246,1,0.9525826573371887,3.9407131671905518,3.1609694957733154,0.7035417556762695,0.9949715733528137,0.9986882209777832,4.902271270751953,0.08786394353955984,0.11852862872183323
5,1.744365930557251,2.745467185974121,1,0.9999788999557495,3.8657870292663574,3.146512508392334,0.6996064782142639,0.9932225346565247,0.9982509613037109,4.828587055206299,0.08799600135535002,0.1186408968642354
6,1.654405117034912,2.894850730895996,1,1.0438507795333862,3.8624179363250732,3.1362977027893066,0.6965457201004028,0.9921294450759888,0.9982509613037109,4.793511390686035,0.0879359021782875,0.11855188757181168
7,1.6075918674468994,3.0437047481536865,1,1.0836724042892456,3.8430941104888916,3.131049871444702,0.6915172934532166,0.9921294450759888,0.9980323314666748,4.7699384689331055,0.08767803478986025,0.11825383268296719
8,1.5938259363174438,3.191093921661377,1,1.1194008588790894,3.780412197113037,3.1238515377044678,0.7048535346984863,0.9910362958908081,0.9982509613037109,4.732329845428467,0.08774886466562748,0.11840351950377226
9,1.5494343042373657,3.33590030670166,1,1.1505759954452515,3.7214508056640625,3.1170575618743896,0.7149103879928589,0.9901617765426636,0.997157871723175,4.694538593292236,0.08763833530247211,0.1182106826454401
10,1.5738372802734375,3.4786109924316406,1,1.1778020858764648,3.743746042251587,3.1133289337158203,0.6974201798439026,0.9905990362167358,0.9973765015602112,4.675748825073242,0.08767767623066902,0.11825451254844666
11,1.5137124061584473,3.6169519424438477,1,1.2004649639129639,3.7218995094299316,3.110785484313965,0.695233941078186,0.990817666053772,0.9975951313972473,4.665468692779541,0.08749208878725767,0.11809414438903332
12,1.5097333192825317,3.751315116882324,1,1.218853235244751,3.716573476791382,3.107736349105835,0.6996064782142639,0.9901617765426636,0.997157871723175,4.6571807861328125,0.08799588121473789,0.11855517793446779
13,1.4804706573486328,3.881904363632202,1,1.2329124212265015,3.684674024581909,3.1068851947784424,0.7085701823234558,0.9864451289176941,0.9960647225379944,4.674638748168945,0.08745671715587378,0.11801187414675951
14,1.495298981666565,4.00925350189209,1,1.2432588338851929,3.7363929748535156,3.1072676181793213,0.6978574395179749,0.9871010184288025,0.9962833523750305,4.699568748474121,0.08764656540006399,0.12263932265341282
15,1.463767170906067,4.130512237548828,1,1.2498277425765991,3.788508176803589,3.1076269149780273,0.6915172934532166,0.9873196482658386,0.9962833523750305,4.720292091369629,0.08825832698494196,0.11880362499505281
16,1.465254783630371,4.24512243270874,1,1.2530516386032104,3.7992281913757324,3.1050922870635986,0.688893735408783,0.9901617765426636,0.9975951313972473,4.712754726409912,0.08765558619052172,0.11819921340793371
17,1.4406256675720215,4.3529887199401855,1,1.2529785633087158,3.8342645168304443,3.1044764518737793,0.6757761240005493,0.9919108152389526,0.9978137016296387,4.726706504821777,0.08771823346614838,0.118294021114707
18,1.4414925575256348,4.453990459442139,1,1.2500274181365967,3.8088889122009277,3.1021039485931396,0.6716222167015076,0.9912549257278442,0.9975951313972473,4.728150844573975,0.08764715492725372,0.11820216197520494
19,1.4275764226913452,4.550276756286621,1,1.244384765625,3.749781847000122,3.093618869781494,0.6755574941635132,0.9897245168685913,0.9965019822120667,4.673264026641846,0.08772759418934584,0.11830315180122852
20,1.4070159196853638,4.64192008972168,1,1.2361394166946411,3.75175404548645,3.089874505996704,0.6746829748153687,0.9877569079399109,0.9960647225379944,4.669203758239746,0.08773131389170885,0.11836904939264059
21,1.4101148843765259,4.728614807128906,1,1.2257130146026611,3.76725697517395,3.0863120555877686,0.6777437925338745,0.9864451289176941,0.9962833523750305,4.670655727386475,0.08742917887866497,0.11805993504822254
22,1.3654866218566895,4.809674263000488,1,1.2128268480300903,3.791527509689331,3.084991931915283,0.672278106212616,0.9855706095695496,0.9965019822120667,4.698006629943848,0.08767939452081919,0.11828726064413786
23,1.3538861274719238,4.885178565979004,1,1.197705626487732,3.7714152336120605,3.0829288959503174,0.681460440158844,0.9829471111297607,0.9951902031898499,4.721907615661621,0.08789740223437548,0.11852232832461596
24,1.3563783168792725,4.955565452575684,1,1.1807591915130615,3.748140811920166,3.0791053771972656,0.6825535893440247,0.9803235530853271,0.9943156838417053,4.7327165603637695,0.08765499573200941,0.11824452225118876
25,1.3626435995101929,5.021977424621582,1,1.1624176502227783,3.7795472145080566,3.0718283653259277,0.6683428287506104,0.9825098514556885,0.9951902031898499,4.709902763366699,0.08770343475043774,0.11840016022324562
26,1.341498851776123,5.084559440612793,1,1.1426862478256226,3.8360917568206787,3.0689995288848877,0.6447311043739319,0.9842588305473328,0.9947529435157776,4.726592540740967,0.08829873707145452,0.11925818957388401
27,1.3261735439300537,5.143507957458496,1,1.1216620206832886,3.8283679485321045,3.0654375553131104,0.6368604898452759,0.980104923248291,0.9949715733528137,4.738676071166992,0.08832440711557865,0.11897010263055563
28,1.303667426109314,5.198331832885742,1,1.0993391275405884,3.770632028579712,3.0620369911193848,0.647791862487793,0.9746392369270325,0.9930039644241333,4.753667831420898,0.08772605378180742,0.11834908090531826
29,1.3050123453140259,5.249345779418945,1,1.0760630369186401,3.7330427169799805,3.053483009338379,0.6412330269813538,0.9728902578353882,0.9916921854019165,4.724210262298584,0.08736065030097961,0.11797162611037493
30,1.3154547214508057,5.298564434051514,1,1.0522829294204712,3.748440980911255,3.0475032329559326,0.6276781558990479,0.9748578667640686,0.9903804063796997,4.719236373901367,0.08782828226685524,0.11844252981245518
31,1.2674933671951294,5.346194267272949,1,1.0275639295578003,3.814603328704834,3.048003911972046,0.6093134880065918,0.9759510159492493,0.9895058870315552,4.768807411193848,0.05054826661944389,0.08119254279881716
32,1.2932864427566528,5.390411853790283,1,1.0025972127914429,3.8176326751708984,3.041746139526367,0.6040664911270142,0.9737647771835327,0.9899431467056274,4.761068344116211,0.08783397264778614,0.11929991841316223
33,1.2608317136764526,5.430214881896973,1,0.9771555066108704,3.7735745906829834,3.034769058227539,0.6128115653991699,0.968080461025238,0.9888499975204468,4.749849319458008,0.08731655962765217,0.11796101555228233
34,1.2959378957748413,5.466378211975098,1,0.9520347714424133,3.729576349258423,3.0311927795410156,0.6224311590194702,0.9619588851928711,0.9857892394065857,4.76370096206665,0.08769501466304064,0.11831040121614933
35,1.2513526678085327,5.502259731292725,1,0.9267680644989014,3.7335360050201416,3.0253405570983887,0.6257105469703674,0.9591167569160461,0.984696090221405,4.761314392089844,0.08770675491541624,0.11833928152918816
36,1.2849178314208984,5.536718368530273,1,0.9021083116531372,3.878734588623047,3.0198187828063965,0.5802361369132996,0.9669873118400574,0.9886313676834106,4.761314868927002,0.08765731565654278,0.11823397222906351
37,1.2588560581207275,5.567597389221191,1,0.877830982208252,3.9740312099456787,3.023160219192505,0.5485352277755737,0.9643638134002686,0.9881941676139832,4.81873083114624,0.08765329513698816,0.11829629074782133
38,1.258143663406372,5.594760894775391,1,0.8541204929351807,3.9048476219177246,3.012667655944824,0.5500655770301819,0.961740255355835,0.987975537776947,4.773760795593262,0.08766601514071226,0.11832824070006609
39,1.2372199296951294,5.617306232452393,1,0.8308337330818176,3.8263955116271973,3.009897470474243,0.5714910626411438,0.9499344229698181,0.9814167022705078,4.778698444366455,0.08772652503103018,0.11842610035091639
40,1.2190203666687012,5.638465404510498,1,0.807887613773346,3.7868895530700684,3.007143497467041,0.5791429877281189,0.9425010681152344,0.9763882756233215,4.785522937774658,0.08783314283937216,0.11855137813836336
41,1.215463638305664,5.661807060241699,1,0.7854328155517578,3.769171714782715,2.9964489936828613,0.574770450592041,0.9422824382781982,0.9757323861122131,4.743356704711914,0.09087557159364223,0.12152001820504665
42,1.2038296461105347,5.6863250732421875,1,0.7634797692298889,3.7932300567626953,2.993176221847534,0.5570616722106934,0.9411893486976624,0.9737647771835327,4.743710041046143,0.08769406471401453,0.11821407172828913
43,1.227284550666809,5.70794677734375,1,0.7425740957260132,3.8003342151641846,2.9893102645874023,0.5415391325950623,0.9409707188606262,0.9735461473464966,4.738011360168457,0.0876619853079319,0.11821570247411728
44,1.2178412675857544,5.726015090942383,1,0.7226843237876892,3.7632291316986084,2.9795987606048584,0.542850911617279,0.9416266083717346,0.9722343683242798,4.698424816131592,0.08764936495572329,0.11826756130903959
45,1.2108927965164185,5.7408037185668945,1,0.7038143873214722,3.7506263256073,2.9763388633728027,0.5395714640617371,0.9363795518875122,0.9702666997909546,4.696278095245361,0.08775343373417854,0.11832690145820379
46,1.217124104499817,5.755870342254639,1,0.6861646771430969,3.812682867050171,2.97904896736145,0.5163969993591309,0.9335373640060425,0.9720157384872437,4.726628303527832,0.08764878567308187,0.1182207828387618
47,1.2145917415618896,5.768866539001465,1,0.6697661876678467,3.833481788635254,2.983642101287842,0.5157411694526672,0.9265413284301758,0.9674245715141296,4.765909671783447,0.08727231062948704,0.11783967725932598
