iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.1624356508255005,0.9845815896987915,0.7443951368331909,0.644496738910675,1.1736165285110474,4.314169332056176,0.167099729180336,0.43335095047950745,0.5122214555740356,1.45550537109375,4.950360318180174,5.332088639959693
1,4.878884315490723,0.9327805638313293,0.7842078804969788,0.6796500086784363,0.6335321664810181,1.5053145233876983,0.36227551102638245,0.7363241314888,0.8168502449989319,0.8258082866668701,2.6072162678465247,2.9568990389816463
2,2.011732339859009,0.8842774033546448,0.8237124681472778,0.7136120796203613,0.5972839593887329,1.2536939956094935,0.3628963530063629,0.7730000615119934,0.8566533923149109,0.7435243129730225,3.4039916559122503,3.7533834488131106
3,1.7436082363128662,0.8426321744918823,0.8610634803771973,0.7457901239395142,0.48675185441970825,0.9213685812059832,0.46089816093444824,0.8745659589767456,0.9293614625930786,0.6030949950218201,2.6100578024052083,2.9626880371943116
4,1.4031482934951782,0.8090601563453674,0.8903508186340332,0.7748971581459045,0.4467441737651825,0.8244594067596801,0.4901009500026703,0.908827543258667,0.956908643245697,0.5509191155433655,2.6013191207312047,2.949482469819486
5,1.302721619606018,0.7813197374343872,0.9142003655433655,0.8006839752197266,0.41848620772361755,0.772038501840115,0.5379061102867126,0.9311550259590149,0.9686817526817322,0.5178842544555664,2.968663142994046,3.316164875868708
6,1.2497882843017578,0.7582979798316956,0.9338686466217041,0.8231861591339111,0.39716172218322754,0.7428458455543198,0.5773873925209045,0.9396628737449646,0.9755340218544006,0.4965831935405731,3.034271327778697,3.3825302058830857
7,1.2203141450881958,0.7393264770507812,0.9500367641448975,0.8425500988960266,0.3830176591873169,0.7282588792098225,0.6037158966064453,0.9458943605422974,0.9802708625793457,0.4839225113391876,2.604878740850836,2.9519699858501554
8,1.2055662870407104,0.723868191242218,0.9631351828575134,0.8589791059494019,0.3724207878112793,0.7203393751509819,0.6159948706626892,0.9527696371078491,0.9840879440307617,0.47564834356307983,2.601842988282442,2.9501371872611344
9,1.1977025270462036,0.7114110589027405,0.9734940528869629,0.8726829290390015,0.36707592010498047,0.7160801486289009,0.6267561912536621,0.9576904773712158,0.9864563345909119,0.47011226415634155,3.330748675391078,3.6801273683086038
