iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,2.2115256786346436,2.3536741733551025,1,0.7444967031478882,0.6499283313751221,1.416129231452942,0.7849462628364563,0.9877111911773682,0.9984639286994934,0.8094590306282043,0.46449009235948324,0.5157331740483642
1,3.030310869216919,2.2307727336883545,1,0.7977147102355957,0.6187524199485779,1.3455545902252197,0.7235022783279419,0.9846389889717102,0.9984639286994934,0.7882878184318542,0.11980505287647247,0.1469105826690793
2,2.394533634185791,2.1168270111083984,1,0.852078914642334,0.6100959181785583,1.3272762298583984,0.6620583534240723,0.9877111911773682,0.9984639286994934,0.7823978066444397,0.08807142358273268,0.11038666777312756
3,2.2138373851776123,2.019970178604126,1,0.9069176912307739,0.6096534729003906,1.3363358974456787,0.6620583534240723,0.9892473220825195,0.9984639286994934,0.7825742363929749,0.0881859241053462,0.11062420718371868
4,2.246994972229004,1.9238827228546143,1,0.9620509743690491,0.614196240901947,1.3419758081436157,0.6820276379585266,0.9892473220825195,0.9984639286994934,0.7857537865638733,0.0511139826849103,0.07323363795876503
5,2.2280139923095703,1.8364557027816772,1,1.016710877418518,0.6208508014678955,1.3451042175292969,0.7572964429855347,0.9877111911773682,0.9984639286994934,0.7894858121871948,0.08894212916493416,0.11121072247624397
6,2.2436611652374268,1.7650903463363647,1,1.0708987712860107,0.6278076767921448,1.350327491760254,0.7680491805076599,0.9861751198768616,0.9984639286994934,0.7930116653442383,0.08801827393472195,0.11019016895443201
7,2.195751905441284,1.7132941484451294,1,1.1243094205856323,0.6321598887443542,1.3561463356018066,0.774193525314331,0.9861751198768616,0.9984639286994934,0.7937048673629761,0.08755739778280258,0.10971798282116652
8,2.162550210952759,1.6812318563461304,1,1.17691171169281,0.6325873732566833,1.3620444536209106,0.7757296562194824,0.9861751198768616,0.9984639286994934,0.7922089099884033,0.0877558458596468,0.1098894514143467
9,2.065403461456299,1.6685316562652588,1,1.2280365228652954,0.6300403475761414,1.3674360513687134,0.780337929725647,0.9861751198768616,0.9984639286994934,0.7891086935997009,0.05074325483292341,0.0728670610114932
10,2.035757541656494,1.6698994636535645,1,1.2777599096298218,0.6247168779373169,1.3722467422485352,0.7864823341369629,0.9861751198768616,0.9984639286994934,0.7847997546195984,0.08835251163691282,0.11049259640276432
11,1.9469304084777832,1.6829756498336792,1,1.325476050376892,0.6177724003791809,1.3763676881790161,0.7941628098487854,0.9938555955886841,0.9984639286994934,0.7794010639190674,0.08849095087498426,0.11123780254274607
12,1.9309972524642944,1.7073123455047607,1,1.3713202476501465,0.610193133354187,1.3800007104873657,0.8018433451652527,0.9984639286994934,0.9984639286994934,0.7734330296516418,0.08780470583587885,0.11060749553143978
13,1.8855947256088257,1.7412701845169067,1,1.414974331855774,0.6034995913505554,1.3828626871109009,0.8095238208770752,0.9984639286994934,0.9984639286994934,0.7666664123535156,0.08733727037906647,0.10945250559598207
14,1.9326553344726562,1.7829581499099731,1,1.4571257829666138,0.595990777015686,1.3855088949203491,0.8187404274940491,0.9984639286994934,0.9984639286994934,0.7598538994789124,0.050703154876828194,0.07296888902783394
15,1.8472293615341187,1.831165075302124,1,1.4968763589859009,0.5893879532814026,1.388183832168579,0.8248847723007202,0.9984639286994934,0.9984639286994934,0.7535493969917297,0.08860171120613813,0.11122867185622454
16,1.8476788997650146,1.8861017227172852,1,1.5343902111053467,0.5845510363578796,1.3904660940170288,0.8310291767120361,0.9984639286994934,1.0,0.7469466328620911,0.08804080355912447,0.11175339855253696
17,1.80942702293396,1.9473679065704346,1,1.5693628787994385,0.5800687074661255,1.3925220966339111,0.8341013789176941,0.9984639286994934,1.0,0.740327000617981,0.08850472047924995,0.11119136214256287
18,1.7931973934173584,2.0119051933288574,1,1.6017686128616333,0.5748090147972107,1.3941545486450195,0.8387096524238586,0.9984639286994934,1.0,0.7332463264465332,0.08784892596304417,0.11004889104515314
19,1.7943776845932007,2.0781242847442627,1,1.63179612159729,0.5681847929954529,1.3949815034866333,0.8387096524238586,0.9984639286994934,1.0,0.7255095839500427,0.0508734742179513,0.07302482891827822
20,1.7707277536392212,2.147465229034424,1,1.659319281578064,0.5624337792396545,1.3958667516708374,0.8387096524238586,0.9984639286994934,1.0,0.7188909649848938,0.08875147998332977,0.11100868415087461
21,1.7654759883880615,2.2171380519866943,1,1.684456706047058,0.5565937757492065,1.3967217206954956,0.843317985534668,0.9984639286994934,1.0,0.7134446501731873,0.08799667470157146,0.11012582015246153
22,1.7347623109817505,2.289853572845459,1,1.706994891166687,0.5512001514434814,1.3973090648651123,0.8463901877403259,1.0,1.0,0.7085064053535461,0.08780122641474009,0.10995473153889179
23,1.7346669435501099,2.3648300170898438,1,1.7271214723587036,0.5463700294494629,1.3974546194076538,0.8417818546295166,1.0,1.0,0.7033705711364746,0.08786347508430481,0.11000644043087959
24,1.7273874282836914,2.4386167526245117,1,1.7449150085449219,0.5394144058227539,1.3964338302612305,0.843317985534668,1.0,1.0,0.696368396282196,0.05076689552515745,0.07300199940800667
